Chain / Test,Result,Status,Scope / Assumptions,Dependency Boundary,Numerical Value / Diagnostic
COSMO-DYN-010A-7,Gap scale ℓ_*=λ_1^-1/2,DERIVED DIAGNOSTIC,"C_N×C_N, K3,3, periodic lattices/topologies",Does not naturally produce 10^122 horizon count,Z_H(λ_1^-1)=O(1)/geometry-scale
COSMO-DYN-010A-8,UV scale ℓ_*=λ_max^-1/2→0 under refinement,DERIVED/CALCULATED,Refining graphs with λ_max→∞,Raw UV scale does not survive continuum,Renormalized finite combination remains an open test
COSMO-DYN-010B-9,e^-tλ_c=ε ⇒ λ_c=(-ln ε)/t; Xi=√(-ln ε) ℓ_p/√t_*,DERIVED/FORMULATED,Persistence threshold definition,t_* and ε require internal generation,Tests whether Xi_obs can emerge
COSMO-DYN-010B-10,ε is not internally fixed by current listed mechanisms,OPEN / FREE-PARAMETER DIAGNOSTIC,Degeneracy/topology/variational/fixed-point/normalization tests,Without internal selector ε is free,No established mechanism forcing ε
COSMO-DYN-011,"General spectral information functional: N_H^UOC=F(Spec(t_*L_H),Π_H) with desired leading C_HZ_H(t_*)+O(t_*^0)",FORMULATED / OPEN THEOREM,"Dimensionless, positive, monotone, representation/refinement invariant, area scaling",C_H/α=π remains open,General classification target
COSMO-DYN-011-Weyl,N(Λ)~A_HΛ²/(4π); Z_H(t)~A_H/(4πt),DERIVED/CALCULATED,2D Weyl/heat asymptotics,Does not create 1/4 coefficient,Independent cross-check of area coefficient
COSMO-DYN-011-ZETA,"ζ_H(s)=Σλ^-s; study ζ(0), ζ'(0), log det(L_H/μ²)",PROPOSED / OPEN,Explicit toroidal refinement,μ remains reference scale unless internally selected,Test for π or Planck-scale normalization
COSMO-DYN-012,Curved horizon heat kernel Z=A/(4πt)+χ/6+a2t+…,FORMULATED,General 2D horizon,Subleading topology/curvature expected not to change leading area coefficient,π issue becomes non-flat test
COSMO-DYN-013,"Derive P_H from UOC: P_H²=P_H, P_H†=P_H",OPEN THEOREM / PROPOSED,Graph/organizational/causal boundary data,Current Z_H assumes horizon subsystem,Representation-invariant projector convergence is target
COSMO-DYN-014,Λ_*=(2πΛ_cosm/ℓ_p²)^1/4; Xi=6^(1/4)π^(1/2)N_H^-1/4,ALGEBRAICALLY DERIVED,Downstream cosmological identities,Must obtain N_H before H/observation,Non-circular selector remains open
COSMO-DYN-015,dotρ=(ħc/4π²)Λ_*³ dotΛ_*; derive dotL=F(...) and compare with -2HL,FORMULATED / PARTIAL,Dynamical cutoff branch,"H must be generated, not inserted",Consistency condition F|FLRW=-2HL
COSMO-DYN-016,Full closure/falsification architecture,ARCHITECTURAL RESULT,No observational inputs upstream; dimensional/refinement/representation invariance required,Upstream scale/projector/information links remain critical,Final target Xi≈6.50e-31 only at last line
