Edge_ID,Edge_Type,Parent,Child,Meaning,Status,Source,Scope,Falsification_Target
DEP-022,MASTER_DEPENDENCY,A_H,N_H^UOC,Information count,OPEN,23_MASTER_DEPENDENCIES,Independent functional,
DEP-023,MASTER_DEPENDENCY,N_H^UOC,Ξ,Cutoff ratio,CONDITIONAL,23_MASTER_DEPENDENCIES,Non-circular mapping,
DEP-024,MASTER_DEPENDENCY,Ξ,Λ_*,Physical cutoff,DERIVED GIVEN ℓ_p,23_MASTER_DEPENDENCIES,Absolute scale origin open,
DEP-025,MASTER_DEPENDENCY,Λ_*,ρ_vac,Vacuum density,DERIVED,23_MASTER_DEPENDENCIES,3D DOS,
DEP-026,MASTER_DEPENDENCY,ρ_vac,Λ_cosm,Cosmological constant,DERIVED,23_MASTER_DEPENDENCIES,ℓ_p² relation,
DEP-027,MASTER_DEPENDENCY,Λ_cosm,H,Friedmann,DERIVED/ADMITTED,23_MASTER_DEPENDENCIES,Vacuum branch,
DEP-028,MASTER_DEPENDENCY,H,a(t),Scale factor,DERIVED,23_MASTER_DEPENDENCIES,Constant vacuum → de Sitter,
DEP-029,MASTER_DEPENDENCY,Γ,ℓ_*,Absolute scale anchor,OPEN,23_MASTER_DEPENDENCIES,Scale nonuniqueness,
DEP-030,MASTER_DEPENDENCY,Γ,dotL,Spectral dynamics,OPEN,23_MASTER_DEPENDENCIES,Must generate H rather than insert it,
EDGE-DER-DER-SDR-001-ROOT,DER_DEPENDENCY,DER-SDR-001,ROOT,Strict Dependency Relation — Definition,CERTIFIED,SOURCE,,
EDGE-DER-SDR-001-DER-SDR-002,DER_DEPENDENCY,DER-SDR-001,DER-SDR-002,Irreflexivity,CERTIFIED,DER Registry v2,,
EDGE-DER-SDR-001-DER-SDR-003,DER_DEPENDENCY,DER-SDR-001,DER-SDR-003,Transitivity,CERTIFIED,DER Registry v2,,
EDGE-DER-SDR-001-DER-SDR-004,DER_DEPENDENCY,DER-SDR-001,DER-SDR-004,Acyclicity,CERTIFIED,DER Registry v2,,
EDGE-SDR-001 through SDR-004-DER-SDR-005,DER_DEPENDENCY,SDR-001 through SDR-004,DER-SDR-005,Recovery Admissibility,CERTIFIED,DER Registry v2,,
EDGE-PRIM-001-DER-ORG-001,DER_DEPENDENCY,PRIM-001,DER-ORG-001,Organizational Grammar Recovery,CERTIFIED,DER Registry v2,,
EDGE-DER-SDR-002-DER-ORG-001,DER_DEPENDENCY,DER-SDR-002,DER-ORG-001,Organizational Grammar Recovery,CERTIFIED,DER Registry v2,,
EDGE-DER-SDR-003-DER-ORG-001,DER_DEPENDENCY,DER-SDR-003,DER-ORG-001,Organizational Grammar Recovery,CERTIFIED,DER Registry v2,,
EDGE-DER-ORG-001-DER-ORG-002,DER_DEPENDENCY,DER-ORG-001,DER-ORG-002,Organizational State Evolution,CERTIFIED,DER Registry v2,,
EDGE-DER-ORG-002-DER-ORG-003,DER_DEPENDENCY,DER-ORG-002,DER-ORG-003,Persistence / Fixed-Point Recovery,CERTIFIED,DER Registry v2,,
EDGE-DER-ORG-003-DER-ORG-004,DER_DEPENDENCY,DER-ORG-003,DER-ORG-004,Recursive Organizational Distinction,CERTIFIED,DER Registry v2,,
EDGE-DER-ORG-001-DER-ORG-005,DER_DEPENDENCY,DER-ORG-001,DER-ORG-005,Organizational Compiler Interface,CERTIFIED,DER Registry v2,,
EDGE-DER-SPC-001-DER-ORG-005,DER_DEPENDENCY,DER-SPC-001,DER-ORG-005,Organizational Compiler Interface,CERTIFIED,DER Registry v2,,
EDGE-DER-ORG-003-DER-ORG-006,DER_DEPENDENCY,DER-ORG-003,DER-ORG-006,Fixed-Point Equivalence Theorem,OPEN,DER Registry v2,,
EDGE-DER-SPC-005-DER-ORG-006,DER_DEPENDENCY,DER-SPC-005,DER-ORG-006,Fixed-Point Equivalence Theorem,OPEN,DER Registry v2,,
EDGE-DER-ORG-003-DER-ORG-007,DER_DEPENDENCY,DER-ORG-003,DER-ORG-007,Organizational Persistence Functional Recovery,OPEN,DER Registry v2,,
EDGE-DER-TRC-002-DER-ORG-007,DER_DEPENDENCY,DER-TRC-002,DER-ORG-007,Organizational Persistence Functional Recovery,OPEN,DER Registry v2,,
EDGE-DER-ORG-003-DER-ORG-008,DER_DEPENDENCY,DER-ORG-003,DER-ORG-008,Organizational Attractor Uniqueness,OPEN,DER Registry v2,,
EDGE-DER-ORG-005-DER-ORG-009,DER_DEPENDENCY,DER-ORG-005,DER-ORG-009,Compiler Completeness Theorem,OPEN,DER Registry v2,,
EDGE-DER-SDR-005-DER-ORG-010,DER_DEPENDENCY,DER-SDR-005,DER-ORG-010,Dependency Completeness Theorem,OPEN,DER Registry v2,,
EDGE-DER-ORG-009-DER-ORG-010,DER_DEPENDENCY,DER-ORG-009,DER-ORG-010,Dependency Completeness Theorem,OPEN,DER Registry v2,,
EDGE-DER-ORG-001-DER-SPC-001,DER_DEPENDENCY,DER-ORG-001,DER-SPC-001,Organizational Graph Recovery,CERTIFIED,DER Registry v2,,
EDGE-DER-SPC-001-DER-SPC-002,DER_DEPENDENCY,DER-SPC-001,DER-SPC-002,Laplacian Recovery,CERTIFIED,DER Registry v2,,
EDGE-DER-SPC-002-DER-SPC-003,DER_DEPENDENCY,DER-SPC-002,DER-SPC-003,Spectrum Recovery,CERTIFIED,DER Registry v2,,
EDGE-DER-SPC-003-DER-SPC-004,DER_DEPENDENCY,DER-SPC-003,DER-SPC-004,Heat Kernel Recovery,CERTIFIED,DER Registry v2,,
EDGE-DER-SPC-003-DER-SPC-005,DER_DEPENDENCY,DER-SPC-003,DER-SPC-005,Spectral Persistence Operator,CERTIFIED,DER Registry v2,,
EDGE-DER-SPC-005-DER-SPC-006,DER_DEPENDENCY,DER-SPC-005,DER-SPC-006,Spectral Organizational Fixed Point,OPEN,DER Registry v2,,
EDGE-DER-GEO-001-DER-VAR-001,DER_DEPENDENCY,DER-GEO-001,DER-VAR-001,Action Functional Recovery,CERTIFIED,DER Registry v2,,
EDGE-DER-SPC-003-DER-VAR-001,DER_DEPENDENCY,DER-SPC-003,DER-VAR-001,Action Functional Recovery,CERTIFIED,DER Registry v2,,
EDGE-DER-VAR-001-DER-VAR-002,DER_DEPENDENCY,DER-VAR-001,DER-VAR-002,Euler-Lagrange Recovery,CERTIFIED,DER Registry v2,,
EDGE-DER-VAR-002-DER-VAR-003,DER_DEPENDENCY,DER-VAR-002,DER-VAR-003,Legendre Transform Recovery,CERTIFIED,DER Registry v2,,
EDGE-DER-GEO-005-DER-VAR-004,DER_DEPENDENCY,DER-GEO-005,DER-VAR-004,Einstein-Hilbert Action,CERTIFIED,DER Registry v2,,
EDGE-DER-VAR-004-DER-VAR-005,DER_DEPENDENCY,DER-VAR-004,DER-VAR-005,Einstein Equation Recovery from Variation,CERTIFIED,DER Registry v2,,
EDGE-DER-GEO-006-DER-VAR-005,DER_DEPENDENCY,DER-GEO-006,DER-VAR-005,Einstein Equation Recovery from Variation,CERTIFIED,DER Registry v2,,
EDGE-DER-SPC-003-DER-GEO-001,DER_DEPENDENCY,DER-SPC-003,DER-GEO-001,Metric Recovery,CERTIFIED,DER Registry v2,,
EDGE-DER-GEO-001-DER-GEO-002,DER_DEPENDENCY,DER-GEO-001,DER-GEO-002,Connection Recovery,CERTIFIED,DER Registry v2,,
EDGE-DER-GEO-002-DER-GEO-003,DER_DEPENDENCY,DER-GEO-002,DER-GEO-003,Curvature Tensor Recovery,CERTIFIED,DER Registry v2,,
EDGE-DER-GEO-003-DER-GEO-004,DER_DEPENDENCY,DER-GEO-003,DER-GEO-004,Ricci Tensor Recovery,CERTIFIED,DER Registry v2,,
EDGE-DER-GEO-004-DER-GEO-005,DER_DEPENDENCY,DER-GEO-004,DER-GEO-005,Scalar Curvature Recovery,CERTIFIED,DER Registry v2,,
EDGE-DER-GEO-005-DER-GEO-006,DER_DEPENDENCY,DER-GEO-005,DER-GEO-006,Einstein Tensor Recovery,CERTIFIED,DER Registry v2,,
EDGE-DER-SPC-002-DER-GAU-001,DER_DEPENDENCY,DER-SPC-002,DER-GAU-001,Gauge Connection,CERTIFIED,DER Registry v2,,
EDGE-DER-GAU-001-DER-GAU-002,DER_DEPENDENCY,DER-GAU-001,DER-GAU-002,Electromagnetic Curvature,CERTIFIED,DER Registry v2,,
EDGE-DER-GAU-001-DER-GAU-003,DER_DEPENDENCY,DER-GAU-001,DER-GAU-003,Covariant Derivative,CERTIFIED,DER Registry v2,,
EDGE-DER-GEO-002-DER-GAU-003,DER_DEPENDENCY,DER-GEO-002,DER-GAU-003,Covariant Derivative,CERTIFIED,DER Registry v2,,
EDGE-DER-GAU-002-DER-GAU-004,DER_DEPENDENCY,DER-GAU-002,DER-GAU-004,Yang-Mills Recovery,CERTIFIED,DER Registry v2,,
EDGE-DER-GAU-003-DER-GAU-004,DER_DEPENDENCY,DER-GAU-003,DER-GAU-004,Yang-Mills Recovery,CERTIFIED,DER Registry v2,,
EDGE-DER-SPC-003-DER-QR-001,DER_DEPENDENCY,DER-SPC-003,DER-QR-001,Hilbert Space Recovery,CERTIFIED,DER Registry v2,,
EDGE-DER-QR-001-DER-QR-002,DER_DEPENDENCY,DER-QR-001,DER-QR-002,Schrodinger Recovery,CERTIFIED,DER Registry v2,,
EDGE-DER-SPC-003-DER-QR-002,DER_DEPENDENCY,DER-SPC-003,DER-QR-002,Schrodinger Recovery,CERTIFIED,DER Registry v2,,
EDGE-DER-QR-002-DER-QR-003,DER_DEPENDENCY,DER-QR-002,DER-QR-003,Heisenberg Recovery,CERTIFIED,DER Registry v2,,
EDGE-DER-QR-003-DER-QR-004,DER_DEPENDENCY,DER-QR-003,DER-QR-004,Uncertainty Structure,CERTIFIED,DER Registry v2,,
EDGE-DER-GEO-001-DER-QR-005,DER_DEPENDENCY,DER-GEO-001,DER-QR-005,Clifford Algebra Recovery,CERTIFIED,DER Registry v2,,
EDGE-DER-QR-005-DER-QR-006,DER_DEPENDENCY,DER-QR-005,DER-QR-006,Dirac Operator Recovery,CERTIFIED,DER Registry v2,,
EDGE-DER-GAU-003-DER-QR-006,DER_DEPENDENCY,DER-GAU-003,DER-QR-006,Dirac Operator Recovery,CERTIFIED,DER Registry v2,,
EDGE-DER-QR-006-DER-QR-007,DER_DEPENDENCY,DER-QR-006,DER-QR-007,Spin Recovery,CERTIFIED,DER Registry v2,,
EDGE-DER-QR-007-DER-QR-008,DER_DEPENDENCY,DER-QR-007,DER-QR-008,Magnetic Moment Recovery,CERTIFIED,DER Registry v2,,
EDGE-DER-GAU-001-DER-QR-008,DER_DEPENDENCY,DER-GAU-001,DER-QR-008,Magnetic Moment Recovery,CERTIFIED,DER Registry v2,,
EDGE-PRIM-004-DER-TRC-001,DER_DEPENDENCY,PRIM-004,DER-TRC-001,Internal Energy Recovery,CERTIFIED,DER Registry v2,,
EDGE-DER-TRC-001-DER-TRC-002,DER_DEPENDENCY,DER-TRC-001,DER-TRC-002,Entropy Recovery,CERTIFIED,DER Registry v2,,
EDGE-DER-TRC-002-DER-TRC-003,DER_DEPENDENCY,DER-TRC-002,DER-TRC-003,Entropy Flux Recovery,CERTIFIED,DER Registry v2,,
EDGE-DER-TRC-002-DER-TRC-004,DER_DEPENDENCY,DER-TRC-002,DER-TRC-004,Clausius-Duhem Recovery,CERTIFIED,DER Registry v2,,
EDGE-DER-TRC-003-DER-TRC-004,DER_DEPENDENCY,DER-TRC-003,DER-TRC-004,Clausius-Duhem Recovery,CERTIFIED,DER Registry v2,,
EDGE-DER-TRC-003-DER-TRC-005,DER_DEPENDENCY,DER-TRC-003,DER-TRC-005,Fourier Heat Flux Recovery,CERTIFIED,DER Registry v2,,
EDGE-DER-TRC-002-DER-TRC-006,DER_DEPENDENCY,DER-TRC-002,DER-TRC-006,Organizational Persistence Functional,OPEN,DER Registry v2,,
EDGE-DER-SPC-003-DER-TRC-006,DER_DEPENDENCY,DER-SPC-003,DER-TRC-006,Organizational Persistence Functional,OPEN,DER Registry v2,,
EDGE-DER-PRIM-001-ROOT,DER_DEPENDENCY,PRIM-001,ROOT,Delta (Distinction),CERTIFIED,SOURCE,,
EDGE-DER-PRIM-002-ROOT,DER_DEPENDENCY,PRIM-002,ROOT,tau (Transformation),CERTIFIED,SOURCE,,
EDGE-DER-PRIM-003-ROOT,DER_DEPENDENCY,PRIM-003,ROOT,kappa (Constraint),CERTIFIED,SOURCE,,
EDGE-DER-PRIM-004-ROOT,DER_DEPENDENCY,PRIM-004,ROOT,E (Energy),CERTIFIED,SOURCE,,
EDGE-DER-PRIM-005-ROOT,DER_DEPENDENCY,PRIM-005,ROOT,B (Bipartite substrate),CERTIFIED,SOURCE,,
EQ-LINE-EQ-001,EQUATION_LINEAGE,NCG.1,EQ-001,Connes 1995,SOURCE-CODED,MASTER EQUATION MATRIX,C5,
EQ-LINE-EQ-002,EQUATION_LINEAGE,NCG.2,EQ-002,Connes-Chamseddine,SOURCE-CODED,MASTER EQUATION MATRIX,C5,
EQ-LINE-EQ-003,EQUATION_LINEAGE,NCG.3,EQ-003,Lichnerowicz,SOURCE-CODED,MASTER EQUATION MATRIX,C5,
EQ-LINE-EQ-004,EQUATION_LINEAGE,NCG.4,EQ-004,Definition,SOURCE-CODED,MASTER EQUATION MATRIX,C5,
EQ-LINE-EQ-005,EQUATION_LINEAGE,NCG.5,EQ-005,Standard Model,SOURCE-CODED,MASTER EQUATION MATRIX,C5,
EQ-LINE-EQ-006,EQUATION_LINEAGE,NCG.6,EQ-006,Standard Model,SOURCE-CODED,MASTER EQUATION MATRIX,C5,
EQ-LINE-EQ-007,EQUATION_LINEAGE,NCG.7,EQ-007,Standard Model,SOURCE-CODED,MASTER EQUATION MATRIX,C5,
EQ-LINE-EQ-008,EQUATION_LINEAGE,NCG.8,EQ-008,Inner fluctuations,SOURCE-CODED,MASTER EQUATION MATRIX,C5,
EQ-LINE-EQ-009,EQUATION_LINEAGE,NCG.9,EQ-009,Definition,SOURCE-CODED,MASTER EQUATION MATRIX,C5,
EQ-LINE-EQ-010,EQUATION_LINEAGE,NCG.10,EQ-010,Spectral action,SOURCE-CODED,MASTER EQUATION MATRIX,C5,
EQ-LINE-EQ-011,EQUATION_LINEAGE,NCG.11,EQ-011,Spectral action,SOURCE-CODED,MASTER EQUATION MATRIX,C5,
EQ-LINE-EQ-012,EQUATION_LINEAGE,NCG.12,EQ-012,Full action,SOURCE-CODED,MASTER EQUATION MATRIX,C5,
EQ-LINE-EQ-013,EQUATION_LINEAGE,NCG.13,EQ-013,Seeley-DeWitt,SOURCE-CODED,MASTER EQUATION MATRIX,C5,
EQ-LINE-EQ-014,EQUATION_LINEAGE,NCG.14,EQ-014,Definition,SOURCE-CODED,MASTER EQUATION MATRIX,C5,
EQ-LINE-EQ-015,EQUATION_LINEAGE,NCG.15,EQ-015,Coefficients,SOURCE-CODED,MASTER EQUATION MATRIX,C5,
EQ-LINE-EQ-016,EQUATION_LINEAGE,NCG.16,EQ-016,Expansion,SOURCE-CODED,MASTER EQUATION MATRIX,C5,
EQ-LINE-EQ-017,EQUATION_LINEAGE,NCG.17,EQ-017,Heat kernel,SOURCE-CODED,MASTER EQUATION MATRIX,C5,
EQ-LINE-EQ-018,EQUATION_LINEAGE,NCG.18,EQ-018,Zeta function,SOURCE-CODED,MASTER EQUATION MATRIX,C5,
EQ-LINE-EQ-019,EQUATION_LINEAGE,NCG.19,EQ-019,Zeta action,SOURCE-CODED,MASTER EQUATION MATRIX,C5,
EQ-LINE-EQ-020,EQUATION_LINEAGE,NCG.20,EQ-020,Atiyah-Singer,SOURCE-CODED,MASTER EQUATION MATRIX,C5,
EQ-LINE-EQ-021,EQUATION_LINEAGE,NCG.21,EQ-021,Real structure,SOURCE-CODED,MASTER EQUATION MATRIX,C5,
EQ-LINE-EQ-022,EQUATION_LINEAGE,NCG.22,EQ-022,Real structure,SOURCE-CODED,MASTER EQUATION MATRIX,C5,
EQ-LINE-EQ-023,EQUATION_LINEAGE,NCG.23,EQ-023,Real structure,SOURCE-CODED,MASTER EQUATION MATRIX,C5,
EQ-LINE-EQ-024,EQUATION_LINEAGE,NCG.24,EQ-024,Chirality,SOURCE-CODED,MASTER EQUATION MATRIX,C5,
EQ-LINE-EQ-025,EQUATION_LINEAGE,NCG.25,EQ-025,Chirality,SOURCE-CODED,MASTER EQUATION MATRIX,C5,
EQ-LINE-EQ-026,EQUATION_LINEAGE,NCG.26,EQ-026,SM algebra,SOURCE-CODED,MASTER EQUATION MATRIX,C5,
EQ-LINE-EQ-027,EQUATION_LINEAGE,NCG.27,EQ-027,Gauge group,SOURCE-CODED,MASTER EQUATION MATRIX,C5,
EQ-LINE-EQ-028,EQUATION_LINEAGE,NCG.28,EQ-028,Unification,SOURCE-CODED,MASTER EQUATION MATRIX,C5,
EQ-LINE-EQ-029,EQUATION_LINEAGE,NCG.29,EQ-029,Higgs mass,SOURCE-CODED,MASTER EQUATION MATRIX,C5,
EQ-LINE-EQ-030,EQUATION_LINEAGE,NCG.30,EQ-030,Seesaw,SOURCE-CODED,MASTER EQUATION MATRIX,C5,
EQ-LINE-EQ-031,EQUATION_LINEAGE,NCG.31,EQ-031,Connes distance,SOURCE-CODED,MASTER EQUATION MATRIX,C5,
EQ-LINE-EQ-032,EQUATION_LINEAGE,NCG.32,EQ-032,Commutator,SOURCE-CODED,MASTER EQUATION MATRIX,C5,
EQ-LINE-EQ-033,EQUATION_LINEAGE,NCG.33,EQ-033,Order-one,SOURCE-CODED,MASTER EQUATION MATRIX,C5,
EQ-LINE-EQ-034,EQUATION_LINEAGE,NCG.34,EQ-034,Boundedness,SOURCE-CODED,MASTER EQUATION MATRIX,C5,
EQ-LINE-EQ-035,EQUATION_LINEAGE,NCG.35,EQ-035,Propagator,SOURCE-CODED,MASTER EQUATION MATRIX,C5,
EQ-LINE-EQ-036,EQUATION_LINEAGE,NCG.36,EQ-036,Chiral trace,SOURCE-CODED,MASTER EQUATION MATRIX,C5,
EQ-LINE-EQ-037,EQUATION_LINEAGE,SP.1,EQ-037,Definition,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-038,EQUATION_LINEAGE,SP.2,EQ-038,Graph Laplacian,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-039,EQUATION_LINEAGE,SP.3,EQ-039,Eigenequation,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-040,EQUATION_LINEAGE,SP.4,EQ-040,Spectrum,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-041,EQUATION_LINEAGE,SP.5,EQ-041,Ground state,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-042,EQUATION_LINEAGE,SP.6,EQ-042,Kernel,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-043,EQUATION_LINEAGE,SP.7,EQ-043,Trace,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-044,EQUATION_LINEAGE,SP.8,EQ-044,Orthonormality,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-045,EQUATION_LINEAGE,SP.9,EQ-045,Incidence factorization,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-046,EQUATION_LINEAGE,SP.10,EQ-046,Diagonalization,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-047,EQUATION_LINEAGE,SP.11,EQ-047,Functional calculus,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-048,EQUATION_LINEAGE,SP.12,EQ-048,Spectral trace,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-049,EQUATION_LINEAGE,SP.13,EQ-049,Heat trace,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-050,EQUATION_LINEAGE,SP.14,EQ-050,Heat semigroup,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-051,EQUATION_LINEAGE,SP.15,EQ-051,Regularized det,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-052,EQUATION_LINEAGE,SP.16,EQ-052,Hodge Laplacian,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-053,EQUATION_LINEAGE,SP.17,EQ-053,Dirac-Hodge,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-054,EQUATION_LINEAGE,SP.18,EQ-054,Nilpotency,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-055,EQUATION_LINEAGE,SP.19,EQ-055,k-forms,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-056,EQUATION_LINEAGE,SP.20,EQ-056,de Rham cohomology,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-057,EQUATION_LINEAGE,SP.21,EQ-057,Hodge decomposition,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-058,EQUATION_LINEAGE,SP.22,EQ-058,Hodge spectrum,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-059,EQUATION_LINEAGE,SP.23,EQ-059,Hodge heat trace,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-060,EQUATION_LINEAGE,SP.24,EQ-060,Scalar Laplacian,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-061,EQUATION_LINEAGE,SP.25,EQ-061,Riemannian Laplacian,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-062,EQUATION_LINEAGE,GE.1,EQ-062,Diffusion distance,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-063,EQUATION_LINEAGE,GE.2,EQ-063,Spectral metric,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-064,EQUATION_LINEAGE,GE.3,EQ-064,Line element,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-065,EQUATION_LINEAGE,GE.4,EQ-065,Hessian metric,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-066,EQUATION_LINEAGE,GE.5,EQ-066,Inner product,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-067,EQUATION_LINEAGE,GE.6,EQ-067,Norm,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-068,EQUATION_LINEAGE,GE.7,EQ-068,Cyclicity,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-069,EQUATION_LINEAGE,GE.8,EQ-069,Heat kernel trace,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-070,EQUATION_LINEAGE,GE.9,EQ-070,Continuum limit,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-071,EQUATION_LINEAGE,GE.10,EQ-071,Spectral dimension,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-072,EQUATION_LINEAGE,GE.11,EQ-072,Covariant derivative,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-073,EQUATION_LINEAGE,GE.12,EQ-073,Metric compatibility,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-074,EQUATION_LINEAGE,GE.13,EQ-074,Conservation,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-075,EQUATION_LINEAGE,GE.14,EQ-075,D'Alembertian,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-076,EQUATION_LINEAGE,PE.1,EQ-076,Cost functional,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-077,EQUATION_LINEAGE,PE.2,EQ-077,Fisher cost,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
EQ-LINE-EQ-078,EQUATION_LINEAGE,PE.3,EQ-078,Variational principle,SOURCE-CODED,MASTER EQUATION MATRIX,UNASSIGNED,
