Q_ID,Section,Question,Required Result,Recommended UOC Action,Closure Flag,Relevance
13,II. Fundamental Organizational Process,What relationships are necessary for the process to occur?,"Necessary and sufficient relational conditions, derived rather than assumed.",Instantiate Γ/O/Ψ and test universal organizational dynamics.,NOT EXPLICITLY CLOSED,CORE/EXTENDED
14,II. Fundamental Organizational Process,What structures can participate in the process?,A closed characterization of admissible structures.,Instantiate Γ/O/Ψ and test universal organizational dynamics.,NOT EXPLICITLY CLOSED,CORE/EXTENDED
15,II. Fundamental Organizational Process,What structures can emerge from the process without being fundamental assumptions?,Demonstrated emergence of known physical structures without additional input.,Instantiate Γ/O/Ψ and test universal organizational dynamics.,NOT EXPLICITLY CLOSED,CORE/EXTENDED
16,II. Fundamental Organizational Process,Is there one universal organizational process underlying apparently different physical phenomena?,"A single process shown to generate gravity, gauge structure, and matter alike.",Instantiate Γ/O/Ψ and test universal organizational dynamics.,NOT EXPLICITLY CLOSED,CORE/EXTENDED
17,II. Fundamental Organizational Process,"If multiple processes exist, what relates them?","A relating structure or meta-principle, itself justified rather than assumed.",Instantiate Γ/O/Ψ and test universal organizational dynamics.,NOT EXPLICITLY CLOSED,CORE/EXTENDED
18,II. Fundamental Organizational Process,Can the fundamental process be expressed independently of any particular mathematical representation?,"A representation-independent formulation, or a proof that none is possible.",Instantiate Γ/O/Ψ and test universal organizational dynamics.,NOT EXPLICITLY CLOSED,CORE/EXTENDED
19,II. Fundamental Organizational Process,What distinguishes a physical process from an arbitrary mathematical transformation?,"A general criterion, not just case-by-case constraints.",Instantiate Γ/O/Ψ and test universal organizational dynamics.,NOT EXPLICITLY CLOSED,CORE/EXTENDED
20,II. Fundamental Organizational Process,"Does the fundamental process possess a natural notion of composition, succession, or interaction without presupposing time?",A timeless compositional structure from which temporal succession is recovered.,Instantiate Γ/O/Ψ and test universal organizational dynamics.,NOT EXPLICITLY CLOSED,CORE/EXTENDED
21,III. Fundamental Invariants,"What quantities, relationships, or structures must remain invariant under fundamental physical transformations?","A complete inventory of invariants, derived rather than postulated where currently postulated (gauge invariance, unitarity, locality).",Derive representation-independent invariants and conservation/symmetry relations.,NOT EXPLICITLY CLOSED,CORE
22,III. Fundamental Invariants,Which invariants are representation-independent?,A classification separating representation-independent from representation-dependent invariants.,Derive representation-independent invariants and conservation/symmetry relations.,NOT EXPLICITLY CLOSED,CORE
23,III. Fundamental Invariants,Which invariants are merely artifacts of a particular mathematical description?,A systematic method for identifying artifacts versus physical invariants.,Derive representation-independent invariants and conservation/symmetry relations.,NOT EXPLICITLY CLOSED,CORE
24,III. Fundamental Invariants,Can conservation laws be derived from deeper invariance principles?,A derivation of the symmetries themselves from a still deeper structure.,Derive representation-independent invariants and conservation/symmetry relations.,NOT EXPLICITLY CLOSED,CORE
25,III. Fundamental Invariants,Can symmetries be derived rather than assumed?,"A derivation of SU(3)xSU(2)xU(1), Lorentz invariance, etc. from prior structure.",Derive representation-independent invariants and conservation/symmetry relations.,NOT EXPLICITLY CLOSED,CORE
26,III. Fundamental Invariants,Can gauge invariance be derived from deeper structure?,"A derivation of gauge symmetry, not its assumption.",Derive representation-independent invariants and conservation/symmetry relations.,NOT EXPLICITLY CLOSED,CORE
27,III. Fundamental Invariants,Can Lorentz invariance be derived rather than postulated?,"A derivation from a more fundamental, possibly discrete, structure.",Derive representation-independent invariants and conservation/symmetry relations.,NOT EXPLICITLY CLOSED,CORE
28,III. Fundamental Invariants,Can unitarity be derived rather than assumed?,"A derivation of unitarity from a non-quantum substrate, or proof it is irreducible.",Derive representation-independent invariants and conservation/symmetry relations.,NOT EXPLICITLY CLOSED,CORE
29,III. Fundamental Invariants,Can locality or an appropriate replacement for locality be derived?,A principled account of when and why locality holds or fails to hold.,Derive representation-independent invariants and conservation/symmetry relations.,NOT EXPLICITLY CLOSED,CORE
30,III. Fundamental Invariants,What is the smallest set of fundamental invariants from which known physical laws can emerge?,"A minimal, closed, derived set.",Derive representation-independent invariants and conservation/symmetry relations.,NOT EXPLICITLY CLOSED,CORE
31,IV. Transformation and Dynamics,What is the fundamental notion of physical transformation?,A framework-independent notion of transformation.,Derive universal generator and temporal/causal emergence.,NOT EXPLICITLY CLOSED,CORE
32,IV. Transformation and Dynamics,What determines which transformations are physically admissible?,A first-principles derivation of admissibility conditions.,Derive universal generator and temporal/causal emergence.,NOT EXPLICITLY CLOSED,CORE
33,IV. Transformation and Dynamics,What determines the dynamics of the fundamental system?,A unique dynamical principle from which known dynamics follow as limits.,Derive universal generator and temporal/causal emergence.,NOT EXPLICITLY CLOSED,CORE
34,IV. Transformation and Dynamics,Can the fundamental dynamics be expressed without a background spacetime?,A background-independent dynamics with a demonstrated semiclassical limit recovering GR.,Derive universal generator and temporal/causal emergence.,NOT EXPLICITLY CLOSED,CORE
35,IV. Transformation and Dynamics,Can dynamics exist without a primitive time parameter?,A working timeless dynamics with observed time demonstrably emergent.,Derive universal generator and temporal/causal emergence.,NOT EXPLICITLY CLOSED,CORE
36,IV. Transformation and Dynamics,Can temporal evolution emerge from a deeper transformation structure?,Same as above.,Derive universal generator and temporal/causal emergence.,NOT EXPLICITLY CLOSED,CORE
37,IV. Transformation and Dynamics,What mathematical object generates fundamental dynamics?,A confirmed generator for the fundamental theory itself.,Derive universal generator and temporal/causal emergence.,NOT EXPLICITLY CLOSED,CORE
38,IV. Transformation and Dynamics,"Does the theory require an action principle, Hamiltonian structure, path integral, transition operator, category, algebra, or something more fundamental?",A demonstrated necessity or non-necessity of each structure.,Derive universal generator and temporal/causal emergence.,NOT EXPLICITLY CLOSED,CORE
39,IV. Transformation and Dynamics,Can apparently different dynamical laws be derived as different limits of one fundamental law?,A general demonstration across all known dynamical regimes.,Derive universal generator and temporal/causal emergence.,NOT EXPLICITLY CLOSED,CORE
40,IV. Transformation and Dynamics,"What determines the arrow of time, if time itself is emergent?","A derivation of the initial low-entropy condition itself, not just its consequences.",Derive universal generator and temporal/causal emergence.,NOT EXPLICITLY CLOSED,CORE
41,V. Emergence of Spacetime,Is spacetime fundamental or emergent?,"A confirmed emergence mechanism for realistic, de Sitter-like spacetime.",Complete spectral→metric→Lorentzian→causal→Einstein chain.,NOT EXPLICITLY CLOSED,CORE
42,V. Emergence of Spacetime,"If spacetime is emergent, what underlying structure generates it?",A generating structure confirmed to work outside idealized holographic settings.,Complete spectral→metric→Lorentzian→causal→Einstein chain.,NOT EXPLICITLY CLOSED,CORE
43,V. Emergence of Spacetime,What mechanism produces dimensionality?,"A derivation of the number of macroscopic dimensions, not a compactification chosen by hand.",Complete spectral→metric→Lorentzian→causal→Einstein chain.,NOT EXPLICITLY CLOSED,CORE
44,V. Emergence of Spacetime,Why does effective spacetime have approximately 3+1 dimensions?,A first-principles derivation of 3 spatial + 1 time dimension.,Complete spectral→metric→Lorentzian→causal→Einstein chain.,NOT EXPLICITLY CLOSED,CORE
45,V. Emergence of Spacetime,Can locality emerge from a nonlocal or pre-geometric structure?,A general demonstration outside special holographic cases.,Complete spectral→metric→Lorentzian→causal→Einstein chain.,NOT EXPLICITLY CLOSED,CORE
46,V. Emergence of Spacetime,Can causal structure emerge without assuming causality at the fundamental level?,A derivation of causal structure from a genuinely acausal substrate.,Complete spectral→metric→Lorentzian→causal→Einstein chain.,NOT EXPLICITLY CLOSED,CORE
47,V. Emergence of Spacetime,Can metric structure emerge from more primitive relationships?,A general derivation of the metric from non-geometric primitives.,Complete spectral→metric→Lorentzian→causal→Einstein chain.,NOT EXPLICITLY CLOSED,CORE
48,V. Emergence of Spacetime,Can curvature emerge from organizational or relational structure?,A confirmed derivation matching GR's curvature dynamics in general settings.,Complete spectral→metric→Lorentzian→causal→Einstein chain.,NOT EXPLICITLY CLOSED,CORE
49,V. Emergence of Spacetime,Can the Einstein field equations emerge from the deeper theory?,A derivation that does not presuppose the spacetime it is meant to explain.,Complete spectral→metric→Lorentzian→causal→Einstein chain.,NOT EXPLICITLY CLOSED,CORE
50,V. Emergence of Spacetime,Under what limit does the fundamental theory reproduce General Relativity?,"A general, rigorously controlled classical limit recovering all of GR.",Complete spectral→metric→Lorentzian→causal→Einstein chain.,NOT EXPLICITLY CLOSED,CORE
51,VI. Quantum Structure,Why is nature quantum mechanical?,"A derivation of quantum mechanics from deeper, non-quantum principles.",Derive Hilbert/probability/entanglement/unitarity structure or exact equivalent.,NOT EXPLICITLY CLOSED,CORE
52,VI. Quantum Structure,Can the Hilbert-space structure of quantum theory be derived?,A derivation from physical rather than operational/axiomatic starting points.,Derive Hilbert/probability/entanglement/unitarity structure or exact equivalent.,NOT EXPLICITLY CLOSED,CORE
53,VI. Quantum Structure,Can complex amplitudes be derived?,Same caveat as above.,Derive Hilbert/probability/entanglement/unitarity structure or exact equivalent.,NOT EXPLICITLY CLOSED,CORE
54,VI. Quantum Structure,Can superposition be derived?,A derivation of linearity itself from something deeper.,Derive Hilbert/probability/entanglement/unitarity structure or exact equivalent.,NOT EXPLICITLY CLOSED,CORE
55,VI. Quantum Structure,Can entanglement be derived?,Same as above.,Derive Hilbert/probability/entanglement/unitarity structure or exact equivalent.,NOT EXPLICITLY CLOSED,CORE
56,VI. Quantum Structure,Can the Born rule be derived?,"An uncontested derivation, or an accepted proof that it must be postulated.",Derive Hilbert/probability/entanglement/unitarity structure or exact equivalent.,NOT EXPLICITLY CLOSED,CORE
57,VI. Quantum Structure,Can quantum probabilities be derived rather than assumed?,Same as above.,Derive Hilbert/probability/entanglement/unitarity structure or exact equivalent.,NOT EXPLICITLY CLOSED,CORE
58,VI. Quantum Structure,Can unitarity emerge from deeper dynamics?,A derivation from a non-quantum or pre-quantum substrate.,Derive Hilbert/probability/entanglement/unitarity structure or exact equivalent.,NOT EXPLICITLY CLOSED,CORE
59,VI. Quantum Structure,Can measurement and classical definiteness emerge from the fundamental theory?,"A complete account of why any single definite outcome occurs, not just why alternatives become unobservable.",Derive Hilbert/probability/entanglement/unitarity structure or exact equivalent.,NOT EXPLICITLY CLOSED,CORE
60,VI. Quantum Structure,Does quantum mechanics represent a fundamental level of reality or an effective preservation architecture?,An empirical discriminant between fundamental and effective/emergent quantum mechanics.,Derive Hilbert/probability/entanglement/unitarity structure or exact equivalent.,NOT EXPLICITLY CLOSED,CORE
61,VII. Gravity,What is gravity fundamentally?,A confirmed quantum-mechanical origin of gravity.,"Complete quantum gravity, equivalence, black holes and information.",NOT EXPLICITLY CLOSED,CORE
62,VII. Gravity,"Is gravity a fundamental interaction, emergent geometry, collective phenomenon, or something else?",A confirmed classification.,"Complete quantum gravity, equivalence, black holes and information.",NOT EXPLICITLY CLOSED,CORE
63,VII. Gravity,Why does gravitational interaction correspond to spacetime geometry in General Relativity?,A derivation of the geometric correspondence from a pre-geometric substrate.,"Complete quantum gravity, equivalence, black holes and information.",NOT EXPLICITLY CLOSED,CORE
64,VII. Gravity,Can the equivalence principle be derived?,"A derivation from deeper structure, or a proof it must be fundamental.","Complete quantum gravity, equivalence, black holes and information.",NOT EXPLICITLY CLOSED,CORE
65,VII. Gravity,Can gravitational dynamics emerge from the same structure responsible for quantum behavior?,"A demonstration for realistic, non-idealized spacetime.","Complete quantum gravity, equivalence, black holes and information.",NOT EXPLICITLY CLOSED,CORE
66,VII. Gravity,Can black-hole entropy be derived from the underlying degrees of freedom?,"A derivation for realistic, astrophysical black holes.","Complete quantum gravity, equivalence, black holes and information.",NOT EXPLICITLY CLOSED,CORE
67,VII. Gravity,Can black-hole thermodynamics be derived?,Already achieved at the semiclassical level; full microscopic derivation for real black holes remains open.,"Complete quantum gravity, equivalence, black holes and information.",NOT EXPLICITLY CLOSED,CORE
68,VII. Gravity,Can the Bekenstein-Hawking entropy formula be derived?,Same as Question 66.,"Complete quantum gravity, equivalence, black holes and information.",NOT EXPLICITLY CLOSED,CORE
69,VII. Gravity,Can Hawking radiation be recovered?,Direct observational confirmation.,"Complete quantum gravity, equivalence, black holes and information.",NOT EXPLICITLY CLOSED,CORE
70,VII. Gravity,Can the black-hole information problem be resolved without adding ad hoc assumptions?,"A resolution demonstrated for realistic, non-holographic, asymptotically flat black holes.","Complete quantum gravity, equivalence, black holes and information.",NOT EXPLICITLY CLOSED,CORE
71,VIII. Standard Model,Can the Standard Model gauge structure be derived?,A derivation of the exact gauge group from a deeper principle.,"Derive gauge group, reps, Higgs, flavor, neutrino and confinement sectors.",NOT EXPLICITLY CLOSED,CORE
72,VIII. Standard Model,Why is the gauge group SU(3)xSU(2)xU(1) the structure realized by nature?,"Grand unified theories: SU(5), SO(10) (minimal SU(5) largely excluded by proton decay non-observation); string theory model-building; technicolor (largely disfavored); supersymmetry (simplest versions disfavored by LHC null results)","Derive gauge group, reps, Higgs, flavor, neutrino and confinement sectors.",NOT EXPLICITLY CLOSED,CORE
73,VIII. Standard Model,Can gauge symmetries emerge from deeper principles?,Same as Question 26.,"Derive gauge group, reps, Higgs, flavor, neutrino and confinement sectors.",NOT EXPLICITLY CLOSED,CORE
74,VIII. Standard Model,Can the observed particle representations be derived?,A derivation of the specific representation content.,"Derive gauge group, reps, Higgs, flavor, neutrino and confinement sectors.",NOT EXPLICITLY CLOSED,CORE
75,VIII. Standard Model,Can the number of particle generations be derived?,A derivation of the number three from first principles.,"Derive gauge group, reps, Higgs, flavor, neutrino and confinement sectors.",NOT EXPLICITLY CLOSED,CORE
76,VIII. Standard Model,Can fermionic statistics be derived?,Already achieved.,"Derive gauge group, reps, Higgs, flavor, neutrino and confinement sectors.",NOT EXPLICITLY CLOSED,CORE
77,VIII. Standard Model,Can chirality be derived?,A derivation of why weak interactions are chiral.,"Derive gauge group, reps, Higgs, flavor, neutrino and confinement sectors.",NOT EXPLICITLY CLOSED,CORE
78,VIII. Standard Model,Can the Higgs mechanism be derived?,A derivation of why the Higgs potential takes its specific form (the hierarchy problem).,"Derive gauge group, reps, Higgs, flavor, neutrino and confinement sectors.",NOT EXPLICITLY CLOSED,CORE
79,VIII. Standard Model,Can electroweak symmetry breaking be derived?,Same as Question 78.,"Derive gauge group, reps, Higgs, flavor, neutrino and confinement sectors.",NOT EXPLICITLY CLOSED,CORE
80,VIII. Standard Model,Can the strong interaction and confinement be derived?,"A rigorous proof, one of the seven Clay Mathematics Institute Millennium Prize Problems.","Derive gauge group, reps, Higgs, flavor, neutrino and confinement sectors.",NOT EXPLICITLY CLOSED,CORE
81,VIII. Standard Model,Can neutrino masses and mixing be derived?,A confirmed mechanism (e.g. seesaw) fixing the values from first principles.,"Derive gauge group, reps, Higgs, flavor, neutrino and confinement sectors.",NOT EXPLICITLY CLOSED,CORE
82,VIII. Standard Model,Can the absence or presence of additional particles be predicted?,"A confirmed, falsified-or-verified prediction.","Derive gauge group, reps, Higgs, flavor, neutrino and confinement sectors.",NOT EXPLICITLY CLOSED,CORE
83,IX. Constants and Parameters,Why do the fundamental dimensionless constants have their observed values?,"A derivation, or a rigorously justified selection principle.",Derive or constrain all dimensionless/free parameters.,NOT EXPLICITLY CLOSED,CORE
84,IX. Constants and Parameters,Which constants are genuinely fundamental?,A theory-independent classification.,Derive or constrain all dimensionless/free parameters.,NOT EXPLICITLY CLOSED,CORE
85,IX. Constants and Parameters,Which parameters can be derived from deeper structure?,"String landscape (~10^500 vacua) with anthropic selection (Susskind, contested); no confirmed alternative derivation",Derive or constrain all dimensionless/free parameters.,NOT EXPLICITLY CLOSED,CORE
86,IX. Constants and Parameters,Can the fine-structure constant be predicted?,"String landscape (~10^500 vacua) with anthropic selection (Susskind, contested); no confirmed alternative derivation",Derive or constrain all dimensionless/free parameters.,NOT EXPLICITLY CLOSED,CORE
87,IX. Constants and Parameters,Can particle mass ratios be predicted?,"String landscape (~10^500 vacua) with anthropic selection (Susskind, contested); no confirmed alternative derivation",Derive or constrain all dimensionless/free parameters.,NOT EXPLICITLY CLOSED,CORE
88,IX. Constants and Parameters,Can gauge couplings be predicted?,"GUT coupling unification (suggestive, unconfirmed)",Derive or constrain all dimensionless/free parameters.,NOT EXPLICITLY CLOSED,CORE
89,IX. Constants and Parameters,Can the cosmological constant be predicted?,A derivation resolving this discrepancy.,Derive or constrain all dimensionless/free parameters.,NOT EXPLICITLY CLOSED,CORE
90,IX. Constants and Parameters,Can the number of free parameters in fundamental physics be reduced to zero or to a uniquely determined set?,"String landscape (~10^500 vacua) with anthropic selection (Susskind, contested); no confirmed alternative derivation",Derive or constrain all dimensionless/free parameters.,NOT EXPLICITLY CLOSED,CORE
91,IX. Constants and Parameters,"If parameters cannot be derived, what determines their allowed values?","A confirmed, testable selection principle.",Derive or constrain all dimensionless/free parameters.,NOT EXPLICITLY CLOSED,CORE
92,X. Unification,Are quantum mechanics and General Relativity different manifestations of one underlying structure?,"A confirmed unifying theory, empirically validated.",Prove common substrate and translate between theories.,NOT EXPLICITLY CLOSED,CORE
93,X. Unification,Do gauge interactions and gravity arise from a common mathematical structure?,"String theory; loop quantum gravity; AdS/CFT correspondence (Maldacena, 1997 - strong theoretical evidence, not a complete proof); asymptotic safety",Prove common substrate and translate between theories.,NOT EXPLICITLY CLOSED,CORE
94,X. Unification,Can matter and geometry emerge from the same underlying degrees of freedom?,"String theory; loop quantum gravity; AdS/CFT correspondence (Maldacena, 1997 - strong theoretical evidence, not a complete proof); asymptotic safety",Prove common substrate and translate between theories.,NOT EXPLICITLY CLOSED,CORE
95,X. Unification,Can forces be understood as different manifestations of one organizational mechanism?,A confirmed extension of unification to all forces including gravity.,Prove common substrate and translate between theories.,NOT EXPLICITLY CLOSED,CORE
96,X. Unification,Can apparently different mathematical descriptions be translated into a common preservation architecture?,A general translation framework across all of fundamental physics.,Prove common substrate and translate between theories.,NOT EXPLICITLY CLOSED,CORE
97,X. Unification,What mathematical equivalences connect currently separate theories?,A comprehensive map of equivalences across all fundamental theories.,Prove common substrate and translate between theories.,NOT EXPLICITLY CLOSED,CORE
98,X. Unification,"Which differences between existing theories are physical, and which are representational?",A general criterion distinguishing physical from representational differences.,Prove common substrate and translate between theories.,NOT EXPLICITLY CLOSED,CORE
99,X. Unification,What is the minimal common structure capable of reproducing all established fundamental theories?,"String theory; loop quantum gravity; AdS/CFT correspondence (Maldacena, 1997 - strong theoretical evidence, not a complete proof); asymptotic safety",Prove common substrate and translate between theories.,NOT EXPLICITLY CLOSED,CORE
100,X. Unification,"Does a genuinely unified theory require a single mathematical language, or can fundamentally different mathematical representations describe the same underlying structure?","A general answer, confirmed across the full scope of physics.",Prove common substrate and translate between theories.,NOT EXPLICITLY CLOSED,CORE
101,XI. Mathematical Consistency,Is the fundamental theory mathematically well-defined?,"A complete, non-perturbative, rigorously well-defined formulation.","State space, dynamics, anomalies, unitarity, continuum/classical/QFT/GR limits.",NOT EXPLICITLY CLOSED,CORE
102,XI. Mathematical Consistency,Does it possess a well-defined state space or equivalent fundamental structure?,String theory (believed consistent in critical dimension; full non-perturbative M-theory formulation incomplete); loop quantum gravity (open anomaly-freedom and semiclassical-limit questions in some formulations),"State space, dynamics, anomalies, unitarity, continuum/classical/QFT/GR limits.",NOT EXPLICITLY CLOSED,CORE
103,XI. Mathematical Consistency,Are its dynamics well-defined?,String theory (believed consistent in critical dimension; full non-perturbative M-theory formulation incomplete); loop quantum gravity (open anomaly-freedom and semiclassical-limit questions in some formulations),"State space, dynamics, anomalies, unitarity, continuum/classical/QFT/GR limits.",NOT EXPLICITLY CLOSED,CORE
104,XI. Mathematical Consistency,Is the theory internally consistent?,String theory (believed consistent in critical dimension; full non-perturbative M-theory formulation incomplete); loop quantum gravity (open anomaly-freedom and semiclassical-limit questions in some formulations),"State space, dynamics, anomalies, unitarity, continuum/classical/QFT/GR limits.",NOT EXPLICITLY CLOSED,CORE
105,XI. Mathematical Consistency,Does it contain anomalies?,String theory (believed consistent in critical dimension; full non-perturbative M-theory formulation incomplete); loop quantum gravity (open anomaly-freedom and semiclassical-limit questions in some formulations),"State space, dynamics, anomalies, unitarity, continuum/classical/QFT/GR limits.",NOT EXPLICITLY CLOSED,CORE
106,XI. Mathematical Consistency,Does it preserve unitarity?,String theory (believed consistent in critical dimension; full non-perturbative M-theory formulation incomplete); loop quantum gravity (open anomaly-freedom and semiclassical-limit questions in some formulations),"State space, dynamics, anomalies, unitarity, continuum/classical/QFT/GR limits.",NOT EXPLICITLY CLOSED,CORE
107,XI. Mathematical Consistency,Does it preserve appropriate causality?,String theory (believed consistent in critical dimension; full non-perturbative M-theory formulation incomplete); loop quantum gravity (open anomaly-freedom and semiclassical-limit questions in some formulations),"State space, dynamics, anomalies, unitarity, continuum/classical/QFT/GR limits.",NOT EXPLICITLY CLOSED,CORE
108,XI. Mathematical Consistency,Does it possess a sensible continuum limit?,"A confirmed, well-controlled continuum limit.","State space, dynamics, anomalies, unitarity, continuum/classical/QFT/GR limits.",NOT EXPLICITLY CLOSED,CORE
109,XI. Mathematical Consistency,Does it possess a sensible classical limit?,String theory (believed consistent in critical dimension; full non-perturbative M-theory formulation incomplete); loop quantum gravity (open anomaly-freedom and semiclassical-limit questions in some formulations),"State space, dynamics, anomalies, unitarity, continuum/classical/QFT/GR limits.",NOT EXPLICITLY CLOSED,CORE
110,XI. Mathematical Consistency,Does it reproduce ordinary quantum field theory where QFT is known to work?,String theory (believed consistent in critical dimension; full non-perturbative M-theory formulation incomplete); loop quantum gravity (open anomaly-freedom and semiclassical-limit questions in some formulations),"State space, dynamics, anomalies, unitarity, continuum/classical/QFT/GR limits.",NOT EXPLICITLY CLOSED,CORE
111,XI. Mathematical Consistency,Does it reproduce General Relativity where GR is known to work?,String theory (believed consistent in critical dimension; full non-perturbative M-theory formulation incomplete); loop quantum gravity (open anomaly-freedom and semiclassical-limit questions in some formulations),"State space, dynamics, anomalies, unitarity, continuum/classical/QFT/GR limits.",NOT EXPLICITLY CLOSED,CORE
112,XI. Mathematical Consistency,Does it avoid mathematical structures that have no physically meaningful interpretation?,String theory (believed consistent in critical dimension; full non-perturbative M-theory formulation incomplete); loop quantum gravity (open anomaly-freedom and semiclassical-limit questions in some formulations),"State space, dynamics, anomalies, unitarity, continuum/classical/QFT/GR limits.",NOT EXPLICITLY CLOSED,CORE
113,XII. Recovery of Known Physics,What is the precise limit in which the theory becomes quantum mechanics?,String theory supergravity limit (specific compactified backgrounds); loop quantum gravity semiclassical coherent-state constructions,Explicitly derive every established low-energy limit.,NOT EXPLICITLY CLOSED,CORE
114,XII. Recovery of Known Physics,What is the precise limit in which it becomes quantum field theory?,String theory supergravity limit (specific compactified backgrounds); loop quantum gravity semiclassical coherent-state constructions,Explicitly derive every established low-energy limit.,NOT EXPLICITLY CLOSED,CORE
115,XII. Recovery of Known Physics,What is the precise limit in which it becomes General Relativity?,String theory supergravity limit (specific compactified backgrounds); loop quantum gravity semiclassical coherent-state constructions,Explicitly derive every established low-energy limit.,NOT EXPLICITLY CLOSED,CORE
116,XII. Recovery of Known Physics,What is the precise limit in which it becomes classical mechanics?,A demonstrated classical limit specific to the fundamental theory.,Explicitly derive every established low-energy limit.,NOT EXPLICITLY CLOSED,CORE
117,XII. Recovery of Known Physics,What is the precise limit in which it becomes thermodynamics?,Already substantially achieved at the semiclassical level.,Explicitly derive every established low-energy limit.,NOT EXPLICITLY CLOSED,CORE
118,XII. Recovery of Known Physics,What is the precise limit in which it becomes statistical mechanics?,Same caveat as Question 116.,Explicitly derive every established low-energy limit.,NOT EXPLICITLY CLOSED,CORE
119,XII. Recovery of Known Physics,Can all successful existing theories be recovered without independently inserting their fundamental assumptions?,String theory supergravity limit (specific compactified backgrounds); loop quantum gravity semiclassical coherent-state constructions,Explicitly derive every established low-energy limit.,NOT EXPLICITLY CLOSED,CORE
120,XII. Recovery of Known Physics,Which assumptions of established physics become theorems of the deeper theory?,String theory supergravity limit (specific compactified backgrounds); loop quantum gravity semiclassical coherent-state constructions,Explicitly derive every established low-energy limit.,NOT EXPLICITLY CLOSED,CORE
121,XIII. Emergence and Scale,How does microscopic structure produce macroscopic physics?,Already substantially achieved for known physics; open specifically for any deeper quantum-gravitational substrate.,"Coarse-graining, RG, universality and fixed points.",NOT EXPLICITLY CLOSED,CORE
122,XIII. Emergence and Scale,What survives coarse-graining?,Already achieved for known physics.,"Coarse-graining, RG, universality and fixed points.",NOT EXPLICITLY CLOSED,CORE
123,XIII. Emergence and Scale,Can renormalization-group behavior emerge from the fundamental theory?,A confirmed demonstration for a complete fundamental theory.,"Coarse-graining, RG, universality and fixed points.",NOT EXPLICITLY CLOSED,CORE
124,XIII. Emergence and Scale,Can universality classes be derived?,Already achieved for known physics.,"Coarse-graining, RG, universality and fixed points.",NOT EXPLICITLY CLOSED,CORE
125,XIII. Emergence and Scale,Why do very different microscopic systems produce the same effective laws?,Already achieved.,"Coarse-graining, RG, universality and fixed points.",NOT EXPLICITLY CLOSED,CORE
