ITEM_ID,Source_Doc,Object,Status_As_Stated_By_Source,Status_Normalized,Dependency,Note
D4-11,D4,Curvature R_mu_nu,Derived -- Standard geometry; complete,"CALCULATED/DERIVED (source's own 'Derived' tag; NOTE: not equivalent to this repository's UNIVERSALLY DERIVED -- most 'Derived' rows carry a residual caveat in the Resolution column, e.g. 'proof still needed', 'mostly complete')",Differential geometry,"Verbatim from D4 Sec1 Derivation Audit Matrix (SEIT v4.0), the source's own self-audit."
D4-12,D4,Einstein tensor G_mu_nu,Derived -- Complete,"CALCULATED/DERIVED (source's own 'Derived' tag; NOTE: not equivalent to this repository's UNIVERSALLY DERIVED -- most 'Derived' rows carry a residual caveat in the Resolution column, e.g. 'proof still needed', 'mostly complete')",From metric,"Verbatim from D4 Sec1 Derivation Audit Matrix (SEIT v4.0), the source's own self-audit."
D4-13,D4,Persistence functional C_Pi,Derived -- Fisher metric choice justified,"CALCULATED/DERIVED (source's own 'Derived' tag; NOTE: not equivalent to this repository's UNIVERSALLY DERIVED -- most 'Derived' rows carry a residual caveat in the Resolution column, e.g. 'proof still needed', 'mostly complete')",Variational definition,"Verbatim from D4 Sec1 Derivation Audit Matrix (SEIT v4.0), the source's own self-audit."
D4-14,D4,Field equation SEIT.1,Derived -- Full derivation complete,"CALCULATED/DERIVED (source's own 'Derived' tag; NOTE: not equivalent to this repository's UNIVERSALLY DERIVED -- most 'Derived' rows carry a residual caveat in the Resolution column, e.g. 'proof still needed', 'mostly complete')",Euler-Lagrange from C_Pi,"Verbatim from D4 Sec1 Derivation Audit Matrix (SEIT v4.0), the source's own self-audit."
D4-15,D4,GR limit,Derived -- Complete,"CALCULATED/DERIVED (source's own 'Derived' tag; NOTE: not equivalent to this repository's UNIVERSALLY DERIVED -- most 'Derived' rows carry a residual caveat in the Resolution column, e.g. 'proof still needed', 'mostly complete')","SEIT.1, I_F=0","Verbatim from D4 Sec1 Derivation Audit Matrix (SEIT v4.0), the source's own self-audit."
D4-16,D4,Replicator limit,Derived -- Complete,"CALCULATED/DERIVED (source's own 'Derived' tag; NOTE: not equivalent to this repository's UNIVERSALLY DERIVED -- most 'Derived' rows carry a residual caveat in the Resolution column, e.g. 'proof still needed', 'mostly complete')","SEIT.1, Shahshahani g","Verbatim from D4 Sec1 Derivation Audit Matrix (SEIT v4.0), the source's own self-audit."
D4-17,D4,Diffusion limit,Derived -- Complete,"CALCULATED/DERIVED (source's own 'Derived' tag; NOTE: not equivalent to this repository's UNIVERSALLY DERIVED -- most 'Derived' rows carry a residual caveat in the Resolution column, e.g. 'proof still needed', 'mostly complete')","SEIT.1, Wasserstein g","Verbatim from D4 Sec1 Derivation Audit Matrix (SEIT v4.0), the source's own self-audit."
D4-18,D4,FEP limit,Derived -- Complete,"CALCULATED/DERIVED (source's own 'Derived' tag; NOTE: not equivalent to this repository's UNIVERSALLY DERIVED -- most 'Derived' rows carry a residual caveat in the Resolution column, e.g. 'proof still needed', 'mostly complete')","SEIT.1, Fisher g","Verbatim from D4 Sec1 Derivation Audit Matrix (SEIT v4.0), the source's own self-audit."
D4-19,D4,R(lambda)=e^{-beta lambda},Derived -- Complete -- no new parameters,"CALCULATED/DERIVED (source's own 'Derived' tag; NOTE: not equivalent to this repository's UNIVERSALLY DERIVED -- most 'Derived' rows carry a residual caveat in the Resolution column, e.g. 'proof still needed', 'mostly complete')",Heat kernel,"Verbatim from D4 Sec1 Derivation Audit Matrix (SEIT v4.0), the source's own self-audit."
D4-20,D4,D1(lambda)=lambda,Derived -- Falls directly from -d/dbeta ln R_n,"CALCULATED/DERIVED (source's own 'Derived' tag; NOTE: not equivalent to this repository's UNIVERSALLY DERIVED -- most 'Derived' rows carry a residual caveat in the Resolution column, e.g. 'proof still needed', 'mostly complete')",Heat-kernel decay rate,"Verbatim from D4 Sec1 Derivation Audit Matrix (SEIT v4.0), the source's own self-audit."
D4-21,D4,D2(lambda)=beta*lambda^2,Partial -- lambda = transition rate assumption needs proof,CONDITIONAL/CANDIDATE,Entropy production,"Verbatim from D4 Sec1 Derivation Audit Matrix (SEIT v4.0), the source's own self-audit."
D4-22,D4,D3(lambda)=sqrt(lambda),Partial -- Nodal-domain scaling not yet proven,CONDITIONAL/CANDIDATE,Cheeger leakage,"Verbatim from D4 Sec1 Derivation Audit Matrix (SEIT v4.0), the source's own self-audit."
D4-23,D4,Gamma(lambda) = Resto./Degr.,Partial -- Correct target; projection integral not yet evaluated,CONDITIONAL/CANDIDATE,C_Pi projection,"Verbatim from D4 Sec1 Derivation Audit Matrix (SEIT v4.0), the source's own self-audit."
D4-24,D4,lambda_c existence,"Partial -- Exists if R down, D up; monotonicity not proven",CONDITIONAL/CANDIDATE,R=D crossing,"Verbatim from D4 Sec1 Derivation Audit Matrix (SEIT v4.0), the source's own self-audit."
D4-25,D4,lambda_c uniqueness,Partial -- Requires Gamma strictly decreasing,CONDITIONAL/CANDIDATE,Monotonic crossing,"Verbatim from D4 Sec1 Derivation Audit Matrix (SEIT v4.0), the source's own self-audit."
D4-26,D4,lambda_c != lambda_1 (Fiedler),Partial -- lambda_c=lambda_1 gives trivial Pi={zero mode}. Retracted.,CONDITIONAL/CANDIDATE,CORRECTED,"Verbatim from D4 Sec1 Derivation Audit Matrix (SEIT v4.0), the source's own self-audit."
D4-27,D4,lambda_c running with beta,Partial -- beta is the filtering depth; flow equation not explicit,CONDITIONAL/CANDIDATE,Root of e^{-beta lambda}=D(lambda),"Verbatim from D4 Sec1 Derivation Audit Matrix (SEIT v4.0), the source's own self-audit."
D4-28,D4,Persistence sector Pi,Partial -- Depends on lambda_c closure,CONDITIONAL/CANDIDATE,lambda<lambda_c,"Verbatim from D4 Sec1 Derivation Audit Matrix (SEIT v4.0), the source's own self-audit."
D4-29,D4,Mass formula m_n=m0*sqrt(lambda_n),Partial -- Formula motivated; m0 normalization open,CONDITIONAL/CANDIDATE,Spectral sector,"Verbatim from D4 Sec1 Derivation Audit Matrix (SEIT v4.0), the source's own self-audit."
D4-30,D4,Couplings alpha_k=<psi|P_k|psi>,Partial -- Correct form; P_k boundaries not derived,CONDITIONAL/CANDIDATE,Spectral overlap,"Verbatim from D4 Sec1 Derivation Audit Matrix (SEIT v4.0), the source's own self-audit."
D4-31,D4,Electroweak boundary,Partial -- Scale imported; internal derivation needed,CONDITIONAL/CANDIDATE,UTT phase transition,"Verbatim from D4 Sec1 Derivation Audit Matrix (SEIT v4.0), the source's own self-audit."
D4-32,D4,QCD boundary,Partial -- Scale imported; internal derivation needed,CONDITIONAL/CANDIDATE,UTT phase transition,"Verbatim from D4 Sec1 Derivation Audit Matrix (SEIT v4.0), the source's own self-audit."
D4-33,D4,Anomaly cancellation,Partial -- Depends on gauge derivation,CONDITIONAL/CANDIDATE,Algebraic consistency,"Verbatim from D4 Sec1 Derivation Audit Matrix (SEIT v4.0), the source's own self-audit."
D4-34,D4,RG flow SEF.24,Partial -- beta-function form not yet specified,CONDITIONAL/CANDIDATE,Callan-Symanzik,"Verbatim from D4 Sec1 Derivation Audit Matrix (SEIT v4.0), the source's own self-audit."
D4-35,D4,CMB tilt n_s,Partial -- n_s and N_sub are locked; neither derived independently,CONDITIONAL/CANDIDATE,N_sub constraint,"Verbatim from D4 Sec1 Derivation Audit Matrix (SEIT v4.0), the source's own self-audit."
D4-36,D4,Mass scale m0,Open -- Unit audit incomplete; full closure required,OPEN,Planck closure attempt,"Verbatim from D4 Sec1 Derivation Audit Matrix (SEIT v4.0), the source's own self-audit."
D4-37,D4,Projectors P_k,Open -- Boundaries asserted; must derive from UTT transitions,OPEN,Spectral sector boundaries,"Verbatim from D4 Sec1 Derivation Audit Matrix (SEIT v4.0), the source's own self-audit."
D4-38,D4,Force sector count = 3,Open -- Classification only; theorem not proven,OPEN,Low/Mid/High lambda,"Verbatim from D4 Sec1 Derivation Audit Matrix (SEIT v4.0), the source's own self-audit."
D4-39,D4,Gauge group SU(3)xSU(2)xU(1),"Open -- Inclusion asserted, not derived; E8/SO(10) alternatives not ruled out",OPEN,Octonion/Spin(8) route,"Verbatim from D4 Sec1 Derivation Audit Matrix (SEIT v4.0), the source's own self-audit."
D4-40,D4,N_sub,Open -- Not closed; may be derivable from spectral dimension at Hubble radius,OPEN,Cosmological sector,"Verbatim from D4 Sec1 Derivation Audit Matrix (SEIT v4.0), the source's own self-audit."
D4-41,D4,Graph G reconstruction,Undecidable -- Cubitt-Perez-Garcia-Wolf; likely impossible,"NO-GO (structural, cited external theorem)",Inverse spectral problem,"Verbatim from D4 Sec1 Derivation Audit Matrix (SEIT v4.0), the source's own self-audit."
D4-42,D4,"hbar, c, G_N",Empirical -- External measurements; framework inputs,ADMITTED EXTERNAL INPUT,Physical constants,"Verbatim from D4 Sec1 Derivation Audit Matrix (SEIT v4.0), the source's own self-audit."
D1-CCR-01,D1,MDCL v1.0 -- Primitive Grammar,Certified,CERTIFIED,--,"Verbatim from D1 Part 0 Sec0.5 CCR Ledger, location Part IV, Preface."
D1-CCR-02,D1,CMRC-001-019 (String Theory Recovery Core),Certified,CERTIFIED,CMRC-001,"Verbatim from D1 Part 0 Sec0.5 CCR Ledger, location Part IV Sec1."
D1-CCR-03,D1,VAL-005 (Hamiltonian Mechanics),Certified,CERTIFIED,MDCL-1015,"Verbatim from D1 Part 0 Sec0.5 CCR Ledger, location Part IV Sec2."
D1-CCR-04,D1,VAL-004 (Quantum Mechanics),Certified,CERTIFIED,VAL-005,"Verbatim from D1 Part 0 Sec0.5 CCR Ledger, location Part IV Sec3."
D1-CCR-05,D1,"MDCL v2.0, Layers 0-VI (Graph-Spectral GR Recovery)",Certified,CERTIFIED,Primitive Kernel,"Verbatim from D1 Part 0 Sec0.5 CCR Ledger, location Part IV Sec7.1-7.4."
D1-CCR-06,D1,"MDCL v2.0, Layer VII (Physical Recovery Core)",Research Objective,RESEARCH,Layer VI,"Verbatim from D1 Part 0 Sec0.5 CCR Ledger, location Part IV Sec7.5."
D1-CCR-07,D1,"MDCL v2.0, Layers VIII-XIII (Architecture Roadmap)",Research Objective,RESEARCH,Layer VII,"Verbatim from D1 Part 0 Sec0.5 CCR Ledger, location Part IV Sec7.6."
D1-CCR-08,D1,UGAS (Free Grammar Algebra),Certified,CERTIFIED,Sigma_0,"Verbatim from D1 Part 0 Sec0.5 CCR Ledger, location Part V Sec1."
D1-CCR-09,D1,UGCT (Congruence & Quotient),Certified,CERTIFIED,UGAS,"Verbatim from D1 Part 0 Sec0.5 CCR Ledger, location Part V Sec2."
D1-CCR-10,D1,UGUP (Universal Mapping Property),Certified,CERTIFIED,UGCT,"Verbatim from D1 Part 0 Sec0.5 CCR Ledger, location Part V Sec3."
D1-CCR-11,D1,UGNT (Normal Form Theory),Certified (framework); theorems Open,CERTIFIED,UGUP,"Verbatim from D1 Part 0 Sec0.5 CCR Ledger, location Part V Sec4."
D1-CCR-12,D1,UGIT (Intrinsic Grammar Theory),Certified,CERTIFIED,UGNT,"Verbatim from D1 Part 0 Sec0.5 CCR Ledger, location Part V Sec5."
D1-CCR-13,D1,UOLS (Organizational Semantics),Certified,CERTIFIED,UGIT,"Verbatim from D1 Part 0 Sec0.5 CCR Ledger, location Part V Sec6."
D1-CCR-14,D1,UTS (Universal Type System),Certified,CERTIFIED,UOLS,"Verbatim from D1 Part 0 Sec0.5 CCR Ledger, location Part V Sec7."
D1-CCR-15,D1,MDCL-0001 (Canonical MDCL Object),Certified,CERTIFIED,UTS,"Verbatim from D1 Part 0 Sec0.5 CCR Ledger, location Part V Sec8."
D1-CCR-16,D1,MDCL-0002 (Category of MDCL Objects),Research Objective,RESEARCH,MDCL-0001,"Verbatim from D1 Part 0 Sec0.5 CCR Ledger, location not received."
D1-CCR-17,D1,LOR-002 (Negative Eigenvector),Certified,CERTIFIED,LOR-001,"Verbatim from D1 Part 0 Sec0.5 CCR Ledger, location Part IV Sec8.3."
D1-CCR-18,D1,LOR-001 (Resistance Threshold),Candidate,CANDIDATE,"Effective Resistance, Rank-One Inertia","Verbatim from D1 Part 0 Sec0.5 CCR Ledger, location Part IV Sec8.4."
D1-CCR-19,D1,IOC Rank-One (Index Classification),Certified target,CERTIFIED,LOR-001,"Verbatim from D1 Part 0 Sec0.5 CCR Ledger, location Part IV Sec8.5."
D1-CCR-20,D1,IOC Rank-Two,Open,OPEN,IOC Rank-One,"Verbatim from D1 Part 0 Sec0.5 CCR Ledger, location Part IV Sec8.5."
D1-CCR-21,D1,IOC Rank-k,Research Objective,RESEARCH,IOC Rank-Two,"Verbatim from D1 Part 0 Sec0.5 CCR Ledger, location Part IV Sec8.5."
D1-CCR-22,D1,Fisher Information Route,Retired,RETIRED,--,"Verbatim from D1 Part 0 Sec0.5 CCR Ledger, location Part IV Sec8.6."
D1-CCR-23,D1,Standard Signed Laplacian,Retired,RETIRED,--,"Verbatim from D1 Part 0 Sec0.5 CCR Ledger, location Part IV Sec8.6."
D1-CCR-24,D1,Classical Balance-Theory Route,Retired,RETIRED,--,"Verbatim from D1 Part 0 Sec0.5 CCR Ledger, location Part IV Sec8.6."
D2-OP-001,D2,TH-ARBS-001A: Bipartite Reciprocity Lock -- prove ARBS bipartite structure preserved under all admissible graph morphisms,Open -- no partial proof,OPEN,priority=High,"Verbatim from D2 CVR-001 Sec8 Open Problems Register. NOTE: D2-OP-007 is the SAME lambda_c object as D1's Sec10.2 open item and D4's entire Sec2-3 (Central Lock). D4 supplies a candidate closure route (Gamma(lambda)=1) but D4 itself still marks it Partial/Open -- this does not close D2-OP-007, it refines what closing it would require."
D2-OP-002,D2,TH-ARBS-001B: Shell Nilpotency Lock -- prove shell adjacency satisfies nilpotency conditions required for the recovery functor domain category,Open -- no partial proof,OPEN,priority=High,"Verbatim from D2 CVR-001 Sec8 Open Problems Register. NOTE: D2-OP-007 is the SAME lambda_c object as D1's Sec10.2 open item and D4's entire Sec2-3 (Central Lock). D4 supplies a candidate closure route (Gamma(lambda)=1) but D4 itself still marks it Partial/Open -- this does not close D2-OP-007, it refines what closing it would require."
D2-OP-003,D2,R -> D transition: what structure generates distinguishability from relational structure without presupposing distinguishability?,Open -- symmetry breaking is partial candidate,OPEN,priority=Medium,"Verbatim from D2 CVR-001 Sec8 Open Problems Register. NOTE: D2-OP-007 is the SAME lambda_c object as D1's Sec10.2 open item and D4's entire Sec2-3 (Central Lock). D4 supplies a candidate closure route (Gamma(lambda)=1) but D4 itself still marks it Partial/Open -- this does not close D2-OP-007, it refines what closing it would require."
D2-OP-004,D2,Organizational tensor -> metric derivation: close pipeline from ARBS tensor T to Riemannian metric g_mu_nu,Blocked by OP-001 and OP-002,OPEN,priority=High,"Verbatim from D2 CVR-001 Sec8 Open Problems Register. NOTE: D2-OP-007 is the SAME lambda_c object as D1's Sec10.2 open item and D4's entire Sec2-3 (Central Lock). D4 supplies a candidate closure route (Gamma(lambda)=1) but D4 itself still marks it Partial/Open -- this does not close D2-OP-007, it refines what closing it would require."
D2-OP-005,D2,Symmetry Characterization Conjecture: does Ce=0 imply an automorphism fixing both p_0 and e?,Open -- 300 random trials show no counterexample,OPEN,priority=Medium,"Verbatim from D2 CVR-001 Sec8 Open Problems Register. NOTE: D2-OP-007 is the SAME lambda_c object as D1's Sec10.2 open item and D4's entire Sec2-3 (Central Lock). D4 supplies a candidate closure route (Gamma(lambda)=1) but D4 itself still marks it Partial/Open -- this does not close D2-OP-007, it refines what closing it would require."
D2-OP-006,D2,M* quantitative scaling law: functional relationship between M* and K-reconstruction time,Open -- qualitative relationship supported,OPEN,priority=Medium,"Verbatim from D2 CVR-001 Sec8 Open Problems Register. NOTE: D2-OP-007 is the SAME lambda_c object as D1's Sec10.2 open item and D4's entire Sec2-3 (Central Lock). D4 supplies a candidate closure route (Gamma(lambda)=1) but D4 itself still marks it Partial/Open -- this does not close D2-OP-007, it refines what closing it would require."
D2-OP-007,D2,Spectral persistence threshold: derive lambda_c from spectral data of D_{G_n},Open -- physical interpretation established,OPEN,priority=Low,"Verbatim from D2 CVR-001 Sec8 Open Problems Register. NOTE: D2-OP-007 is the SAME lambda_c object as D1's Sec10.2 open item and D4's entire Sec2-3 (Central Lock). D4 supplies a candidate closure route (Gamma(lambda)=1) but D4 itself still marks it Partial/Open -- this does not close D2-OP-007, it refines what closing it would require."
D2-OP-008,D2,Constraint Core K self-grounding: prove K is sufficient for existence of a symmetry group,"Open -- hypothesis stated, derivation not begun",OPEN,priority=Medium,"Verbatim from D2 CVR-001 Sec8 Open Problems Register. NOTE: D2-OP-007 is the SAME lambda_c object as D1's Sec10.2 open item and D4's entire Sec2-3 (Central Lock). D4 supplies a candidate closure route (Gamma(lambda)=1) but D4 itself still marks it Partial/Open -- this does not close D2-OP-007, it refines what closing it would require."
D2-RF-001,D2,RF-001 (Recovery Registry theorem),Conditional-Certified,CONDITIONAL,"OP-001, OP-002","Upgrade condition: Both TH-ARBS-001A and TH-ARBS-001B proven and admitted to MCT. Verbatim from D2 Sec9 Conditional Certification Tracker. CMRC-CHAIN-001/VAL-004/VAL-005 are marked Certified in D2's own MCT but D2 Sec5 explicitly flags they carry an INHERITED conditional dependency via RF-004 on OP-001/OP-002 -- 'a presentation note, not a certification failure' in D2's own words, but preserved here as a genuine CALCULATED-vs-UNIVERSALLY-DERIVED distinction, not smoothed over."
D2-RF-002,D2,RF-002 (Recovery Registry theorem),Conditional-Certified,CONDITIONAL,"OP-001, OP-002 (via RF-001)","Upgrade condition: RF-001 upgraded to Certified. Verbatim from D2 Sec9 Conditional Certification Tracker. CMRC-CHAIN-001/VAL-004/VAL-005 are marked Certified in D2's own MCT but D2 Sec5 explicitly flags they carry an INHERITED conditional dependency via RF-004 on OP-001/OP-002 -- 'a presentation note, not a certification failure' in D2's own words, but preserved here as a genuine CALCULATED-vs-UNIVERSALLY-DERIVED distinction, not smoothed over."
D2-RF-003,D2,RF-003 (Recovery Registry theorem),Conditional-Certified,CONDITIONAL,"OP-001, OP-002 (via RF-001, RF-002)","Upgrade condition: RF-002 upgraded to Certified. Verbatim from D2 Sec9 Conditional Certification Tracker. CMRC-CHAIN-001/VAL-004/VAL-005 are marked Certified in D2's own MCT but D2 Sec5 explicitly flags they carry an INHERITED conditional dependency via RF-004 on OP-001/OP-002 -- 'a presentation note, not a certification failure' in D2's own words, but preserved here as a genuine CALCULATED-vs-UNIVERSALLY-DERIVED distinction, not smoothed over."
D2-RF-004,D2,RF-004 (Recovery Registry theorem),Conditional-Certified,CONDITIONAL,"OP-001, OP-002 (via RF-001-003)","Upgrade condition: RF-003 upgraded to Certified. Verbatim from D2 Sec9 Conditional Certification Tracker. CMRC-CHAIN-001/VAL-004/VAL-005 are marked Certified in D2's own MCT but D2 Sec5 explicitly flags they carry an INHERITED conditional dependency via RF-004 on OP-001/OP-002 -- 'a presentation note, not a certification failure' in D2's own words, but preserved here as a genuine CALCULATED-vs-UNIVERSALLY-DERIVED distinction, not smoothed over."
D5-OPEN-1,D5,"Born Rule (Phase II): rigorous proof that the R-invariant measure on the persistence sector is unique and equals |psi|^2 -- existence outlined, uniqueness proof incomplete",Open (self-declared),OPEN,-,"Verbatim from D5 Sec XIII Open Problems, stated by the source itself as part of its 'scientific integrity'."
D5-OPEN-2,D5,Lorentz Signature (Phase III): more rigorous treatment of the relationship between the compression functional Gamma=-dS/dt and the signature of the emergent metric,Open (self-declared),OPEN,-,"Verbatim from D5 Sec XIII Open Problems, stated by the source itself as part of its 'scientific integrity'."
D5-OPEN-3,D5,Three Generations: anomaly cancellation derives N_c=3 but does not explain exactly three fermion generations,Open (self-declared),OPEN,-,"Verbatim from D5 Sec XIII Open Problems, stated by the source itself as part of its 'scientific integrity'."
D5-OPEN-4,D5,"Universal Constants (Phase I): explicit computation of fixed-point functions f_k in c=f_1(rho), G=f_2(rho), hbar=f_3(rho) -- pipeline defined, functions not yet computed",Open (self-declared),OPEN,-,"Verbatim from D5 Sec XIII Open Problems, stated by the source itself as part of its 'scientific integrity'."
D5-OPEN-5,D5,G_Nature (Phase XIII): identifying the specific adjacency matrix A such that Spec(L)=Spec(Nature) -- may have no finite algorithmic solution (Cubitt-Perez-Garcia-Wolf),Open (self-declared),OPEN,-,"Verbatim from D5 Sec XIII Open Problems, stated by the source itself as part of its 'scientific integrity'."
D5-RETR-01,D5 (superseded by D4),"166.48 Hz monochromatic gravitational-wave background (D5 Sec XI, XII)",SUPERSEDED / RETRACTED,SUPERSEDED,D4,"D5: live falsifiable prediction, no caveat. D4 Sec7: 'GW line at 166 Hz (retracted). Axion mass ansatz not derivable from SEIT.1 and conflicts with fuzzy-DM physics. Dropped.'"
D5-RETR-02,D5 (superseded by D4),Dwarf spheroidal soliton core radii 120-150 pc (D5 Sec XI),SUPERSEDED / RETRACTED,SUPERSEDED,D4,"D5: live falsifiable prediction. D4 Sec7: 'Dwarf galaxy core radii ~135 pc (retracted). Inconsistent with observed diversity (Fornax ~700 pc, Draco <50 pc). Dropped.'"
D5-RETR-03,D5 (superseded by D4),"lambda_c implicit as lambda_1 (Fiedler value) via Pi={psi_n: lambda_n<lambda_c} (D5 Sec II.4, no caveat stated)",SUPERSEDED / RETRACTED,SUPERSEDED,D4,D4 Sec2.4: 'This derivation attempt was incorrect and is retracted... gives Pi = {zero mode only} -- the vacuum. The persistence sector is trivial and the entire downstream cascade collapses.'
D5-RETR-04,D5 (superseded by D4),"G_SM=SU(3)xSU(2)xU(1) 'derived, not postulated' via anomaly cancellation (D5 Sec VIII.2)",SUPERSEDED / RETRACTED,SUPERSEDED,D4,"D4 Sec1 matrix: 'Gauge group SU(3)xSU(2)xU(1) | Octonion/Spin(8) route | Open | Inclusion asserted, not derived; E8/SO(10) alternatives not ruled out'."
