EDGE_ID,UPSTREAM,DOWNSTREAM,RELATION,SOURCE_STATEMENT,SOURCE_DOC
E-17,N-D2-01,N-D2-03,"K-DEF-001 depends on PR-003, PR-004",MCL CL-0007/0008,D2
E-18,N-D2-03,N-D2-04,TH-K-001 depends on K-DEF-001,MCL CL-0009,D2
E-19,N-D2-01,N-D2-05,ARBS-DEF-001 depends on PR-001..004,MCL CL-0010-0013,D2
E-20,N-D2-05,N-D2-06,CE-THM-001 depends on ARBS-0006..0008 (synchronized w/ ARBS registry),MCL CL-0019-0021,D2
E-21,N-D2-05,N-D2-07,RF-001 depends on TH-ARBS-001A/001B (both OPEN) + external imports,MCL CL-0027-0028; Layer 9 'conditional' annotation,D2
E-22,N-D2-07,N-D2-08,CMRC-CHAIN-001/VAL-004/VAL-005 depend on RF-004,MCL CL-0034 + extension; Dimension-4 audit note on inherited conditionality,D2
E-23,N-D2-02,N-D2-09,THERMO-TAX chain depends on OR-001 line (itself from TH-PR-005),"Dependency table, D2 Sec3",D2
E-24,N-D3-01,N-D3-02,Pi_0 computed as final stage of the 11-stage pipeline,"D3 Sec IX table, row 'Persistence | Pi_0'",D3
E-25,N-D1-10,N-D3-02,"SAME lambda_c object referenced across documents (not identical definitions given, but explicitly the same named open quantity)",D1 Sec10.2 + D3 Sec IX + D3 Summary ('central open problem... derivation of lambda_c from Spec(L)'),"D1,D3"
E-26,N-D4-01,N-D4-02,canonical reconstruction spine grounds the SEIT.0 triple in established mathematics stage by stage,D4 Sec0 table + Sec4.1 spine,D4
E-27,N-D4-02,N-D4-03,persistence functional stage of the spine yields C_Pi / SEIT.1,"D4 Sec0 chain 'Pi -> A -> sigma(A)...'; D4 Sec1 rows 'Persistence functional C_Pi', 'Field equation SEIT.1'",D4
E-28,N-D4-03,N-D4-04,Gamma(lambda) is explicitly built FROM the SAME forcing term (g^{ca}grad_a I_F) that appears in SEIT.1,D4 Sec2.2: 'Both...are projections of the same object: the forcing term g^ca grad_a I_F in SEIT.1',D4
E-29,N-D1-10,N-D4-04,D4's Gamma(lambda) framework is explicitly presented as the corrected successor candidate for the SAME lambda_c object D1 Sec10.2 left fully open,D4 Prefatory Note: 'installs the Gamma(lambda)... framework as the correct closure candidate for the persistence threshold lambda_c',"D1,D4"
E-30,N-D5-01,N-D5-02,heat kernel bridge built directly on the sole primitive graph object,D5 Sec III: 'The heat kernel connects the graph Laplacian to the continuum spacetime Laplacian',D5
E-31,N-D5-02,N-D5-03,spectral metric formula built on heat-kernel-derived diffusion distance,D5 Sec IV.1 eqn 4.1 uses exp(-2t lambda_n) terms from the heat kernel,D5
E-32,N-D5-03,N-D5-04,persistence field equation's Hessian metric g_ab is the SAME kind of object as (but not textually identified with) the spectral metric g_munu of Sec IV,"D5 Sec VI.1 eqn 6.3 g_ab=-(d^2S/dy^a dy^b); NOT explicitly unified with Sec IV's g_munu in D5's own text -- flagged as an internal ambiguity, not resolved by this reconstruction",D5
E-33,N-D5-04,N-D4-03,"SAME field equation independently confirmed 'Derived, full derivation complete' by D4's separate audit -- genuine cross-document AGREEMENT",D4 Sec1 row 'Field equation SEIT.1 | Euler-Lagrange from C_Pi | Derived | Full derivation complete',"D4,D5"
E-34,N-D5-05,N-D5-06,"gauge-group derivation is one phase of the 13-phase architecture (Phase VIII/anomaly cancellation, Sec VIII.2)",D5 Sec VIII.2,D5
E-35,N-D5-06,N-D4-01,D4's audit (rooted in the SAME SEIT.0-grounded reconstruction) downgrades this specific claimed theorem to Open,"D4 Sec1 matrix row 'Gauge group...'; SUPERSEDES relation, see STATUS_LEDGER D5-RETR-04",D4
