Source_Label,Canonical_EQ_ID,Section_Code,Closure_Layer,Equation,Meaning,Authority,Status
GE.2,EQ-063,GE,UNASSIGNED,g_{ab} = sum_k lambda_k^{-1} d_a phi_k d_b phi_k,Spectral metric,MASTER EQUATION MATRIX,SOURCE-CODED
GE.3,EQ-064,GE,UNASSIGNED,ds^2 = g_{mu nu} dx^mu dx^nu,Line element,MASTER EQUATION MATRIX,SOURCE-CODED
GE.4,EQ-065,GE,UNASSIGNED,g_{ab} = -d^2 S / dy^a dy^b,Hessian metric,MASTER EQUATION MATRIX,SOURCE-CODED
GE.5,EQ-066,GE,UNASSIGNED,"<phi, psi> = INT_M phi* psi d_mu",Inner product,MASTER EQUATION MATRIX,SOURCE-CODED
GE.6,EQ-067,GE,UNASSIGNED,"||psi||^2 = <psi, psi>",Norm,MASTER EQUATION MATRIX,SOURCE-CODED
GE.7,EQ-068,GE,UNASSIGNED,Tr(A B) = Tr(B A),Cyclicity,MASTER EQUATION MATRIX,SOURCE-CODED
GE.8,EQ-069,GE,UNASSIGNED,K(t) = Tr(exp(-t D^2)),Heat kernel trace,MASTER EQUATION MATRIX,SOURCE-CODED
GE.9,EQ-070,GE,UNASSIGNED,(1/eps^2) L_{G_eps} -> Delta_g as eps->0,Continuum limit,MASTER EQUATION MATRIX,SOURCE-CODED
GE.10,EQ-071,GE,UNASSIGNED,D_s = -2 lim_{t->0} d(ln P(t))/d(ln t),Spectral dimension,MASTER EQUATION MATRIX,SOURCE-CODED
GE.11,EQ-072,GE,UNASSIGNED,nabla_mu V^nu = d_mu V^nu + Gamma^nu_{mu lam} V^lam,Covariant derivative,MASTER EQUATION MATRIX,SOURCE-CODED
GE.12,EQ-073,GE,UNASSIGNED,nabla_a g_{bc} = 0,Metric compatibility,MASTER EQUATION MATRIX,SOURCE-CODED
GE.13,EQ-074,GE,UNASSIGNED,nabla_mu T^{mu nu} = 0,Conservation,MASTER EQUATION MATRIX,SOURCE-CODED
GE.14,EQ-075,GE,UNASSIGNED,Box = g^{mu nu} nabla_mu nabla_nu,D'Alembertian,MASTER EQUATION MATRIX,SOURCE-CODED
PE.1,EQ-076,PE,UNASSIGNED,C_Pi[y] = INT(g_{ab} y'_a y'_b + 2 I_F) dt,Cost functional,MASTER EQUATION MATRIX,SOURCE-CODED
PE.2,EQ-077,PE,UNASSIGNED,I_F = INT |psi|^2 |grad_x ln(|psi|^2/rho)|^2 dx,Fisher cost,MASTER EQUATION MATRIX,SOURCE-CODED
PE.3,EQ-078,PE,UNASSIGNED,delta C_Pi = 0,Variational principle,MASTER EQUATION MATRIX,SOURCE-CODED
PE.4,EQ-079,PE,UNASSIGNED,d/dt(dL/dy'_a) - dL/dy_a = 0,Euler-Lagrange,MASTER EQUATION MATRIX,SOURCE-CODED
PE.5,EQ-080,PE,UNASSIGNED,delta S = 0,Action principle,MASTER EQUATION MATRIX,SOURCE-CODED
PE.6,EQ-081,PE,UNASSIGNED,S = INT L dt,Action,MASTER EQUATION MATRIX,SOURCE-CODED
PE.7,EQ-082,PE,UNASSIGNED,y''_c + Gamma^c_{ab} y'_a y'_b = -g^{ca} nabla_a I_F,Field equation,MASTER EQUATION MATRIX,SOURCE-CODED
PE.8,EQ-083,PE,UNASSIGNED,y''_c + Gamma^c_{ab} y'_a y'_b = 0,GR limit,MASTER EQUATION MATRIX,SOURCE-CODED
PE.9,EQ-084,PE,UNASSIGNED,D y'_a / dt = g^{ab} nabla_b I_F,Covariant form,MASTER EQUATION MATRIX,SOURCE-CODED
PE.10,EQ-085,PE,UNASSIGNED,D/dt = y'_a nabla_a,Material derivative,MASTER EQUATION MATRIX,SOURCE-CODED
PE.11,EQ-086,PE,UNASSIGNED,nabla_a I_F = dI_F / dy^a,Gradient,MASTER EQUATION MATRIX,SOURCE-CODED
PE.12,EQ-087,PE,UNASSIGNED,delta Gamma = 0,Org action stationarity,MASTER EQUATION MATRIX,SOURCE-CODED
PE.13,EQ-088,PE,UNASSIGNED,"Gamma[Sigma] = Phi(g, Delta, T)",Org action,MASTER EQUATION MATRIX,SOURCE-CODED
CV.1,EQ-089,CV,UNASSIGNED,Gamma^c_{ab} = (1/2) g^{cd}(d_a g_{bd} + d_b g_{ad} - d_d g_{ab}),Christoffel,MASTER EQUATION MATRIX,SOURCE-CODED
CV.2,EQ-090,CV,UNASSIGNED,R^a_{bcd} = d_c Gamma^a_{bd} - d_d Gamma^a_{bc} + Gamma^a_{ce} Gamma^e_{bd} - Gamma^a_{de} Gamma^e_{bc},Riemann tensor,MASTER EQUATION MATRIX,SOURCE-CODED
CV.3,EQ-091,CV,UNASSIGNED,R_{ab} = R^c_{acb},Ricci tensor,MASTER EQUATION MATRIX,SOURCE-CODED
CV.4,EQ-092,CV,UNASSIGNED,R = g^{ab} R_{ab},Ricci scalar,MASTER EQUATION MATRIX,SOURCE-CODED
CV.5,EQ-093,CV,UNASSIGNED,G_{ab} = R_{ab} - (1/2) R g_{ab},Einstein tensor,MASTER EQUATION MATRIX,SOURCE-CODED
CV.6,EQ-094,CV,UNASSIGNED,G_{mu nu} + Lambda g_{mu nu} = 8 pi G T_{mu nu},Einstein equations,MASTER EQUATION MATRIX,SOURCE-CODED
CV.7,EQ-095,CV,UNASSIGNED,R_{abcd} R^{abcd},Kretschner scalar,MASTER EQUATION MATRIX,SOURCE-CODED
CV.8,EQ-096,CV,UNASSIGNED,R_{ab} R^{ab},Ricci squared,MASTER EQUATION MATRIX,SOURCE-CODED
CV.9,EQ-097,CV,UNASSIGNED,R^2,Ricci scalar squared,MASTER EQUATION MATRIX,SOURCE-CODED
CV.10,EQ-098,CV,UNASSIGNED,C_{abcd} C^{abcd},Weyl squared,MASTER EQUATION MATRIX,SOURCE-CODED
CV.11,EQ-099,CV,UNASSIGNED,INT_M R sqrt|g| d^4x,Einstein-Hilbert action,MASTER EQUATION MATRIX,SOURCE-CODED
CV.12,EQ-100,CV,UNASSIGNED,sqrt|g| = sqrt|det(g_{mu nu})|,Volume element,MASTER EQUATION MATRIX,SOURCE-CODED
PH.1,EQ-101,PH,UNASSIGNED,d rho/dt + nabla . (rho v) = 0,Continuity,MASTER EQUATION MATRIX,SOURCE-CODED
PH.2,EQ-102,PH,UNASSIGNED,d phi/dt = D nabla^2 phi,Diffusion,MASTER EQUATION MATRIX,SOURCE-CODED
PH.3,EQ-103,PH,UNASSIGNED,d phi/dt = D nabla^2 phi + R(phi),Reaction-diffusion,MASTER EQUATION MATRIX,SOURCE-CODED
PH.4,EQ-104,PH,UNASSIGNED,rho(du/dt + u.nabla u) = -nabla p + mu nabla^2 u + f,Navier-Stokes,MASTER EQUATION MATRIX,SOURCE-CODED
PH.5,EQ-105,PH,UNASSIGNED,nabla . E = rho / eps_0,Gauss electric,MASTER EQUATION MATRIX,SOURCE-CODED
PH.6,EQ-106,PH,UNASSIGNED,nabla . B = 0,Gauss magnetic,MASTER EQUATION MATRIX,SOURCE-CODED
PH.7,EQ-107,PH,UNASSIGNED,nabla x E = -dB/dt,Faraday,MASTER EQUATION MATRIX,SOURCE-CODED
PH.8,EQ-108,PH,UNASSIGNED,nabla x B = mu_0 J + mu_0 eps_0 dE/dt,Ampere-Maxwell,MASTER EQUATION MATRIX,SOURCE-CODED
PH.9,EQ-109,PH,UNASSIGNED,nabla p,Pressure gradient,MASTER EQUATION MATRIX,SOURCE-CODED
PH.10,EQ-110,PH,UNASSIGNED,nabla T,Temperature gradient,MASTER EQUATION MATRIX,SOURCE-CODED
PH.11,EQ-111,PH,UNASSIGNED,nabla mu,Chemical gradient,MASTER EQUATION MATRIX,SOURCE-CODED
PH.12,EQ-112,PH,UNASSIGNED,nabla phi,Field gradient,MASTER EQUATION MATRIX,SOURCE-CODED
PH.13,EQ-113,PH,UNASSIGNED,D[Omega] = nabla Omega,Distinction operator,MASTER EQUATION MATRIX,SOURCE-CODED
QM.1,EQ-114,QM,UNASSIGNED,i hbar d psi/dt = H_hat psi,Schrodinger,MASTER EQUATION MATRIX,SOURCE-CODED
QM.2,EQ-115,QM,UNASSIGNED,H_hat psi = E psi,Energy eigenvalue,MASTER EQUATION MATRIX,SOURCE-CODED
QM.3,EQ-116,QM,UNASSIGNED,S = k_B ln W,Boltzmann entropy,MASTER EQUATION MATRIX,SOURCE-CODED
QM.4,EQ-117,QM,UNASSIGNED,dS = delta Q / T,Clausius,MASTER EQUATION MATRIX,SOURCE-CODED
QM.5,EQ-118,QM,UNASSIGNED,F = U - T S,Helmholtz free energy,MASTER EQUATION MATRIX,SOURCE-CODED
QM.6,EQ-119,QM,UNASSIGNED,Delta G = Delta H - T Delta S,Gibbs free energy,MASTER EQUATION MATRIX,SOURCE-CODED
QM.7,EQ-120,QM,UNASSIGNED,Z = Tr(exp(-beta L)),Partition function,MASTER EQUATION MATRIX,SOURCE-CODED
QM.8,EQ-121,QM,UNASSIGNED,F = -k_B T ln Z,Free energy from Z,MASTER EQUATION MATRIX,SOURCE-CODED
QM.9,EQ-122,QM,UNASSIGNED,S = -dF/dT,Entropy from F,MASTER EQUATION MATRIX,SOURCE-CODED
QM.10,EQ-123,QM,UNASSIGNED,A = -ln Z,Spectral action,MASTER EQUATION MATRIX,SOURCE-CODED
LH.1,EQ-124,LH,UNASSIGNED,delta S = 0,Principle of stationary action,MASTER EQUATION MATRIX,SOURCE-CODED
LH.2,EQ-125,LH,UNASSIGNED,S = INT L dt,Action,MASTER EQUATION MATRIX,SOURCE-CODED
LH.3,EQ-126,LH,UNASSIGNED,L = T - V,Lagrangian,MASTER EQUATION MATRIX,SOURCE-CODED
LH.4,EQ-127,LH,UNASSIGNED,q_dot_i = dH/dp_i,Hamilton equation 1,MASTER EQUATION MATRIX,SOURCE-CODED
LH.5,EQ-128,LH,UNASSIGNED,p_dot_i = -dH/dq_i,Hamilton equation 2,MASTER EQUATION MATRIX,SOURCE-CODED
LH.6,EQ-129,LH,UNASSIGNED,"H(q,p) = T + V",Hamiltonian,MASTER EQUATION MATRIX,SOURCE-CODED
LH.7,EQ-130,LH,UNASSIGNED,"{f,g} = sum_i (df/dq_i dg/dp_i - df/dp_i dg/dq_i)",Poisson bracket,MASTER EQUATION MATRIX,SOURCE-CODED
LH.8,EQ-131,LH,UNASSIGNED,"dH/dt = {H,H} + dH/dt = dH/dt",Energy conservation,MASTER EQUATION MATRIX,SOURCE-CODED
OD.1,EQ-132,OD,UNASSIGNED,Sigma_{n+1} = U_alpha(Sigma_n),Evolution operator,MASTER EQUATION MATRIX,SOURCE-CODED
OD.2,EQ-133,OD,UNASSIGNED,U_alpha = P_{C(alpha)}[ T_alpha(B_n) ],Operator form,MASTER EQUATION MATRIX,SOURCE-CODED
OD.3,EQ-134,OD,UNASSIGNED,Sigma*(alpha) = lim_{n->inf} U_alpha^n(Sigma_0),Attractor,MASTER EQUATION MATRIX,SOURCE-CODED
OD.4,EQ-135,OD,UNASSIGNED,Psi_{t+1} = C(T(D Psi_t)),DTC iteration,MASTER EQUATION MATRIX,SOURCE-CODED
OD.5,EQ-136,OD,UNASSIGNED,Gamma = C o T o D,DTC composition,MASTER EQUATION MATRIX,SOURCE-CODED
OD.6,EQ-137,OD,UNASSIGNED,"Omega = (Sigma, Pi)",Org state,MASTER EQUATION MATRIX,SOURCE-CODED
OD.7,EQ-138,OD,UNASSIGNED,alpha = Phi_in / Phi_decay,Control parameter,MASTER EQUATION MATRIX,SOURCE-CODED
OD.8,EQ-139,OD,UNASSIGNED,alpha < alpha_minus => Sigma_chaos,Fragmentation,MASTER EQUATION MATRIX,SOURCE-CODED
OD.9,EQ-140,OD,UNASSIGNED,alpha_minus <= alpha <= alpha_plus => Sigma_persistent,Persistence,MASTER EQUATION MATRIX,SOURCE-CODED
OD.10,EQ-141,OD,UNASSIGNED,alpha > alpha_plus => Sigma_equilibrium,Frozen equilibrium,MASTER EQUATION MATRIX,SOURCE-CODED
OD.11,EQ-142,OD,UNASSIGNED,dI/d_tau = 0,Persistence cond. 1,MASTER EQUATION MATRIX,SOURCE-CODED
OD.12,EQ-143,OD,UNASSIGNED,Tr(rho L rho) > 0,Persistence cond. 2,MASTER EQUATION MATRIX,SOURCE-CODED
OD.13,EQ-144,OD,UNASSIGNED,Phi_boundary = INT J_mu n^mu dS != 0,Persistence cond. 3,MASTER EQUATION MATRIX,SOURCE-CODED
OD.14,EQ-145,OD,UNASSIGNED,d Omega/dt + nabla . J_Omega = Sigma_Omega,Org. continuity,MASTER EQUATION MATRIX,SOURCE-CODED
OD.15,EQ-146,OD,UNASSIGNED,d Omega/dt = -nabla.J + D nabla^2 Omega + R(Omega) + C(Omega) + I(Omega),Full org. dynamics,MASTER EQUATION MATRIX,SOURCE-CODED
RG.1,EQ-147,RG,UNASSIGNED,"for all X,Y in G*: X o Y in G*",Axiom 1 — Closure,MASTER EQUATION MATRIX,SOURCE-CODED
RG.2,EQ-148,RG,UNASSIGNED,"G = {Delta, tau, kappa} is irreducible",Axiom 2 — Minimality,MASTER EQUATION MATRIX,SOURCE-CODED
RG.3,EQ-149,RG,UNASSIGNED,"for all O, exists C: C(O) in G*",Axiom 3 — Completeness,MASTER EQUATION MATRIX,SOURCE-CODED
RG.4,EQ-150,RG,UNASSIGNED,"(Delta, tau, not kappa) => not Pi",Axiom 4 — Consistency,MASTER EQUATION MATRIX,SOURCE-CODED
RG.5,EQ-151,RG,UNASSIGNED,"for all O, exists unique minimal C(O) in G*",Axiom 5 — Canonical Form,MASTER EQUATION MATRIX,SOURCE-CODED
RG.6,EQ-152,RG,UNASSIGNED,Pi => Delta' (G* is self-generating),Axiom 6 — Recursive Generativity,MASTER EQUATION MATRIX,SOURCE-CODED
RG.7,EQ-153,RG,UNASSIGNED,"(Delta, tau, kappa) -> Pi",Persistence theorem,MASTER EQUATION MATRIX,SOURCE-CODED
RG.8,EQ-154,RG,UNASSIGNED,"Pi -> Delta' -> (Delta',tau',kappa') -> Pi'",Generativity chain,MASTER EQUATION MATRIX,SOURCE-CODED
MC.1,EQ-155,MC,C0-C7,"(A,H,D)",Input,MASTER EQUATION MATRIX,SOURCE-CODED
MC.2,EQ-156,MC,C0-C7,"(A,H,D) -> Spec(D)",Step 1,MASTER EQUATION MATRIX,SOURCE-CODED
MC.3,EQ-157,MC,C0-C7,Spec(D) -> L = D_deg - A,Step 2,MASTER EQUATION MATRIX,SOURCE-CODED
MC.4,EQ-158,MC,C0-C7,"L -> Spec(L) = {lambda_i, phi_i}",Step 3,MASTER EQUATION MATRIX,SOURCE-CODED
MC.5,EQ-159,MC,C0-C7,Spec(L) -> K_t = exp(-tL),Step 4,MASTER EQUATION MATRIX,SOURCE-CODED
MC.6,EQ-160,MC,C0-C7,K_t -> K(t) ~ sum a_n t^{(n-m)/2},Step 5,MASTER EQUATION MATRIX,SOURCE-CODED
MC.7,EQ-161,MC,C0-C7,"Spec(L) -> d(i,j) = sqrt(sum_k (phi_k(i)-phi_k(j))^2/lambda_k)",Step 6,MASTER EQUATION MATRIX,SOURCE-CODED
MC.8,EQ-162,MC,C0-C7,"d(i,j) -> g_{ab} = sum_k lambda_k^{-1} d_a phi_k d_b phi_k",Step 7,MASTER EQUATION MATRIX,SOURCE-CODED
MC.9,EQ-163,MC,C0-C7,g_{ab} -> Gamma^c_{ab},Step 8,MASTER EQUATION MATRIX,SOURCE-CODED
MC.10,EQ-164,MC,C0-C7,Gamma -> R^a_{bcd} -> R_{ab} -> G_{ab},Step 9,MASTER EQUATION MATRIX,SOURCE-CODED
MC.11,EQ-165,MC,C0-C7,G_{ab} -> G_{mu nu} + Lambda g_{mu nu} = 8 pi G T_{mu nu},Step 10,MASTER EQUATION MATRIX,SOURCE-CODED
MC.12,EQ-166,MC,C0-C7,"S = Tr(f(D/Lambda)) + <psi, D psi>",Step 11,MASTER EQUATION MATRIX,SOURCE-CODED
MC.13,EQ-167,MC,C0-C7,delta S = 0,Step 12,MASTER EQUATION MATRIX,SOURCE-CODED
MC.14,EQ-168,MC,C0-C7,C_Pi[y] = INT(g_{ab} y'_a y'_b + 2 I_F) dt,Step 13,MASTER EQUATION MATRIX,SOURCE-CODED
MC.15,EQ-169,MC,C0-C7,delta C_Pi = 0 => y''_c + Gamma^c_{ab} y'_a y'_b = -g^{ca} nabla_a I_F,Step 14,MASTER EQUATION MATRIX,SOURCE-CODED
MC.16,EQ-170,MC,C0-C7,I_F = 0 => y''_c + Gamma^c_{ab} y'_a y'_b = 0,Step 15,MASTER EQUATION MATRIX,SOURCE-CODED
MC.17,EQ-171,MC,C0-C7,R = exp(-beta L) => Z = Tr(exp(-beta L)) => F = -k_B T ln Z,Step 16,MASTER EQUATION MATRIX,SOURCE-CODED
MC.18,EQ-172,MC,C0-C7,alpha = Phi_in/Phi_decay => U_alpha,Step 17,MASTER EQUATION MATRIX,SOURCE-CODED
MC.19,EQ-173,MC,C0-C7,"lim U_alpha^n(Sigma_0) => {Sigma_chaos, Sigma_persistent, Sigma_equilibrium}",Step 18,MASTER EQUATION MATRIX,SOURCE-CODED
MC.20,EQ-174,MC,C0-C7,"Gamma = C o T o D, Pi -> Delta'",Step 19,MASTER EQUATION MATRIX,SOURCE-CODED
