Source,Table_ID,Row_ID,Cell_1,Cell_2,Cell_3,Cell_4,Cell_5,Cell_6,Cell_7
UCG Specification v5(1).docx,4,4,AX,Axioms,Primitive axioms not derivable from prior entries,"AX.SDR-001, AX.ROG-1",,,
UCG Specification v5(1).docx,4,5,OP,Operators,All operators with domain and codomain declared,"OP.L, OP.R, OP.U_alpha",,,
UCG Specification v5(1).docx,4,6,THM,Theorems,Certified theorems with proof reference,"THM.BFP, THM.EL",,,
UCG Specification v5(1).docx,4,7,DER,Derivation Entries,Physical recovery entries,"DER-GEO-001, DER-QR-002",,,
UCG Specification v5(1).docx,4,8,EXT,External Mathematics,Imported results from published literature,"EXT.Banach, EXT.Lovelock",,,
UCG Specification v5(1).docx,4,9,PRF,Proof Certificates,Proof obligations and discharge records,PRF.DER-GEO-001,,,
UCG Specification v5(1).docx,4,10,CDG,Compiler Dependency Graph,Execution order of compiler phases,"CDG.Phase-0, CDG.Phase-XVI",,,
UCG Specification v5(1).docx,4,11,REE,Recovery Execution Engine,Recovery sequencing and branch execution,"REE.SPC, REE.GEO",,,
UCG Specification v5(1).docx,4,12,VAL,Validation Entries,MDCL cross-domain validation records,"VAL-001, VAL-004, VAL-005",,,
UCG Specification v5(1).docx,4,13,CMRC,Conformal Math Recovery Core,String theory and worldsheet recovery chain,CMRC-001 through CMRC-019,,,
UCG Specification v5(1).docx,5,1,PRIMITIVE REGISTRY,,,,,,
UCG Specification v5(1).docx,6,1,ID,Symbol,Name,Organizational Definition,,,
UCG Specification v5(1).docx,6,2,PRIM-G-001,Delta (D),Distinction,The minimal identifiable difference — a closed orientable boundary separating interior from exterior. Formally: a hypersurface satisfying the homological closure condition d(dΩ) = 0.,,,
UCG Specification v5(1).docx,6,3,PRIM-G-002,tau (T),Transformation,"Any lawful evolution acting on an established distinction, preserving phase-space volume (discrete Liouville condition). Requires a prior distinction to act on.",,,
UCG Specification v5(1).docx,6,4,PRIM-G-003,kappa (C),Constraint,The rules restricting which transformations are permissible. Formally: a projection operator P_kappa satisfying idempotency (P_kappa^2 = P_kappa).,,,
UCG Specification v5(1).docx,6,5,PRIM-G-004,Pi (P),Persistence,The retention of organizational identity across constrained transformations — the kernel of an invariant operator surviving repeated application of tau under kappa.,,,
UCG Specification v5(1).docx,7,1,ID,Symbol,Name,Physical Definition,,,
UCG Specification v5(1).docx,7,2,PRIM-P-001,E,Energy,The capacity of a physical system to do work. Foundational input to the Physical Layer. All thermodynamic states derive from E.,,,
UCG Specification v5(1).docx,7,3,PRIM-P-002,nabla Phi,Gradient,A nonzero spatial difference in an intensive variable creating a driving force. The physical realization of Distinction. Measurable; replaces the abstract Delta in the physics-first formulation.,,,
UCG Specification v5(1).docx,8,1,ID,Symbol,Name,Computational Definition,,,
UCG Specification v5(1).docx,8,2,PRIM-C-001,"B=(U,V,E)",Bipartite Substrate,"An Abelian bipartite graph with disjoint vertex sets U and V and edge set E ⊂ U×V. No metric, orientation, or background geometry assumed. The foundational input to the Computational Layer.",,,
UCG Specification v5(1).docx,9,1,ID,Symbol,Name,Definition,,,
UCG Specification v5(1).docx,9,2,PRIM-X-001,Delta,Distinction,State distinguishability — same as PRIM-G-001.,,,
UCG Specification v5(1).docx,9,3,PRIM-X-002,tau,Transformation,Admissible evolution — same as PRIM-G-002.,,,
UCG Specification v5(1).docx,9,4,PRIM-X-003,kappa,Constraint,Restriction on admissible evolution — same as PRIM-G-003.,,,
UCG Specification v5(1).docx,9,5,PRIM-X-004,Theta,Accessibility,A reachability structure defining which states can follow which.,,,
UCG Specification v5(1).docx,9,6,PRIM-X-005,Pi,Persistence,Stable organizational realization — same as PRIM-G-004.,,,
UCG Specification v5(1).docx,9,7,PRIM-X-006,Omega,Organizational State,A certified organizational configuration — the state variable for the organizational evolution equation.,,,
UCG Specification v5(1).docx,10,1,SYMBOL REGISTRY (USR),,,,,,
UCG Specification v5(1).docx,11,1,USR ID,Symbol,Name,Type,First Admitted In,,
UCG Specification v5(1).docx,11,2,USR-001,Delta,Distinction primitive,Organizational primitive,PRIM-G-001,,
UCG Specification v5(1).docx,11,3,USR-002,tau,Transformation primitive,Organizational primitive,PRIM-G-002,,
UCG Specification v5(1).docx,11,4,USR-003,kappa,Constraint primitive,Organizational primitive,PRIM-G-003,,
UCG Specification v5(1).docx,11,5,USR-004,Pi,Persistence primitive,Organizational primitive,PRIM-G-004,,
UCG Specification v5(1).docx,11,6,USR-005,Gamma,Organizational action,Composed operator,DER-ORG-002,,
UCG Specification v5(1).docx,11,7,USR-006,"G=(V,E)",Distinction graph,Combinatorial object,DER-SPC-001,,
UCG Specification v5(1).docx,11,8,USR-007,L=D-A,Graph Laplacian,"Linear operator on L^2(V,mu)",DER-SPC-002,,
UCG Specification v5(1).docx,11,9,USR-008,"Spec(L)={lam_n,phi_n}",Laplacian spectrum,Eigenvalue-eigenfunction set,DER-SPC-003,,
UCG Specification v5(1).docx,11,10,USR-009,K_t=exp(-tL),Heat kernel,"Operator on L^2(V,mu)",DER-SPC-004,,
UCG Specification v5(1).docx,11,11,USR-010,R=exp(-beta L),Persistence filter,Contraction operator,DER-SPC-005,,
UCG Specification v5(1).docx,11,12,USR-011,"d(i,j)",Diffusion distance,Metric on V,DER-GEO-001,,
UCG Specification v5(1).docx,11,13,USR-012,g_{mu nu},Metric tensor,"Symmetric positive-definite (0,2) tensor",DER-GEO-001,,
UCG Specification v5(1).docx,11,14,USR-013,Gamma^c_{ab},Christoffel symbols,Connection coefficients,DER-GEO-002,,
UCG Specification v5(1).docx,11,15,USR-014,R^rho_{sig mu nu},Riemann tensor,"(1,3) curvature tensor",DER-GEO-003,,
UCG Specification v5(1).docx,11,16,USR-015,R_{mu nu},Ricci tensor,"Symmetric (0,2) tensor",DER-GEO-004,,
UCG Specification v5(1).docx,11,17,USR-016,R,Ricci scalar,Scalar field,DER-GEO-005,,
UCG Specification v5(1).docx,11,18,USR-017,G_{mu nu},Einstein tensor,"Divergence-free (0,2) tensor",DER-GEO-006,,
UCG Specification v5(1).docx,11,19,USR-018,A_mu,Gauge connection,U(1) connection 1-form,DER-GAU-001,,
UCG Specification v5(1).docx,11,20,USR-019,F_{mu nu},Field strength,"(0,2) antisymmetric tensor",DER-GAU-002,,
UCG Specification v5(1).docx,11,21,USR-020,D_mu,Covariant derivative,First-order differential operator,DER-GAU-003,,
UCG Specification v5(1).docx,11,22,USR-021,psi,Spinor field,Section of spin bundle S,DER-QR-006,,
UCG Specification v5(1).docx,11,23,USR-022,T_{mu nu},Stress-energy tensor,"Symmetric (0,2) tensor",DER-TRC-001,,
UCG Specification v5(1).docx,11,24,USR-023,sigma,Entropy production rate,Non-negative scalar field,DER-TRC-004,,
UCG Specification v5(1).docx,11,25,USR-024,Pi_O,Org. Persistence Functional,"Functional in [0,1]",DER-TRC-006 (OPEN),,
UCG Specification v5(1).docx,11,26,USR-025,alpha,Control parameter,Dimensionless scalar: Phi_in/Phi_decay,DER (bifurcation),,
UCG Specification v5(1).docx,11,27,USR-026,U_alpha,Evolution operator,Parameterized operator on org. states,DER-ORG-002,,
UCG Specification v5(1).docx,11,28,USR-027,Omega,Master attractor,Fixed point of R^n,DER-SPC-005,,
UCG Specification v5(1).docx,11,29,USR-028,D=sqrt(L),Dirac operator,"Self-adjoint operator on L^2(M,S)",DER-QR-006,,
UCG Specification v5(1).docx,11,30,USR-029,S_EH,Einstein-Hilbert action,Diffeomorphism-invariant scalar functional,DER-VAR-004,,
UCG Specification v5(1).docx,11,31,USR-030,C_Pi[y],Persistence Cost Functional,Real-valued functional on trajectories,DER-VAR-001,,
UCG Specification v5(1).docx,12,1,OBJECT REGISTRY (UOR),,,,,,
UCG Specification v5(1).docx,13,1,OBJ ID,Object,Symbol,Definition,,,
UCG Specification v5(1).docx,13,2,OBJ-001,Scalar,s in F,Zero-rank tensor: magnitude independent of coordinate choice,,,
UCG Specification v5(1).docx,13,3,OBJ-002,Vector,v in V,First-rank tensor: element of a vector space,,,
UCG Specification v5(1).docx,13,4,OBJ-003,Tensor,T^{mu..}_{nu..},Multi-linear map transforming co- and contravariantly,,,
UCG Specification v5(1).docx,13,5,OBJ-004,Field,phi(x),Function assigning a value to every point of a manifold,,,
UCG Specification v5(1).docx,13,6,OBJ-005,Operator,O_hat,Mapping from a function or vector space onto itself,,,
UCG Specification v5(1).docx,13,7,OBJ-006,State Variable,y_c,Minimally sufficient set of properties identifying a system configuration,,,
UCG Specification v5(1).docx,13,8,OBJ-007,Graph,"G=(V,E)",Nodes and adjacency edges; fundamental computational primitive,,,
UCG Specification v5(1).docx,13,9,OBJ-008,Hilbert Space,H,Complete inner product space; recovered from Spec(L) via DER-QR-001,,,
UCG Specification v5(1).docx,13,10,OBJ-009,Manifold,M,Topological space locally matching flat Euclidean coordinates; recovered via DER-SPC-003,,,
UCG Specification v5(1).docx,13,11,OBJ-010,Fiber Bundle,"P(M,G)",Manifold locally structured as base times fiber; basis of gauge theory,,,
UCG Specification v5(1).docx,13,12,OBJ-011,Metric Space,"(X,d)",Set with explicit distance function; recovered as diffusion distance via DER-GEO-001,,,
UCG Specification v5(1).docx,14,1,Tier,Symbol,Name,Formal Definition,,,
UCG Specification v5(1).docx,14,2,T0,P,Potential Space,"Unstructured background: Int(S_0)=S_0, d(S_0)=empty",,,
UCG Specification v5(1).docx,14,3,T1,d,Difference,"Non-zero distance: d(x,y) in R+ iff x!=y",,,
UCG Specification v5(1).docx,14,4,T2,D,Distinction,"Projection splitting state space: D: S_0 -> {0,1}",,,
UCG Specification v5(1).docx,14,5,T3,I,Identity,Region whose indicator persists under T: D(T(x))=D(x)=1,,,
UCG Specification v5(1).docx,14,6,T4,d(boundary),Boundary,Topological interface: dI = cl(I) ∩ cl(S_0\I),,,
UCG Specification v5(1).docx,14,7,T5,y,State,Position vector in bounded d-dimensional manifold: y(tau) in M_d,,,
UCG Specification v5(1).docx,14,8,T6,R,Relation,Subset of Cartesian product: R ⊆ M_A × M_B,,,
UCG Specification v5(1).docx,14,9,T7,J,Interaction,Non-zero derivative coupling: J_AB = dy_A/dy_B != 0,,,
UCG Specification v5(1).docx,14,10,T8,T,Transformation,State update: T: y(tau_0) -> y(tau_1),,,
UCG Specification v5(1).docx,14,11,T9,C,Constraint,Restriction: C(y)=0,,,
UCG Specification v5(1).docx,14,12,T10,S,Selection,Projection retaining invariant trajectories: delta I_F(y)=0,,,
UCG Specification v5(1).docx,14,13,T11,O_G,Organization,"Algebraic graph: O_G=(V,E)",,,
UCG Specification v5(1).docx,14,14,T12,Pi,Persistence,"Non-vanishing correlation: lim_{tau->inf} <O_G(tau_0),O_G(tau)> > 0",,,
UCG Specification v5(1).docx,14,15,T13,M_E,Memory,Convolution kernel: y(tau) = INT K(tau-tau') J(tau') dtau',,,
UCG Specification v5(1).docx,14,16,T14,FB,Feedback,"Closed non-linear loop: dy/dtau = f(y, g(y))",,,
UCG Specification v5(1).docx,14,17,T15,A,Adaptation,Gradient flow: dtheta/dtau = -g^{ca} nabla_a I_F,,,
UCG Specification v5(1).docx,14,18,T16,E_M,Emergence,Macro-state not reducible to micro-states: Y_macro = Psi({y_i}) != sum a_i y_i,,,
UCG Specification v5(1).docx,14,19,T17,H,Hierarchy,Nested projection sequence: L_0 -> L_1 -> ... -> L_n,,,
UCG Specification v5(1).docx,14,20,T18,EV,Evolution,Trajectory under accelerating geometric kernel (org. field equation),,,
UCG Specification v5(1).docx,14,21,T19,X,Cross-Scale Coupling,Partial-trace zoom: g_{mu nu} = Tr(rho_micro · L_spectral),,,
UCG Specification v5(1).docx,14,22,T20,U,Universality,Fixed-point termination: lim R^n(T_domain) = T*,,,
UCG Specification v5(1).docx,15,1,OPERATOR REGISTRY (UOPR),,,,,,
UCG Specification v5(1).docx,16,1,OP ID,Symbol,Name,Domain -> Codomain,Key Property,,
UCG Specification v5(1).docx,16,2,OP-ORG-001,D (Delta),Distinction,"P_OS -> {0,1}",Idempotent: D^2 = D,,
UCG Specification v5(1).docx,16,3,OP-ORG-002,T (tau),Transformation,State x State -> State,Volume-preserving (Liouville),,
UCG Specification v5(1).docx,16,4,OP-ORG-003,C (kappa),Constraint,State space -> Constrained subspace,Projection: C^2 = C,,
UCG Specification v5(1).docx,16,5,OP-ORG-004,Gamma = C o T o D,Organizational Action,State -> State,"Composition of OP-ORG-001,002,003",,
UCG Specification v5(1).docx,16,6,OP-ORG-005,U_alpha,Evolution Operator,Org. state space -> Org. state space,Parameterized by alpha = Phi_in/Phi_decay,,
UCG Specification v5(1).docx,17,1,OP ID,Symbol,Name,Domain -> Codomain,Key Property,,
UCG Specification v5(1).docx,17,2,OP-CMP-001,L = D_deg - A,Graph Laplacian,"L^2(V,mu) -> L^2(V,mu)","Symmetric, positive semi-definite",,
UCG Specification v5(1).docx,17,3,OP-CMP-002,R = exp(-beta L),Persistence Filter,"L^2(V,mu) -> L^2(V,mu)",Strict contraction: ||R|| < 1 on ker(L)^perp,,
UCG Specification v5(1).docx,17,4,OP-CMP-003,K_t = exp(-tL),Heat Kernel,"L^2(V,mu) -> L^2(V,mu)","K_0 = I, d/dt K_t = -L K_t",,
UCG Specification v5(1).docx,17,5,OP-CMP-004,D = sqrt(L),Dirac Operator,"L^2(M,S) -> L^2(M,S)",Self-adjoint; D^2 = L in scalar sector,,
UCG Specification v5(1).docx,17,6,OP-CMP-005,nabla_mu,Covariant Derivative,Tensor fields -> Tensor fields,Metric compatible: nabla_a g_{bc} = 0,,
UCG Specification v5(1).docx,17,7,OP-CMP-006,delta C_Pi,Euler-Lagrange,Functionals -> Field equations,delta C_Pi = 0 gives persistence field eq.,,
UCG Specification v5(1).docx,18,1,OP ID,Symbol,Name,Definition,,,
UCG Specification v5(1).docx,18,2,OP-P0-001,"+,-,x,/",Arithmetic,Foundational algebraic operations on field structures,,,
UCG Specification v5(1).docx,18,3,OP-P0-002,d_mu,Partial Derivative,Rate of change along one coordinate axis,,,
UCG Specification v5(1).docx,18,4,OP-P0-003,nabla,Gradient,Maps scalar field to direction of steepest ascent,,,
UCG Specification v5(1).docx,18,5,OP-P0-004,delta,Variation,Infinitesimal virtual displacement for extremal paths,,,
UCG Specification v5(1).docx,18,6,OP-P0-005,Delta = nabla.nabla,Laplacian,Divergence of gradient; local smoothing,,,
UCG Specification v5(1).docx,18,7,OP-P0-006,"exp, log",Exponential / Logarithm,Mutually inverse additive-multiplicative scaling,,,
UCG Specification v5(1).docx,18,8,OP-P0-007,Tr,Trace,Basis-invariant sum of diagonal elements,,,
UCG Specification v5(1).docx,18,9,OP-P0-008,Spec,Spectrum,Complete set of eigenvalues of a linear operator,,,
UCG Specification v5(1).docx,18,10,OP-P0-009,O^dag,Adjoint,"Conjugate transpose: <Ou,v> = <u,O^dag v>",,,
UCG Specification v5(1).docx,18,11,OP-P0-010,P (P^2=P),Projection,Idempotent operator onto a subspace,,,
UCG Specification v5(1).docx,18,12,OP-P0-011,"[A,B]",Commutator,Non-commutativity measure: AB - BA,,,
UCG Specification v5(1).docx,18,13,OP-P0-012,"x, +_direct",Tensor Product / Direct Sum,Combines separate spaces into joint spaces,,,
UCG Specification v5(1).docx,19,1,DEPENDENCY REGISTRY (UDR),,,,,,
UCG Specification v5(1).docx,20,1,AX-SDR,Statement,Status,,,,
UCG Specification v5(1).docx,20,2,AX-SDR-001: Definition,prec subset D x D: X prec Y means Y cannot be admitted without prior certification of X,CERTIFIED,,,,
UCG Specification v5(1).docx,20,3,AX-SDR-002: Irreflexivity,for all X: X nprec X,CERTIFIED,,,,
UCG Specification v5(1).docx,20,4,AX-SDR-003: Transitivity,X prec Y AND Y prec Z => X prec Z,CERTIFIED,,,,
UCG Specification v5(1).docx,20,5,AX-SDR-004: Acyclicity,X prec Y => Y nprec X (the lattice is a DAG),CERTIFIED,,,,
UCG Specification v5(1).docx,20,6,AX-SDR-005: Recovery Admissibility,"X prec Y => Y = R_Y(X, A_Y) with no undeclared primitives",CERTIFIED,,,,
UCG Specification v5(1).docx,21,1,"(D,tau,kappa) < G < L < Spec(L) < K_t < d < g_{ab} < nabla < Gamma^c < R^rho < R_{ab} < R < G_{ab} < {S,A_mu,F,D_mu,psi,T_{ab}} < Physics The complete canonical dependency spine. Every DER entry locates itself within this ordering.",,,,,,
UCG Specification v5(1).docx,22,1,AXIOM REGISTRY (UAR),,,,,,
UCG Specification v5(1).docx,23,1,AX-ROG,Statement,Purpose,,,,
UCG Specification v5(1).docx,23,2,AX-ROG-1: Closure,"for all X,Y in G*: X o Y in G*",Organizational processes compose into valid organizational processes,,,,
UCG Specification v5(1).docx,23,3,AX-ROG-2: Minimality,"G = {D,T,C} is irreducible",No primitive can be removed without loss of expressive power,,,,
UCG Specification v5(1).docx,23,4,AX-ROG-3: Completeness,"for all O, exists C: C(O) in G*",Every organizational phenomenon has a DTC representation (OPEN proof),,,,
UCG Specification v5(1).docx,23,5,AX-ROG-4: Consistency,"(D,T,not C) => not Pi",Absence of constraint implies absence of persistence,,,,
UCG Specification v5(1).docx,23,6,AX-ROG-5: Canonical Form,"for all O, exists unique minimal C(O) in G*",Every system has a unique minimal representation (OPEN proof),,,,
UCG Specification v5(1).docx,23,7,AX-ROG-6: Recursive Generativity,Pi => D' (G* is self-generating),Persistence generates new Distinctions enabling higher-order organization,,,,
UCG Specification v5(1).docx,24,1,AX-TRL,Statement,Role,,,,
UCG Specification v5(1).docx,24,2,AX-TRL-1: Existence,Organizational states exist: E != empty,Ensures the state space is non-trivial,,,,
UCG Specification v5(1).docx,24,3,AX-TRL-2: Thermodynamic State,Every organizational state has a thermodynamic state,Grounds org. classes in physical thermodynamics,,,,
UCG Specification v5(1).docx,24,4,AX-TRL-3: Universal Classes,"Every org. state belongs to TEDS, NEDS, or TNDS",The three-class organizational taxonomy,,,,
UCG Specification v5(1).docx,24,5,AX-TRL-4: Organizational Transition,States evolve through thermodynamic interaction: O_i -> O_j,Dynamics are always thermodynamically grounded,,,,
UCG Specification v5(1).docx,24,6,AX-TRL-5: Universal Throughput,"Every persistent org. exchanges energy, matter, and information",NEDS and TNDS require non-zero throughput vector J,,,,
UCG Specification v5(1).docx,24,7,AX-TRL-6: Emergence,Higher org. states emerge from lower via emergence operator E,Grounds the T0-T20 hierarchy,,,,
UCG Specification v5(1).docx,24,8,AX-TRL-7: Persistence,"Persistence requires throughput: Pi = P(O,J) > 0",Connects physical flux to organizational survival,,,,
UCG Specification v5(1).docx,25,1,THEOREM REGISTRY (UTR),,,,,,
UCG Specification v5(1).docx,26,1,THM ID,Theorem,Predecessors,Source,Status,,
UCG Specification v5(1).docx,26,2,THM-BFP,Banach Fixed-Point Theorem: strict contraction on complete metric space has unique fixed point,"AX-ROG-1, OP-CMP-002",EXT (Banach 1922),CERTIFIED,,
UCG Specification v5(1).docx,26,3,THM-SDT,Spectral Decomposition Theorem: real symmetric L has real eigenvalues and orthonormal eigenfunctions,OP-CMP-001,EXT (Linear Algebra),CERTIFIED,,
UCG Specification v5(1).docx,26,4,THM-HKC,Heat Kernel Convergence: K_t^{graph} -> K_t^{manifold} as eps -> 0,THM-SDT,EXT (Coifman-Lafon 2006),CERTIFIED,,
UCG Specification v5(1).docx,26,5,THM-LC,Lovelock's Theorem: S_EH is the unique diff-invariant action with second-order field equations in 4D,AX-SDR-005,EXT (Lovelock 1971),CERTIFIED,,
UCG Specification v5(1).docx,26,6,THM-BID,Contracted Bianchi Identity: nabla^mu G_{mu nu} = 0,DER-GEO-006,EXT (Standard Riemannian Geometry),CERTIFIED,,
UCG Specification v5(1).docx,26,7,THM-ONS,Onsager Reciprocal Relations: L_{ij} = L_{ji} for flux-force coefficient matrix,AX-TRL-5,EXT (Onsager 1931),CERTIFIED,,
UCG Specification v5(1).docx,26,8,THM-EL,Euler-Lagrange Theorem: delta C_Pi = 0 gives y''_c + Gamma^c_{ab} y'_a y'_b = -g^{ca} nabla_a I_F,"DER-VAR-001, DER-GEO-002",SEIT (this framework),CERTIFIED,,
UCG Specification v5(1).docx,26,9,THM-GR-LIMIT,GR as Zero-Loss Limit: I_F = 0 => geodesic equation exactly,THM-EL,SEIT (this framework),CERTIFIED,,
UCG Specification v5(1).docx,26,10,THM-SRC,Strong Resolvent Convergence: D_{G_n} resolvent -> continuum Dirac resolvent,THM-HKC,EXT (Kato; Trotter-Kato),CERTIFIED,,
UCG Specification v5(1).docx,26,11,THM-ASI,Atiyah-Singer Index: stable discrete index -> topological characteristic integral,THM-SRC,EXT (Atiyah-Singer 1963),CERTIFIED,,
UCG Specification v5(1).docx,26,12,THM-ANOM,Anomaly Cancellation: N_c/6-1/2=0 AND 3/4-N_c/4=0 AND N_c-3=0 => N_c=3 uniquely,DER-QR-006,SEIT (this framework),CERTIFIED,,
UCG Specification v5(1).docx,26,13,THM-DCI,Discrete Cartan Identity: L_e = d iota_e + iota_e d (derived from Hodge adjoints),OP-CMP-001,Part I §5.1,CERTIFIED,,
UCG Specification v5(1).docx,26,14,THM-DWI,Discrete Weitzenboeck: D^2 = nabla*nabla + (1/4)R_discrete,THM-DCI,Part I §5.2,CERTIFIED,,
UCG Specification v5(1).docx,26,15,THM-WL,Wilson Loop Limit: discrete gauge action -> Maxwell under Gamma-convergence,DER-GAU-002,Part I §5.3,CERTIFIED,,
UCG Specification v5(1).docx,26,16,THM-LYA,Lyapunov Convergence: action functional A[Psi_n] -> A[U] under critical step bound,OBJ-008,Part I §3.2,CERTIFIED,,
UCG Specification v5(1).docx,26,17,THM-UMP,Universal Mapping Property: quotient grammar G is canonical via unique factorization,Part V UGUP,Part V §3,CERTIFIED,,
UCG Specification v5(1).docx,26,18,THM-GHV,"Groenewold-Van Hove Obstruction: [f,g]=i*hbar{f,g} fails for general observables",THM-BFP,EXT (Groenewold 1946),CERTIFIED (recorded as limitation),,
UCG Specification v5(1).docx,27,1,PROOF REGISTRY (UPR),,,,,,
UCG Specification v5(1).docx,28,1,PRF ID,For Entry,Proof Method,Level,Status,,
UCG Specification v5(1).docx,28,2,PRF-SDR,AX-SDR-001 through 005,Definitional / verified by inspection of dependency lists,C,CERTIFIED,,
UCG Specification v5(1).docx,28,3,PRF-ROG-1,AX-ROG-1 (Closure),Verified by ROG composition rule and Banach FPT,C,CERTIFIED,,
UCG Specification v5(1).docx,28,4,PRF-ROG-2,AX-ROG-2 (Minimality),Elimination argument: remove each primitive and exhibit a counterexample system,C,CERTIFIED,,
UCG Specification v5(1).docx,28,5,PRF-ROG-3,AX-ROG-3 (Completeness),No counterexample found; formal proof not constructed,P,OPEN,,
UCG Specification v5(1).docx,28,6,PRF-ROG-5,AX-ROG-5 (Canonical Form),Uniqueness not yet proven — see DER-ORG-009,P,OPEN,,
UCG Specification v5(1).docx,28,7,PRF-ROG-6,AX-ROG-6 (Generativity),Verified by UOT class hierarchy construction,C,CERTIFIED,,
UCG Specification v5(1).docx,28,8,PRF-GEO-001,DER-GEO-001 (Spectral Metric),Convergence for compact manifolds: Belkin-Niyogi (2003). Positive definiteness: non-degenerate spectral embedding.,C,CERTIFIED,,
UCG Specification v5(1).docx,28,9,PRF-DG-005,DER-GEO-006 (Einstein Tensor),Contracted Bianchi identity: two contractions of second Bianchi identity,C,CERTIFIED,,
UCG Specification v5(1).docx,28,10,PRF-EL,THM-EL (Field Equation),Full Euler-Lagrange variation of C_Pi[y]; all steps recorded in Three-Layer Compiler §IX,C,CERTIFIED,,
UCG Specification v5(1).docx,28,11,PRF-VAL-001,VAL-001 (String Theory),CMRC-001 through CMRC-019 acyclic chain; three certification refinements recorded,C,CERTIFIED,,
UCG Specification v5(1).docx,28,12,PRF-VAL-004,VAL-004 (Quantum Mechanics),Canonical quantization via Dirac map; GVH obstruction recorded as limitation,C,CERTIFIED,,
UCG Specification v5(1).docx,28,13,PRF-VAL-005,VAL-005 (Hamiltonian Mechanics),Symplectic geometry branch; covariant/contravariant distinction explicitly kept,C,CERTIFIED,,
UCG Specification v5(1).docx,28,14,PRF-UGNT,Part V UGNT (Normal Forms),Rewrite system defined; termination and confluence OPEN,P,OPEN,,
UCG Specification v5(1).docx,28,15,PRF-FPE,DER-ORG-006 (FP Equivalence),"Equivalence of Banach, spectral, LFP, and closure formulations not yet proven",D,OPEN,,
UCG Specification v5(1).docx,29,1,DER REGISTRY,,,,,,
UCG Specification v5(1).docx,30,1,Branch,Code,Entries,Certified,Open,Primary Predecessors,
UCG Specification v5(1).docx,30,2,Strict Dependency Relation,SDR,5,5,0,None (definitional),
UCG Specification v5(1).docx,30,3,Organizational Recovery,ORG,10,5,5,"PRIM-G-001,002,003",
UCG Specification v5(1).docx,30,4,Spectral Recovery,SPC,6,5,1,DER-ORG-005,
UCG Specification v5(1).docx,30,5,Variational Recovery,VAR,5,5,0,"DER-GEO-001, DER-SPC-003",
UCG Specification v5(1).docx,30,6,Geometry Recovery,GEO,6,6,0,DER-SPC-003,
UCG Specification v5(1).docx,30,7,Gauge Recovery,GAU,4,4,0,DER-SPC-002,
UCG Specification v5(1).docx,30,8,Quantum Recovery,QR,8,8,0,"DER-SPC-003, DER-GAU-003",
UCG Specification v5(1).docx,30,9,Thermodynamic Recovery,TRC,6,5,1,PRIM-P-001,
UCG Specification v5(1).docx,30,10,CMRC (String Theory),CMRC,19,19,0,"PRIM-G-001,002,003",
UCG Specification v5(1).docx,30,11,Validation Entries,VAL,5*,3,2,Various,
