Constant_ID,Symbol,UCCP_Type,Meaning,Source Status,Dependency,Dimensions,Value,Source Notes
PHYS-011,v_H,P,Higgs vacuum expectation value,"AUDIT REQUIRED Derivation / Notes: v_H ~ 246 GeV. The vev at which the Higgs field settles after spontaneous symmetry breaking. UCCP type P proposed because it characterizes a persistent organizational attractor (the electroweak vacuum). Whether it is truly a root or derivable from deeper Lagrangian parameters is under audit. UCA node: (P, 0-or-1, OPEN, [M L^2 T^{-2}], 246 GeV, SU(2)_L x U(1)_Y)","None Status: AUDIT REQUIRED Derivation / Notes: v_H ~ 246 GeV. The vev at which the Higgs field settles after spontaneous symmetry breaking. UCCP type P proposed because it characterizes a persistent organizational attractor (the electroweak vacuum). Whether it is truly a root or derivable from deeper Lagrangian parameters is under audit. UCA node: (P, 0-or-1, OPEN, [M L^2 T^{-2}], 246 GeV, SU(2)_L x U(1)_Y)",M L^2 T^{-2},246 GeV,"Meaning: Higgs vacuum expectation value Primitive: Yes — Root (pending audit) | Dependency: None Status: AUDIT REQUIRED Derivation / Notes: v_H ~ 246 GeV. The vev at which the Higgs field settles after spontaneous symmetry breaking. UCCP type P proposed because it characterizes a persistent organizational attractor (the electroweak vacuum). Whether it is truly a root or derivable from deeper Lagrangian parameters is under audit. UCA node: (P, 0-or-1, OPEN, [M L^2 T^{-2}], 246 GeV, SU(2)_L x U(1)_Y)"
PHYS-012,m_e,P,Electron mass,"AUDIT REQUIRED Derivation / Notes: m_e = 9.109e-31 kg. Root in Standard Model (Yukawa coupling parameter). SEIT derivation target: m_e = m_0 sqrt(lambda_e) from DER-QR spectrum, where lambda_e is the electron eigenvalue of L. If this derivation is completed, m_e becomes a derived constant. UCA node: (P, 0-or-1, OPEN, [M], 9.109e-31 kg, Lorentz group)","None Status: AUDIT REQUIRED Derivation / Notes: m_e = 9.109e-31 kg. Root in Standard Model (Yukawa coupling parameter). SEIT derivation target: m_e = m_0 sqrt(lambda_e) from DER-QR spectrum, where lambda_e is the electron eigenvalue of L. If this derivation is completed, m_e becomes a derived constant. UCA node: (P, 0-or-1, OPEN, [M], 9.109e-31 kg, Lorentz group)",M,9.109e-31 kg,"Meaning: Electron mass Primitive: Yes — Root (pending audit) | Dependency: None Status: AUDIT REQUIRED Derivation / Notes: m_e = 9.109e-31 kg. Root in Standard Model (Yukawa coupling parameter). SEIT derivation target: m_e = m_0 sqrt(lambda_e) from DER-QR spectrum, where lambda_e is the electron eigenvalue of L. If this derivation is completed, m_e becomes a derived constant. UCA node: (P, 0-or-1, OPEN, [M], 9.109e-31 kg, Lorentz group)"
PHYS-013,m_p/m_e,P,Proton-electron mass ratio,"AUDIT REQUIRED Derivation / Notes: m_p/m_e ~ 1836.15. Dimensionless ratio. Type P because it characterizes the relative persistence costs of two stable organizational attractors. Derivation target: ratio of eigenvalues lambda_p / lambda_e from Spec(L). UCA node: (P, 2, OPEN, dimensionless, 1836.15, Lorentz group)","m_p, m_e Status: AUDIT REQUIRED Derivation / Notes: m_p/m_e ~ 1836.15. Dimensionless ratio. Type P because it characterizes the relative persistence costs of two stable organizational attractors. Derivation target: ratio of eigenvalues lambda_p / lambda_e from Spec(L). UCA node: (P, 2, OPEN, dimensionless, 1836.15, Lorentz group)",,1836.15,"Meaning: Proton-electron mass ratio Primitive: No — Derived | Dependency: m_p, m_e Status: AUDIT REQUIRED Derivation / Notes: m_p/m_e ~ 1836.15. Dimensionless ratio. Type P because it characterizes the relative persistence costs of two stable organizational attractors. Derivation target: ratio of eigenvalues lambda_p / lambda_e from Spec(L). UCA node: (P, 2, OPEN, dimensionless, 1836.15, Lorentz group)"
PHYS-014,alpha_s,K,Strong coupling constant,"AUDIT REQUIRED Derivation / Notes: alpha_s(M_Z) ~ 0.118. Governs QCD interaction strength. Type K because it constrains which quark configurations persist. Runs with energy scale (RG flow: DER in UTR as asymptotic safety). UCA node: (K, 0, OPEN, dimensionless, 0.118 at M_Z, SU(3)_color)","None Status: AUDIT REQUIRED Derivation / Notes: alpha_s(M_Z) ~ 0.118. Governs QCD interaction strength. Type K because it constrains which quark configurations persist. Runs with energy scale (RG flow: DER in UTR as asymptotic safety). UCA node: (K, 0, OPEN, dimensionless, 0.118 at M_Z, SU(3)_color)",,0.118 at M_Z,"Meaning: Strong coupling constant Primitive: Yes — Root | Dependency: None Status: AUDIT REQUIRED Derivation / Notes: alpha_s(M_Z) ~ 0.118. Governs QCD interaction strength. Type K because it constrains which quark configurations persist. Runs with energy scale (RG flow: DER in UTR as asymptotic safety). UCA node: (K, 0, OPEN, dimensionless, 0.118 at M_Z, SU(3)_color)"
PHYS-015,g_W,K,Weak coupling constant,"AUDIT REQUIRED Derivation / Notes: g_W ~ 0.653 (at M_Z). Governs electroweak interaction strength. Type K. Related to alpha and Weinberg angle: g_W = e / sin(theta_W). UCA node: (K, 0-or-1, OPEN, dimensionless, 0.653, SU(2)_L)","None Status: AUDIT REQUIRED Derivation / Notes: g_W ~ 0.653 (at M_Z). Governs electroweak interaction strength. Type K. Related to alpha and Weinberg angle: g_W = e / sin(theta_W). UCA node: (K, 0-or-1, OPEN, dimensionless, 0.653, SU(2)_L)",,0.653,"Meaning: Weak coupling constant Primitive: Yes — Root | Dependency: None Status: AUDIT REQUIRED Derivation / Notes: g_W ~ 0.653 (at M_Z). Governs electroweak interaction strength. Type K. Related to alpha and Weinberg angle: g_W = e / sin(theta_W). UCA node: (K, 0-or-1, OPEN, dimensionless, 0.653, SU(2)_L)"
PHYS-016,theta_W,K,Weinberg angle,"AUDIT REQUIRED Derivation / Notes: sin^2(theta_W) ~ 0.231 at M_Z. Mixes SU(2)_L and U(1)_Y to give the physical Z and gamma bosons. Type K because it sets the constraint angle governing electroweak symmetry breaking. UCA node: (K, 0-or-1, OPEN, dimensionless, sin^2=0.231, SU(2)_L x U(1)_Y)","None Status: AUDIT REQUIRED Derivation / Notes: sin^2(theta_W) ~ 0.231 at M_Z. Mixes SU(2)_L and U(1)_Y to give the physical Z and gamma bosons. Type K because it sets the constraint angle governing electroweak symmetry breaking. UCA node: (K, 0-or-1, OPEN, dimensionless, sin^2=0.231, SU(2)_L x U(1)_Y)",,sin^2=0.231,"Meaning: Weinberg angle Primitive: Yes — Root | Dependency: None Status: AUDIT REQUIRED Derivation / Notes: sin^2(theta_W) ~ 0.231 at M_Z. Mixes SU(2)_L and U(1)_Y to give the physical Z and gamma bosons. Type K because it sets the constraint angle governing electroweak symmetry breaking. UCA node: (K, 0-or-1, OPEN, dimensionless, sin^2=0.231, SU(2)_L x U(1)_Y)"
PHYS-001,,,,,,,,
PHYS-002,,,,,,,,
PHYS-003,,,,,,,,
PHYS-004,,,,,,,,
PHYS-005,,,,,,,,
PHYS-008,,,,,,,,
PHYS-009,,,,,,,,
PHYS-010,,,,,,,,
PHYS-N_sub,N_sub (spectral trace,,,,,,,
PHYS-m_{aP},m_{aP} (Persistence,,,,,,,
PHYS-m_p/m_e,m_p/m_e (mass,,,,,,,
PHYS-007,,,,,,,,mu_0
PHYS-011,,,,,,,,v_H
PHYS-012,,,,,,,,m_e
PHYS-015,,,,,,,,g_W
PHYS-013,,,,,,,,m_p/m_e
