Topo_Index,Node_ID,Node_Type,Name,Parent_Count,Child_Count
163,EQ-085,EQUATION,Persistence::10,0,0
164,EQ-086,EQUATION,Persistence::11,0,0
165,EQ-087,EQUATION,Persistence::12,0,0
166,EQ-088,EQUATION,Persistence::13,0,0
167,EQ-089,EQUATION,Curvature::1,0,0
168,EQ-090,EQUATION,Curvature::2,0,0
169,EQ-091,EQUATION,Curvature::3,0,0
170,EQ-092,EQUATION,Curvature::4,0,0
171,EQ-093,EQUATION,Curvature::5,0,0
172,EQ-094,EQUATION,Curvature::6,0,0
173,EQ-095,EQUATION,Curvature::7,0,0
174,EQ-096,EQUATION,Curvature::8,0,0
175,EQ-097,EQUATION,Curvature::9,0,0
176,EQ-098,EQUATION,Curvature::10,0,0
177,EQ-099,EQUATION,Curvature::11,0,0
178,EQ-100,EQUATION,Curvature::12,0,0
179,EQ-101,EQUATION,Classical Physics::1,0,0
180,EQ-102,EQUATION,Classical Physics::2,0,0
181,EQ-103,EQUATION,Classical Physics::3,0,0
182,EQ-104,EQUATION,Classical Physics::4,0,0
183,EQ-105,EQUATION,Classical Physics::5,0,0
184,EQ-106,EQUATION,Classical Physics::6,0,0
185,EQ-107,EQUATION,Classical Physics::7,0,0
186,EQ-108,EQUATION,Classical Physics::8,0,0
187,EQ-109,EQUATION,Classical Physics::9,0,0
188,EQ-110,EQUATION,Classical Physics::10,0,0
189,EQ-111,EQUATION,Classical Physics::11,0,0
190,EQ-112,EQUATION,Classical Physics::12,0,0
191,EQ-113,EQUATION,Classical Physics::13,0,0
192,EQ-114,EQUATION,QM / Thermodynamics::1,0,0
193,EQ-115,EQUATION,QM / Thermodynamics::2,0,0
194,EQ-116,EQUATION,QM / Thermodynamics::3,0,0
195,EQ-117,EQUATION,QM / Thermodynamics::4,0,0
196,EQ-118,EQUATION,QM / Thermodynamics::5,0,0
197,EQ-119,EQUATION,QM / Thermodynamics::6,0,0
198,EQ-120,EQUATION,QM / Thermodynamics::7,0,0
199,EQ-121,EQUATION,QM / Thermodynamics::8,0,0
200,EQ-122,EQUATION,QM / Thermodynamics::9,0,0
201,EQ-123,EQUATION,QM / Thermodynamics::10,0,0
202,EQ-124,EQUATION,Lagrangian / Hamiltonian::1,0,0
203,EQ-125,EQUATION,Lagrangian / Hamiltonian::2,0,0
204,EQ-126,EQUATION,Lagrangian / Hamiltonian::3,0,0
205,EQ-127,EQUATION,Lagrangian / Hamiltonian::4,0,0
206,EQ-128,EQUATION,Lagrangian / Hamiltonian::5,0,0
207,EQ-129,EQUATION,Lagrangian / Hamiltonian::6,0,0
208,EQ-130,EQUATION,Lagrangian / Hamiltonian::7,0,0
209,EQ-131,EQUATION,Lagrangian / Hamiltonian::8,0,0
210,EQ-132,EQUATION,Organizational Dynamics::1,0,0
211,EQ-133,EQUATION,Organizational Dynamics::2,0,0
212,EQ-134,EQUATION,Organizational Dynamics::3,0,0
213,EQ-135,EQUATION,Organizational Dynamics::4,0,0
214,EQ-136,EQUATION,Organizational Dynamics::5,0,0
215,EQ-137,EQUATION,Organizational Dynamics::6,0,0
216,EQ-138,EQUATION,Organizational Dynamics::7,0,0
217,EQ-139,EQUATION,Organizational Dynamics::8,0,0
218,EQ-140,EQUATION,Organizational Dynamics::9,0,0
219,EQ-141,EQUATION,Organizational Dynamics::10,0,0
220,EQ-142,EQUATION,Organizational Dynamics::11,0,0
221,EQ-143,EQUATION,Organizational Dynamics::12,0,0
222,EQ-144,EQUATION,Organizational Dynamics::13,0,0
223,EQ-145,EQUATION,Organizational Dynamics::14,0,0
224,EQ-146,EQUATION,Organizational Dynamics::15,0,0
225,EQ-147,EQUATION,Recursive Organizational Grammar::1,0,0
226,EQ-148,EQUATION,Recursive Organizational Grammar::2,0,0
227,EQ-149,EQUATION,Recursive Organizational Grammar::3,0,0
228,EQ-150,EQUATION,Recursive Organizational Grammar::4,0,0
229,EQ-151,EQUATION,Recursive Organizational Grammar::5,0,0
230,EQ-152,EQUATION,Recursive Organizational Grammar::6,0,0
231,EQ-153,EQUATION,Recursive Organizational Grammar::7,0,0
232,EQ-154,EQUATION,Recursive Organizational Grammar::8,0,0
233,EQ-155,EQUATION,Master Cascade::1,0,0
234,EQ-156,EQUATION,Master Cascade::2,0,0
235,EQ-157,EQUATION,Master Cascade::3,0,0
236,EQ-158,EQUATION,Master Cascade::4,0,0
237,EQ-159,EQUATION,Master Cascade::5,0,0
238,EQ-160,EQUATION,Master Cascade::6,0,0
239,EQ-161,EQUATION,Master Cascade::7,0,0
240,EQ-162,EQUATION,Master Cascade::8,0,0
241,EQ-163,EQUATION,Master Cascade::9,0,0
242,EQ-164,EQUATION,Master Cascade::10,0,0
243,EQ-165,EQUATION,Master Cascade::11,0,0
244,EQ-166,EQUATION,Master Cascade::12,0,0
245,EQ-167,EQUATION,Master Cascade::13,0,0
246,EQ-168,EQUATION,Master Cascade::14,0,0
247,EQ-169,EQUATION,Master Cascade::15,0,0
248,EQ-170,EQUATION,Master Cascade::16,0,0
249,EQ-171,EQUATION,Master Cascade::17,0,0
250,EQ-172,EQUATION,Master Cascade::18,0,0
251,EQ-173,EQUATION,Master Cascade::19,0,0
252,EQ-174,EQUATION,Master Cascade::20,0,0
253,EQSRC:CV.1,EQUATION,Christoffel,0,0
254,EQSRC:CV.10,EQUATION,Weyl squared,0,0
255,EQSRC:CV.11,EQUATION,Einstein-Hilbert action,0,0
256,EQSRC:CV.12,EQUATION,Volume element,0,0
257,EQSRC:CV.2,EQUATION,Riemann tensor,0,0
258,EQSRC:CV.3,EQUATION,Ricci tensor,0,0
259,EQSRC:CV.4,EQUATION,Ricci scalar,0,0
260,EQSRC:CV.5,EQUATION,Einstein tensor,0,0
261,EQSRC:CV.6,EQUATION,Einstein equations,0,0
262,EQSRC:CV.7,EQUATION,Kretschner scalar,0,0
263,EQSRC:CV.8,EQUATION,Ricci squared,0,0
264,EQSRC:CV.9,EQUATION,Ricci scalar squared,0,0
265,EQSRC:GE.1,EQUATION,Diffusion distance,0,0
266,EQSRC:GE.10,EQUATION,Spectral dimension,0,0
267,EQSRC:GE.11,EQUATION,Covariant derivative,0,0
268,EQSRC:GE.12,EQUATION,Metric compatibility,0,0
269,EQSRC:GE.13,EQUATION,Conservation,0,0
270,EQSRC:GE.14,EQUATION,D'Alembertian,0,0
271,EQSRC:GE.2,EQUATION,Spectral metric,0,0
272,EQSRC:GE.3,EQUATION,Line element,0,0
273,EQSRC:GE.4,EQUATION,Hessian metric,0,0
274,EQSRC:GE.5,EQUATION,Inner product,0,0
275,EQSRC:GE.6,EQUATION,Norm,0,0
276,EQSRC:GE.7,EQUATION,Cyclicity,0,0
277,EQSRC:GE.8,EQUATION,Heat kernel trace,0,0
278,EQSRC:GE.9,EQUATION,Continuum limit,0,0
279,EQSRC:LH.1,EQUATION,Principle of stationary action,0,0
280,EQSRC:LH.2,EQUATION,Action,0,0
281,EQSRC:LH.3,EQUATION,Lagrangian,0,0
282,EQSRC:LH.4,EQUATION,Hamilton equation 1,0,0
283,EQSRC:LH.5,EQUATION,Hamilton equation 2,0,0
284,EQSRC:LH.6,EQUATION,Hamiltonian,0,0
285,EQSRC:LH.7,EQUATION,Poisson bracket,0,0
286,EQSRC:LH.8,EQUATION,Energy conservation,0,0
287,EQSRC:MC.1,EQUATION,Input,0,0
288,EQSRC:MC.10,EQUATION,Step 9,0,0
289,EQSRC:MC.11,EQUATION,Step 10,0,0
290,EQSRC:MC.12,EQUATION,Step 11,0,0
291,EQSRC:MC.13,EQUATION,Step 12,0,0
292,EQSRC:MC.14,EQUATION,Step 13,0,0
293,EQSRC:MC.15,EQUATION,Step 14,0,0
294,EQSRC:MC.16,EQUATION,Step 15,0,0
295,EQSRC:MC.17,EQUATION,Step 16,0,0
296,EQSRC:MC.18,EQUATION,Step 17,0,0
297,EQSRC:MC.19,EQUATION,Step 18,0,0
298,EQSRC:MC.2,EQUATION,Step 1,0,0
299,EQSRC:MC.20,EQUATION,Step 19,0,0
300,EQSRC:MC.3,EQUATION,Step 2,0,0
301,EQSRC:MC.4,EQUATION,Step 3,0,0
302,EQSRC:MC.5,EQUATION,Step 4,0,0
303,EQSRC:MC.6,EQUATION,Step 5,0,0
304,EQSRC:MC.7,EQUATION,Step 6,0,0
305,EQSRC:MC.8,EQUATION,Step 7,0,0
306,EQSRC:MC.9,EQUATION,Step 8,0,0
307,EQSRC:NCG.1,EQUATION,Connes 1995,0,0
308,EQSRC:NCG.10,EQUATION,Spectral action,0,0
309,EQSRC:NCG.11,EQUATION,Spectral action,0,0
310,EQSRC:NCG.12,EQUATION,Full action,0,0
311,EQSRC:NCG.13,EQUATION,Seeley-DeWitt,0,0
312,EQSRC:NCG.14,EQUATION,Definition,0,0
313,EQSRC:NCG.15,EQUATION,Coefficients,0,0
314,EQSRC:NCG.16,EQUATION,Expansion,0,0
315,EQSRC:NCG.17,EQUATION,Heat kernel,0,0
316,EQSRC:NCG.18,EQUATION,Zeta function,0,0
317,EQSRC:NCG.19,EQUATION,Zeta action,0,0
318,EQSRC:NCG.2,EQUATION,Connes-Chamseddine,0,0
319,EQSRC:NCG.20,EQUATION,Atiyah-Singer,0,0
320,EQSRC:NCG.21,EQUATION,Real structure,0,0
321,EQSRC:NCG.22,EQUATION,Real structure,0,0
322,EQSRC:NCG.23,EQUATION,Real structure,0,0
323,EQSRC:NCG.24,EQUATION,Chirality,0,0
324,EQSRC:NCG.25,EQUATION,Chirality,0,0
325,EQSRC:NCG.26,EQUATION,SM algebra,0,0
326,EQSRC:NCG.27,EQUATION,Gauge group,0,0
327,EQSRC:NCG.28,EQUATION,Unification,0,0
328,EQSRC:NCG.29,EQUATION,Higgs mass,0,0
329,EQSRC:NCG.3,EQUATION,Lichnerowicz,0,0
330,EQSRC:NCG.30,EQUATION,Seesaw,0,0
331,EQSRC:NCG.31,EQUATION,Connes distance,0,0
332,EQSRC:NCG.32,EQUATION,Commutator,0,0
333,EQSRC:NCG.33,EQUATION,Order-one,0,0
334,EQSRC:NCG.34,EQUATION,Boundedness,0,0
335,EQSRC:NCG.35,EQUATION,Propagator,0,0
336,EQSRC:NCG.36,EQUATION,Chiral trace,0,0
337,EQSRC:NCG.4,EQUATION,Definition,0,0
338,EQSRC:NCG.5,EQUATION,Standard Model,0,0
339,EQSRC:NCG.6,EQUATION,Standard Model,0,0
340,EQSRC:NCG.7,EQUATION,Standard Model,0,0
341,EQSRC:NCG.8,EQUATION,Inner fluctuations,0,0
342,EQSRC:NCG.9,EQUATION,Definition,0,0
343,EQSRC:OD.1,EQUATION,Evolution operator,0,0
344,EQSRC:OD.10,EQUATION,Frozen equilibrium,0,0
345,EQSRC:OD.11,EQUATION,Persistence cond. 1,0,0
346,EQSRC:OD.12,EQUATION,Persistence cond. 2,0,0
347,EQSRC:OD.13,EQUATION,Persistence cond. 3,0,0
348,EQSRC:OD.14,EQUATION,Org. continuity,0,0
349,EQSRC:OD.15,EQUATION,Full org. dynamics,0,0
350,EQSRC:OD.2,EQUATION,Operator form,0,0
351,EQSRC:OD.3,EQUATION,Attractor,0,0
352,EQSRC:OD.4,EQUATION,DTC iteration,0,0
353,EQSRC:OD.5,EQUATION,DTC composition,0,0
354,EQSRC:OD.6,EQUATION,Org state,0,0
355,EQSRC:OD.7,EQUATION,Control parameter,0,0
356,EQSRC:OD.8,EQUATION,Fragmentation,0,0
357,EQSRC:OD.9,EQUATION,Persistence,0,0
358,EQSRC:PE.1,EQUATION,Cost functional,0,0
359,EQSRC:PE.10,EQUATION,Material derivative,0,0
360,EQSRC:PE.11,EQUATION,Gradient,0,0
361,EQSRC:PE.12,EQUATION,Org action stationarity,0,0
362,EQSRC:PE.13,EQUATION,Org action,0,0
363,EQSRC:PE.2,EQUATION,Fisher cost,0,0
364,EQSRC:PE.3,EQUATION,Variational principle,0,0
365,EQSRC:PE.4,EQUATION,Euler-Lagrange,0,0
366,EQSRC:PE.5,EQUATION,Action principle,0,0
367,EQSRC:PE.6,EQUATION,Action,0,0
368,EQSRC:PE.7,EQUATION,Field equation,0,0
369,EQSRC:PE.8,EQUATION,GR limit,0,0
370,EQSRC:PE.9,EQUATION,Covariant form,0,0
371,EQSRC:PH.1,EQUATION,Continuity,0,0
372,EQSRC:PH.10,EQUATION,Temperature gradient,0,0
373,EQSRC:PH.11,EQUATION,Chemical gradient,0,0
374,EQSRC:PH.12,EQUATION,Field gradient,0,0
375,EQSRC:PH.13,EQUATION,Distinction operator,0,0
376,EQSRC:PH.2,EQUATION,Diffusion,0,0
377,EQSRC:PH.3,EQUATION,Reaction-diffusion,0,0
378,EQSRC:PH.4,EQUATION,Navier-Stokes,0,0
379,EQSRC:PH.5,EQUATION,Gauss electric,0,0
380,EQSRC:PH.6,EQUATION,Gauss magnetic,0,0
381,EQSRC:PH.7,EQUATION,Faraday,0,0
382,EQSRC:PH.8,EQUATION,Ampere-Maxwell,0,0
383,EQSRC:PH.9,EQUATION,Pressure gradient,0,0
384,EQSRC:QM.1,EQUATION,Schrodinger,0,0
385,EQSRC:QM.10,EQUATION,Spectral action,0,0
386,EQSRC:QM.2,EQUATION,Energy eigenvalue,0,0
387,EQSRC:QM.3,EQUATION,Boltzmann entropy,0,0
388,EQSRC:QM.4,EQUATION,Clausius,0,0
389,EQSRC:QM.5,EQUATION,Helmholtz free energy,0,0
390,EQSRC:QM.6,EQUATION,Gibbs free energy,0,0
391,EQSRC:QM.7,EQUATION,Partition function,0,0
392,EQSRC:QM.8,EQUATION,Free energy from Z,0,0
393,EQSRC:QM.9,EQUATION,Entropy from F,0,0
394,EQSRC:RG.1,EQUATION,Axiom 1 — Closure,0,0
395,EQSRC:RG.2,EQUATION,Axiom 2 — Minimality,0,0
396,EQSRC:RG.3,EQUATION,Axiom 3 — Completeness,0,0
397,EQSRC:RG.4,EQUATION,Axiom 4 — Consistency,0,0
398,EQSRC:RG.5,EQUATION,Axiom 5 — Canonical Form,0,0
399,EQSRC:RG.6,EQUATION,Axiom 6 — Recursive Generativity,0,0
400,EQSRC:RG.7,EQUATION,Persistence theorem,0,0
401,EQSRC:RG.8,EQUATION,Generativity chain,0,0
402,EQSRC:SP.1,EQUATION,Definition,0,0
403,EQSRC:SP.10,EQUATION,Diagonalization,0,0
404,EQSRC:SP.11,EQUATION,Functional calculus,0,0
405,EQSRC:SP.12,EQUATION,Spectral trace,0,0
406,EQSRC:SP.13,EQUATION,Heat trace,0,0
407,EQSRC:SP.14,EQUATION,Heat semigroup,0,0
408,EQSRC:SP.15,EQUATION,Regularized det,0,0
409,EQSRC:SP.16,EQUATION,Hodge Laplacian,0,0
410,EQSRC:SP.17,EQUATION,Dirac-Hodge,0,0
411,EQSRC:SP.18,EQUATION,Nilpotency,0,0
412,EQSRC:SP.19,EQUATION,k-forms,0,0
413,EQSRC:SP.2,EQUATION,Graph Laplacian,0,0
414,EQSRC:SP.20,EQUATION,de Rham cohomology,0,0
415,EQSRC:SP.21,EQUATION,Hodge decomposition,0,0
416,EQSRC:SP.22,EQUATION,Hodge spectrum,0,0
417,EQSRC:SP.23,EQUATION,Hodge heat trace,0,0
418,EQSRC:SP.24,EQUATION,Scalar Laplacian,0,0
419,EQSRC:SP.25,EQUATION,Riemannian Laplacian,0,0
420,EQSRC:SP.3,EQUATION,Eigenequation,0,0
421,EQSRC:SP.4,EQUATION,Spectrum,0,0
422,EQSRC:SP.5,EQUATION,Ground state,0,0
423,EQSRC:SP.6,EQUATION,Kernel,0,0
424,EQSRC:SP.7,EQUATION,Trace,0,0
425,EQSRC:SP.8,EQUATION,Orthonormality,0,0
426,EQSRC:SP.9,EQUATION,Incidence factorization,0,0
427,"EXT::(Δ,τ,κ,Π)",INTERMEDIATE_ENDPOINT,"(Δ,τ,κ,Π)",0,1
428,EXT::C_Π,INTERMEDIATE_ENDPOINT,C_Π,0,1
429,EXT::I_F,INTERMEDIATE_ENDPOINT,I_F,0,1
430,EXT::K_N,INTERMEDIATE_ENDPOINT,K_N,0,1
431,EXT::L(a),INTERMEDIATE_ENDPOINT,L(a),0,1
432,EXT::L_N/h_N²,INTERMEDIATE_ENDPOINT,L_N/h_N²,0,1
433,EXT::N_H,INTERMEDIATE_ENDPOINT,N_H,0,1
434,EXT::P_H,INTERMEDIATE_ENDPOINT,P_H,0,1
435,EXT::Z_H(ℓ_p²),INTERMEDIATE_ENDPOINT,Z_H(ℓ_p²),0,1
436,EXT::ρ_vac,INTERMEDIATE_ENDPOINT,ρ_vac,0,1
437,GAP-001,GAP,What must exist for any physically observable universe to exist at all?,0,0
438,GAP-002,GAP,What is the minimum ontological commitment required to formulate a fundamental physical theory?,0,0
439,GAP-003,GAP,"Which entities or structures are genuinely fundamental, and which are emergent descriptions?",0,0
440,GAP-004,GAP,Can the fundamental theory be formulated without presupposing spacetime?,0,0
441,GAP-005,GAP,Can it be formulated without presupposing time?,0,0
442,GAP-006,GAP,"Can it be formulated without presupposing matter, particles, fields, or quantum states?",0,0
443,GAP-007,GAP,"Does the theory require an underlying substrate, or can physical reality be defined entirely relationally?",0,0
444,GAP-008,GAP,What distinguishes physical existence from mathematical possibility?,0,0
445,GAP-009,GAP,What determines which mathematically possible structures are physically realized?,0,0
446,GAP-010,GAP,"Does the theory need to explain why something exists, or is existence itself a legitimate primitive?",0,0
447,GAP-011,GAP,What organizational process is occurring at the deepest physically meaningful level?,0,0
448,GAP-012,GAP,"What changes, and what remains invariant, during that process?",0,0
449,GAP-013,GAP,What relationships are necessary for the process to occur?,0,0
450,GAP-014,GAP,What structures can participate in the process?,0,0
451,GAP-015,GAP,What structures can emerge from the process without being fundamental assumptions?,0,0
452,GAP-016,GAP,Is there one universal organizational process underlying apparently different physical phenomena?,0,0
453,GAP-017,GAP,"If multiple processes exist, what relates them?",0,0
454,GAP-018,GAP,Can the fundamental process be expressed independently of any particular mathematical representation?,0,0
455,GAP-019,GAP,What distinguishes a physical process from an arbitrary mathematical transformation?,0,0
456,GAP-020,GAP,"Does the fundamental process possess a natural notion of composition, succession, or interaction without presupposing time?",0,0
457,GAP-021,GAP,"What quantities, relationships, or structures must remain invariant under fundamental physical transformations?",0,0
458,GAP-022,GAP,Which invariants are representation-independent?,0,0
459,GAP-023,GAP,Which invariants are merely artifacts of a particular mathematical description?,0,0
460,GAP-024,GAP,Can conservation laws be derived from deeper invariance principles?,0,0
461,GAP-025,GAP,Can symmetries be derived rather than assumed?,0,0
462,GAP-026,GAP,Can gauge invariance be derived from deeper structure?,0,0
463,GAP-027,GAP,Can Lorentz invariance be derived rather than postulated?,0,0
464,GAP-028,GAP,Can unitarity be derived rather than assumed?,0,0
