Source_Label,Equation,Source_Meaning,Source_Table
OD.2,U_alpha = P_{C(alpha)}[ T_alpha(B_n) ],Operator form,24
OD.3,Sigma*(alpha) = lim_{n->inf} U_alpha^n(Sigma_0),Attractor,24
OD.4,Psi_{t+1} = C(T(D Psi_t)),DTC iteration,24
OD.5,Gamma = C o T o D,DTC composition,24
OD.6,"Omega = (Sigma, Pi)",Org state,24
OD.7,alpha = Phi_in / Phi_decay,Control parameter,24
OD.8,alpha < alpha_minus => Sigma_chaos,Fragmentation,24
OD.9,alpha_minus <= alpha <= alpha_plus => Sigma_persistent,Persistence,24
OD.10,alpha > alpha_plus => Sigma_equilibrium,Frozen equilibrium,24
OD.11,dI/d_tau = 0,Persistence cond. 1,26
OD.12,Tr(rho L rho) > 0,Persistence cond. 2,26
OD.13,Phi_boundary = INT J_mu n^mu dS != 0,Persistence cond. 3,26
OD.14,d Omega/dt + nabla . J_Omega = Sigma_Omega,Org. continuity,26
OD.15,d Omega/dt = -nabla.J + D nabla^2 Omega + R(Omega) + C(Omega) + I(Omega),Full org. dynamics,26
RG.1,"for all X,Y in G*: X o Y in G*",Axiom 1 — Closure,28
RG.2,"G = {Delta, tau, kappa} is irreducible",Axiom 2 — Minimality,28
RG.3,"for all O, exists C: C(O) in G*",Axiom 3 — Completeness,28
RG.4,"(Delta, tau, not kappa) => not Pi",Axiom 4 — Consistency,28
RG.5,"for all O, exists unique minimal C(O) in G*",Axiom 5 — Canonical Form,28
RG.6,Pi => Delta' (G* is self-generating),Axiom 6 — Recursive Generativity,28
RG.7,"(Delta, tau, kappa) -> Pi",Persistence theorem,28
RG.8,"Pi -> Delta' -> (Delta',tau',kappa') -> Pi'",Generativity chain,28
MC.1,"(A,H,D)",Input,31
MC.2,"(A,H,D) -> Spec(D)",Step 1,31
MC.3,Spec(D) -> L = D_deg - A,Step 2,31
MC.4,"L -> Spec(L) = {lambda_i, phi_i}",Step 3,31
MC.5,Spec(L) -> K_t = exp(-tL),Step 4,31
MC.6,K_t -> K(t) ~ sum a_n t^{(n-m)/2},Step 5,31
MC.7,"Spec(L) -> d(i,j) = sqrt(sum_k (phi_k(i)-phi_k(j))^2/lambda_k)",Step 6,31
MC.8,"d(i,j) -> g_{ab} = sum_k lambda_k^{-1} d_a phi_k d_b phi_k",Step 7,31
MC.9,g_{ab} -> Gamma^c_{ab},Step 8,31
MC.10,Gamma -> R^a_{bcd} -> R_{ab} -> G_{ab},Step 9,31
MC.11,G_{ab} -> G_{mu nu} + Lambda g_{mu nu} = 8 pi G T_{mu nu},Step 10,31
MC.12,"S = Tr(f(D/Lambda)) + <psi, D psi>",Step 11,31
MC.13,delta S = 0,Step 12,31
MC.14,C_Pi[y] = INT(g_{ab} y'_a y'_b + 2 I_F) dt,Step 13,31
MC.15,delta C_Pi = 0 => y''_c + Gamma^c_{ab} y'_a y'_b = -g^{ca} nabla_a I_F,Step 14,31
MC.16,I_F = 0 => y''_c + Gamma^c_{ab} y'_a y'_b = 0,Step 15,31
MC.17,R = exp(-beta L) => Z = Tr(exp(-beta L)) => F = -k_B T ln Z,Step 16,31
MC.18,alpha = Phi_in/Phi_decay => U_alpha,Step 17,31
MC.19,"lim U_alpha^n(Sigma_0) => {Sigma_chaos, Sigma_persistent, Sigma_equilibrium}",Step 18,31
MC.20,"Gamma = C o T o D, Pi -> Delta'",Step 19,31
