Node_ID,Node_Type,Name,Symbol,Status,Source,Parent_or_Reference,Notes
USR-012,SYMBOL,Metric tensor,g_{mu nu},SOURCE-REGISTERED,UCG,,
USR-013,SYMBOL,Christoffel symbols,Gamma^c_{ab},SOURCE-REGISTERED,UCG,,
USR-014,SYMBOL,Riemann tensor,R^rho_{sig mu nu},SOURCE-REGISTERED,UCG,,
USR-015,SYMBOL,Ricci tensor,R_{mu nu},SOURCE-REGISTERED,UCG,,
USR-016,SYMBOL,Ricci scalar,R,SOURCE-REGISTERED,UCG,,
USR-017,SYMBOL,Einstein tensor,G_{mu nu},SOURCE-REGISTERED,UCG,,
USR-018,SYMBOL,Gauge connection,A_mu,SOURCE-REGISTERED,UCG,,
USR-019,SYMBOL,Field strength,F_{mu nu},SOURCE-REGISTERED,UCG,,
USR-020,SYMBOL,Covariant derivative,D_mu,SOURCE-REGISTERED,UCG,,
USR-021,SYMBOL,Spinor field,psi,SOURCE-REGISTERED,UCG,,
USR-022,SYMBOL,Stress-energy tensor,T_{mu nu},SOURCE-REGISTERED,UCG,,
USR-023,SYMBOL,Entropy production rate,sigma,SOURCE-REGISTERED,UCG,,
USR-024,SYMBOL,Org. Persistence Functional,Pi_O,SOURCE-REGISTERED,UCG,,
USR-025,SYMBOL,Control parameter,alpha,SOURCE-REGISTERED,UCG,,
USR-026,SYMBOL,Evolution operator,U_alpha,SOURCE-REGISTERED,UCG,,
USR-027,SYMBOL,Master attractor,Omega,SOURCE-REGISTERED,UCG,,
USR-028,SYMBOL,Dirac operator,D=sqrt(L),SOURCE-REGISTERED,UCG,,
USR-029,SYMBOL,Einstein-Hilbert action,S_EH,SOURCE-REGISTERED,UCG,,
USR-030,SYMBOL,Persistence Cost Functional,C_Pi[y],SOURCE-REGISTERED,UCG,,
OP-ORG-001,OPERATOR,Distinction,D (Delta),SOURCE-REGISTERED,UCG,,
OP-ORG-002,OPERATOR,Transformation,T (tau),SOURCE-REGISTERED,UCG,,
OP-ORG-003,OPERATOR,Constraint,C (kappa),SOURCE-REGISTERED,UCG,,
OP-ORG-004,OPERATOR,Organizational Action,Gamma = C o T o D,SOURCE-REGISTERED,UCG,,
OP-ORG-005,OPERATOR,Evolution Operator,U_alpha,SOURCE-REGISTERED,UCG,,
OP-CMP-001,OPERATOR,Graph Laplacian,L = D_deg - A,SOURCE-REGISTERED,UCG,,
OP-CMP-002,OPERATOR,Persistence Filter,R = exp(-beta L),SOURCE-REGISTERED,UCG,,
OP-CMP-003,OPERATOR,Heat Kernel,K_t = exp(-tL),SOURCE-REGISTERED,UCG,,
OP-CMP-004,OPERATOR,Dirac Operator,D = sqrt(L),SOURCE-REGISTERED,UCG,,
OP-CMP-005,OPERATOR,Covariant Derivative,nabla_mu,SOURCE-REGISTERED,UCG,,
OP-CMP-006,OPERATOR,Euler-Lagrange,delta C_Pi,SOURCE-REGISTERED,UCG,,
OP-P0-001,OPERATOR,Arithmetic,"+,-,x,/",SOURCE-REGISTERED,UCG,,
OP-P0-002,OPERATOR,Partial Derivative,d_mu,SOURCE-REGISTERED,UCG,,
OP-P0-003,OPERATOR,Gradient,nabla,SOURCE-REGISTERED,UCG,,
OP-P0-004,OPERATOR,Variation,delta,SOURCE-REGISTERED,UCG,,
OP-P0-005,OPERATOR,Laplacian,Delta = nabla.nabla,SOURCE-REGISTERED,UCG,,
OP-P0-006,OPERATOR,Exponential / Logarithm,"exp, log",SOURCE-REGISTERED,UCG,,
OP-P0-007,OPERATOR,Trace,Tr,SOURCE-REGISTERED,UCG,,
OP-P0-008,OPERATOR,Spectrum,Spec,SOURCE-REGISTERED,UCG,,
OP-P0-009,OPERATOR,Adjoint,O^dag,SOURCE-REGISTERED,UCG,,
OP-P0-010,OPERATOR,Projection,P (P^2=P),SOURCE-REGISTERED,UCG,,
OP-P0-011,OPERATOR,Commutator,"[A,B]",SOURCE-REGISTERED,UCG,,
OP-P0-012,OPERATOR,Tensor Product / Direct Sum,"x, +_direct",SOURCE-REGISTERED,UCG,,
EQSRC:NCG.1,EQUATION,Connes 1995,NCG.1,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:NCG.2,EQUATION,Connes-Chamseddine,NCG.2,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:NCG.3,EQUATION,Lichnerowicz,NCG.3,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:NCG.4,EQUATION,Definition,NCG.4,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:NCG.5,EQUATION,Standard Model,NCG.5,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:NCG.6,EQUATION,Standard Model,NCG.6,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:NCG.7,EQUATION,Standard Model,NCG.7,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:NCG.8,EQUATION,Inner fluctuations,NCG.8,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:NCG.9,EQUATION,Definition,NCG.9,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:NCG.10,EQUATION,Spectral action,NCG.10,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:NCG.11,EQUATION,Spectral action,NCG.11,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:NCG.12,EQUATION,Full action,NCG.12,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:NCG.13,EQUATION,Seeley-DeWitt,NCG.13,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:NCG.14,EQUATION,Definition,NCG.14,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:NCG.15,EQUATION,Coefficients,NCG.15,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:NCG.16,EQUATION,Expansion,NCG.16,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:NCG.17,EQUATION,Heat kernel,NCG.17,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:NCG.18,EQUATION,Zeta function,NCG.18,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:NCG.19,EQUATION,Zeta action,NCG.19,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:NCG.20,EQUATION,Atiyah-Singer,NCG.20,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:NCG.21,EQUATION,Real structure,NCG.21,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:NCG.22,EQUATION,Real structure,NCG.22,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:NCG.23,EQUATION,Real structure,NCG.23,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:NCG.24,EQUATION,Chirality,NCG.24,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:NCG.25,EQUATION,Chirality,NCG.25,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:NCG.26,EQUATION,SM algebra,NCG.26,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:NCG.27,EQUATION,Gauge group,NCG.27,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:NCG.28,EQUATION,Unification,NCG.28,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:NCG.29,EQUATION,Higgs mass,NCG.29,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:NCG.30,EQUATION,Seesaw,NCG.30,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:NCG.31,EQUATION,Connes distance,NCG.31,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:NCG.32,EQUATION,Commutator,NCG.32,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:NCG.33,EQUATION,Order-one,NCG.33,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:NCG.34,EQUATION,Boundedness,NCG.34,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:NCG.35,EQUATION,Propagator,NCG.35,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:NCG.36,EQUATION,Chiral trace,NCG.36,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:SP.1,EQUATION,Definition,SP.1,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:SP.2,EQUATION,Graph Laplacian,SP.2,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:SP.3,EQUATION,Eigenequation,SP.3,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:SP.4,EQUATION,Spectrum,SP.4,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:SP.5,EQUATION,Ground state,SP.5,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:SP.6,EQUATION,Kernel,SP.6,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:SP.7,EQUATION,Trace,SP.7,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:SP.8,EQUATION,Orthonormality,SP.8,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:SP.9,EQUATION,Incidence factorization,SP.9,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:SP.10,EQUATION,Diagonalization,SP.10,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:SP.11,EQUATION,Functional calculus,SP.11,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:SP.12,EQUATION,Spectral trace,SP.12,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:SP.13,EQUATION,Heat trace,SP.13,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:SP.14,EQUATION,Heat semigroup,SP.14,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:SP.15,EQUATION,Regularized det,SP.15,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:SP.16,EQUATION,Hodge Laplacian,SP.16,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:SP.17,EQUATION,Dirac-Hodge,SP.17,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:SP.18,EQUATION,Nilpotency,SP.18,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:SP.19,EQUATION,k-forms,SP.19,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:SP.20,EQUATION,de Rham cohomology,SP.20,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:SP.21,EQUATION,Hodge decomposition,SP.21,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:SP.22,EQUATION,Hodge spectrum,SP.22,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:SP.23,EQUATION,Hodge heat trace,SP.23,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:SP.24,EQUATION,Scalar Laplacian,SP.24,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:SP.25,EQUATION,Riemannian Laplacian,SP.25,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:GE.1,EQUATION,Diffusion distance,GE.1,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:GE.2,EQUATION,Spectral metric,GE.2,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:GE.3,EQUATION,Line element,GE.3,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:GE.4,EQUATION,Hessian metric,GE.4,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:GE.5,EQUATION,Inner product,GE.5,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:GE.6,EQUATION,Norm,GE.6,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:GE.7,EQUATION,Cyclicity,GE.7,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:GE.8,EQUATION,Heat kernel trace,GE.8,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:GE.9,EQUATION,Continuum limit,GE.9,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:GE.10,EQUATION,Spectral dimension,GE.10,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:GE.11,EQUATION,Covariant derivative,GE.11,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:GE.12,EQUATION,Metric compatibility,GE.12,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:GE.13,EQUATION,Conservation,GE.13,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:GE.14,EQUATION,D'Alembertian,GE.14,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:PE.1,EQUATION,Cost functional,PE.1,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:PE.2,EQUATION,Fisher cost,PE.2,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:PE.3,EQUATION,Variational principle,PE.3,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:PE.4,EQUATION,Euler-Lagrange,PE.4,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:PE.5,EQUATION,Action principle,PE.5,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:PE.6,EQUATION,Action,PE.6,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:PE.7,EQUATION,Field equation,PE.7,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:PE.8,EQUATION,GR limit,PE.8,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:PE.9,EQUATION,Covariant form,PE.9,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:PE.10,EQUATION,Material derivative,PE.10,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:PE.11,EQUATION,Gradient,PE.11,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:PE.12,EQUATION,Org action stationarity,PE.12,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:PE.13,EQUATION,Org action,PE.13,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:CV.1,EQUATION,Christoffel,CV.1,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:CV.2,EQUATION,Riemann tensor,CV.2,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:CV.3,EQUATION,Ricci tensor,CV.3,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:CV.4,EQUATION,Ricci scalar,CV.4,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:CV.5,EQUATION,Einstein tensor,CV.5,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:CV.6,EQUATION,Einstein equations,CV.6,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:CV.7,EQUATION,Kretschner scalar,CV.7,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:CV.8,EQUATION,Ricci squared,CV.8,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:CV.9,EQUATION,Ricci scalar squared,CV.9,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:CV.10,EQUATION,Weyl squared,CV.10,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:CV.11,EQUATION,Einstein-Hilbert action,CV.11,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:CV.12,EQUATION,Volume element,CV.12,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:PH.1,EQUATION,Continuity,PH.1,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:PH.2,EQUATION,Diffusion,PH.2,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:PH.3,EQUATION,Reaction-diffusion,PH.3,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:PH.4,EQUATION,Navier-Stokes,PH.4,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:PH.5,EQUATION,Gauss electric,PH.5,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:PH.6,EQUATION,Gauss magnetic,PH.6,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:PH.7,EQUATION,Faraday,PH.7,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:PH.8,EQUATION,Ampere-Maxwell,PH.8,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:PH.9,EQUATION,Pressure gradient,PH.9,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:PH.10,EQUATION,Temperature gradient,PH.10,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:PH.11,EQUATION,Chemical gradient,PH.11,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:PH.12,EQUATION,Field gradient,PH.12,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:PH.13,EQUATION,Distinction operator,PH.13,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:QM.1,EQUATION,Schrodinger,QM.1,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:QM.2,EQUATION,Energy eigenvalue,QM.2,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:QM.3,EQUATION,Boltzmann entropy,QM.3,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:QM.4,EQUATION,Clausius,QM.4,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:QM.5,EQUATION,Helmholtz free energy,QM.5,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:QM.6,EQUATION,Gibbs free energy,QM.6,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:QM.7,EQUATION,Partition function,QM.7,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:QM.8,EQUATION,Free energy from Z,QM.8,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:QM.9,EQUATION,Entropy from F,QM.9,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:QM.10,EQUATION,Spectral action,QM.10,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:LH.1,EQUATION,Principle of stationary action,LH.1,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:LH.2,EQUATION,Action,LH.2,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:LH.3,EQUATION,Lagrangian,LH.3,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:LH.4,EQUATION,Hamilton equation 1,LH.4,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:LH.5,EQUATION,Hamilton equation 2,LH.5,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:LH.6,EQUATION,Hamiltonian,LH.6,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:LH.7,EQUATION,Poisson bracket,LH.7,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:LH.8,EQUATION,Energy conservation,LH.8,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:OD.1,EQUATION,Evolution operator,OD.1,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:OD.2,EQUATION,Operator form,OD.2,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:OD.3,EQUATION,Attractor,OD.3,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:OD.4,EQUATION,DTC iteration,OD.4,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:OD.5,EQUATION,DTC composition,OD.5,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:OD.6,EQUATION,Org state,OD.6,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:OD.7,EQUATION,Control parameter,OD.7,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:OD.8,EQUATION,Fragmentation,OD.8,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:OD.9,EQUATION,Persistence,OD.9,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:OD.10,EQUATION,Frozen equilibrium,OD.10,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:OD.11,EQUATION,Persistence cond. 1,OD.11,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:OD.12,EQUATION,Persistence cond. 2,OD.12,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:OD.13,EQUATION,Persistence cond. 3,OD.13,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:OD.14,EQUATION,Org. continuity,OD.14,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:OD.15,EQUATION,Full org. dynamics,OD.15,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:RG.1,EQUATION,Axiom 1 — Closure,RG.1,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:RG.2,EQUATION,Axiom 2 — Minimality,RG.2,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:RG.3,EQUATION,Axiom 3 — Completeness,RG.3,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:RG.4,EQUATION,Axiom 4 — Consistency,RG.4,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:RG.5,EQUATION,Axiom 5 — Canonical Form,RG.5,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:RG.6,EQUATION,Axiom 6 — Recursive Generativity,RG.6,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:RG.7,EQUATION,Persistence theorem,RG.7,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:RG.8,EQUATION,Generativity chain,RG.8,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:MC.1,EQUATION,Input,MC.1,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:MC.2,EQUATION,Step 1,MC.2,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:MC.3,EQUATION,Step 2,MC.3,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:MC.4,EQUATION,Step 3,MC.4,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:MC.5,EQUATION,Step 4,MC.5,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:MC.6,EQUATION,Step 5,MC.6,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:MC.7,EQUATION,Step 6,MC.7,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:MC.8,EQUATION,Step 7,MC.8,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:MC.9,EQUATION,Step 8,MC.9,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:MC.10,EQUATION,Step 9,MC.10,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:MC.11,EQUATION,Step 10,MC.11,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:MC.12,EQUATION,Step 11,MC.12,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:MC.13,EQUATION,Step 12,MC.13,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:MC.14,EQUATION,Step 13,MC.14,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:MC.15,EQUATION,Step 14,MC.15,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:MC.16,EQUATION,Step 15,MC.16,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:MC.17,EQUATION,Step 16,MC.17,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:MC.18,EQUATION,Step 17,MC.18,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:MC.19,EQUATION,Step 18,MC.19,SOURCE-REGISTERED,Master Equation Matrix,,
EQSRC:MC.20,EQUATION,Step 19,MC.20,SOURCE-REGISTERED,Master Equation Matrix,,
DER-SDR-001,DERIVATION,Strict Dependency Relation — Definition,,CERTIFIED,DER Registry v2,None (definitional),
DER-SDR-002,DERIVATION,Irreflexivity,,CERTIFIED,DER Registry v2,SDR-001,
DER-SDR-003,DERIVATION,Transitivity,,CERTIFIED,DER Registry v2,SDR-001,
DER-SDR-004,DERIVATION,Acyclicity,,CERTIFIED,DER Registry v2,SDR-001,
DER-SDR-005,DERIVATION,Recovery Admissibility,,CERTIFIED,DER Registry v2,SDR-001 through SDR-004,
DER-ORG-001,DERIVATION,Organizational Grammar Recovery,,CERTIFIED,DER Registry v2,"PRIM-001,002,003",
DER-ORG-002,DERIVATION,Organizational State Evolution,,CERTIFIED,DER Registry v2,ORG-001,
DER-ORG-003,DERIVATION,Persistence / Fixed-Point Recovery,,CERTIFIED,DER Registry v2,ORG-002,
DER-ORG-004,DERIVATION,Recursive Organizational Distinction,,CERTIFIED,DER Registry v2,ORG-003,
DER-ORG-005,DERIVATION,Organizational Compiler Interface,,CERTIFIED,DER Registry v2,"ORG-001, SPC-001",
DER-ORG-006,DERIVATION,Fixed-Point Equivalence Theorem,,OPEN,DER Registry v2,"ORG-003, SPC-005",
DER-ORG-007,DERIVATION,Organizational Persistence Functional Recovery,,OPEN,DER Registry v2,"ORG-003, TRC-002",
DER-ORG-008,DERIVATION,Organizational Attractor Uniqueness,,OPEN,DER Registry v2,ORG-003,
DER-ORG-009,DERIVATION,Compiler Completeness Theorem,,OPEN,DER Registry v2,ORG-005,
DER-ORG-010,DERIVATION,Dependency Completeness Theorem,,OPEN,DER Registry v2,"SDR-005, ORG-009",
