Q#,Section,Question,Current Physics Status,Required ToE Result,Existing Candidate Approaches,What Remains Unexplained,Falsifiable Test
40,IV. Transformation and Dynamics,"What determines the arrow of time, if time itself is emergent?","Partially understood statistically (low-entropy initial condition, i.e. the 'past hypothesis'), not derived from fundamental dynamics.","A derivation of the initial low-entropy condition itself, not just its consequences.","Boltzmann's statistical mechanics; past hypothesis (Penrose, Albert)",Why the initial state had low entropy is unexplained.,"Cosmological observations of the early universe (indirect, ongoing)."
41,V. Emergence of Spacetime,Is spacetime fundamental or emergent?,"Open; strong theoretical evidence for emergence within AdS/CFT, not demonstrated for our actual universe.","A confirmed emergence mechanism for realistic, de Sitter-like spacetime.","AdS/CFT correspondence (Maldacena, 1997); Ryu-Takayanagi entanglement entropy formula; loop quantum gravity spin networks; causal sets; Jacobson's thermodynamic derivation of Einstein's equations (1995, 2016)","AdS/CFT works for anti-de Sitter space, not the accelerating universe we inhabit.",None confirmed for our universe.
42,V. Emergence of Spacetime,"If spacetime is emergent, what underlying structure generates it?",Partially answered within AdS/CFT: boundary entanglement structure generates bulk geometry.,A generating structure confirmed to work outside idealized holographic settings.,"AdS/CFT correspondence (Maldacena, 1997); Ryu-Takayanagi entanglement entropy formula; loop quantum gravity spin networks; causal sets; Jacobson's thermodynamic derivation of Einstein's equations (1995, 2016)","Restricted to special, non-realistic spacetimes.",None confirmed.
43,V. Emergence of Spacetime,What mechanism produces dimensionality?,Open.,"A derivation of the number of macroscopic dimensions, not a compactification chosen by hand.","String theory compactification (chosen, not derived); CDT dimensional reduction at short distance",Dimensionality is put in by hand in every current candidate.,"CDT's short-distance dimensional-reduction signature (indirect, unconfirmed)."
44,V. Emergence of Spacetime,Why does effective spacetime have approximately 3+1 dimensions?,Open. Not derived in any confirmed theory.,A first-principles derivation of 3 spatial + 1 time dimension.,"String theory (requires 10-11D, needs compactification); anthropic arguments (contested)",No confirmed derivation; string theory's natural dimensionality actually disagrees with observation absent an added assumption.,None confirmed.
45,V. Emergence of Spacetime,Can locality emerge from a nonlocal or pre-geometric structure?,Partially explored within holography (bulk locality emergent from boundary entanglement).,A general demonstration outside special holographic cases.,"AdS/CFT correspondence (Maldacena, 1997); Ryu-Takayanagi entanglement entropy formula; loop quantum gravity spin networks; causal sets; Jacobson's thermodynamic derivation of Einstein's equations (1995, 2016)",Confirmed only in idealized settings.,None confirmed generally.
46,V. Emergence of Spacetime,Can causal structure emerge without assuming causality at the fundamental level?,"Open; causal sets take causality as fundamental rather than deriving it, which is itself a limitation relative to this question.",A derivation of causal structure from a genuinely acausal substrate.,Causal set theory (assumes causal order as primitive),Causal sets assume rather than derive causal order.,None confirmed.
47,V. Emergence of Spacetime,Can metric structure emerge from more primitive relationships?,Partially explored (entanglement-to-geometry proposals); not established outside holography.,A general derivation of the metric from non-geometric primitives.,Ryu-Takayanagi formula; tensor network geometry models,Restricted to holographic/toy settings.,None confirmed.
48,V. Emergence of Spacetime,Can curvature emerge from organizational or relational structure?,Partially explored; entropic gravity proposes this but is contested.,A confirmed derivation matching GR's curvature dynamics in general settings.,"Verlinde's entropic gravity (contested, not confirmed by data)",Entropic gravity's specific predictions are disputed against galactic dynamics data.,"Galaxy rotation curve and lensing comparisons (ongoing, contested)."
49,V. Emergence of Spacetime,Can the Einstein field equations emerge from the deeper theory?,"Partially achieved. Jacobson (1995, 2016) derived the Einstein equations as a thermodynamic equation of state, assuming a pre-existing spacetime.",A derivation that does not presuppose the spacetime it is meant to explain.,Jacobson's thermodynamic derivation; AdS/CFT bulk reconstruction,Existing derivations presuppose smooth spacetime rather than deriving it from nothing.,None confirmed as a from-scratch derivation.
50,V. Emergence of Spacetime,Under what limit does the fundamental theory reproduce General Relativity?,"Partially answered within specific candidate theories (string theory low-energy limit; LQG semiclassical limit), not demonstrated with full generality.","A general, rigorously controlled classical limit recovering all of GR.",String theory supergravity limit; LQG coherent-state semiclassical limit,Neither limit is fully general or free of technical gaps.,None confirmed beyond internal consistency checks.
51,VI. Quantum Structure,Why is nature quantum mechanical?,Open. No confirmed derivation from a non-quantum substrate.,"A derivation of quantum mechanics from deeper, non-quantum principles.","Quantum reconstruction from operational axioms (Hardy; Chiribella et al.); Everettian/many-worlds decision-theoretic Born rule arguments (Deutsch, Wallace); decoherence theory (well established); objective collapse models (GRW, CSL)","Reconstruction theorems derive QM from operational axioms, not from an independent physical substrate.",None confirmed.
52,VI. Quantum Structure,Can the Hilbert-space structure of quantum theory be derived?,Partially achieved. Reconstruction theorems derive it from operational/probabilistic axioms.,A derivation from physical rather than operational/axiomatic starting points.,Hardy's axioms; Chiribella-D'Ariano-Perinotti reconstruction,"The axioms themselves are chosen, not independently derived.","None needed; this is a formal result, not an empirical claim."
53,VI. Quantum Structure,Can complex amplitudes be derived?,Partially achieved within reconstruction programs (complex numbers follow from specific operational axioms).,Same caveat as above.,"Quantum reconstruction from operational axioms (Hardy; Chiribella et al.); Everettian/many-worlds decision-theoretic Born rule arguments (Deutsch, Wallace); decoherence theory (well established); objective collapse models (GRW, CSL)",Axiom-dependent derivation only.,N/A
54,VI. Quantum Structure,Can superposition be derived?,"Not derived; built into the linear, tensor-product structure of quantum mechanics from the outset.",A derivation of linearity itself from something deeper.,"Quantum reconstruction from operational axioms (Hardy; Chiribella et al.); Everettian/many-worlds decision-theoretic Born rule arguments (Deutsch, Wallace); decoherence theory (well established); objective collapse models (GRW, CSL)","Superposition is a formal consequence of the postulated structure, not independently derived.",N/A
55,VI. Quantum Structure,Can entanglement be derived?,Not separately derived; a direct mathematical consequence of the tensor-product formalism.,Same as above.,"Quantum reconstruction from operational axioms (Hardy; Chiribella et al.); Everettian/many-worlds decision-theoretic Born rule arguments (Deutsch, Wallace); decoherence theory (well established); objective collapse models (GRW, CSL)",Entanglement follows from assumed structure rather than being derived from something prior.,"Bell tests confirm entanglement's physical reality (already done, repeatedly)."
56,VI. Quantum Structure,Can the Born rule be derived?,Contested. Everettian decision-theoretic arguments claim a derivation; not universally accepted.,"An uncontested derivation, or an accepted proof that it must be postulated.",Deutsch-Wallace decision theory arguments (contested),Philosophy-of-physics community remains split on whether these arguments succeed.,None decisive; some proposed tests of Born-rule deviations exist and have found none.
57,VI. Quantum Structure,Can quantum probabilities be derived rather than assumed?,Same status as Question 56.,Same as above.,Deutsch-Wallace arguments; frequentist and Bayesian reconstructions,"Contested, not settled.",Precision tests of Born-rule violation (null results so far).
58,VI. Quantum Structure,Can unitarity emerge from deeper dynamics?,Open; same status as Question 28.,A derivation from a non-quantum or pre-quantum substrate.,None confirmed.,No derivation exists.,N/A
59,VI. Quantum Structure,Can measurement and classical definiteness emerge from the fundamental theory?,"Partially explained. Decoherence, well confirmed experimentally, explains the practical disappearance of interference for macroscopic systems.","A complete account of why any single definite outcome occurs, not just why alternatives become unobservable.",Decoherence theory (confirmed); Everettian branching; Bohmian mechanics; GRW/CSL collapse models,Decoherence does not explain single outcomes; the interpretations diverge on this and remain empirically underdetermined.,"GRW/CSL predict tiny deviations from standard QM in principle testable; searches ongoing, no confirmed detection."
60,VI. Quantum Structure,Does quantum mechanics represent a fundamental level of reality or an effective preservation architecture?,Open; an interpretive question without empirical resolution to date.,An empirical discriminant between fundamental and effective/emergent quantum mechanics.,"Objective collapse models (offer testable deviations); 't Hooft's deterministic/cellular-automaton QM (fringe, largely unconfirmed)",No confirmed deviation from standard QM has been found at any tested scale.,"GRW/CSL macroscopic superposition experiments (ongoing, null so far)."
61,VII. Gravity,What is gravity fundamentally?,Open at the unification level. Well described classically by GR; not derived from a deeper quantum structure in any confirmed theory.,A confirmed quantum-mechanical origin of gravity.,"Semiclassical QFT in curved spacetime (Hawking, 1974 - established); Strominger-Vafa string microstate counting (1996, special cases); loop quantum gravity horizon microstate counting; island formula / replica wormholes (Penington, Almheiri, Engelhardt, Marolf, Maxfield, 2019-2020)",No confirmed quantum theory of gravity exists.,None confirmed.
62,VII. Gravity,"Is gravity a fundamental interaction, emergent geometry, collective phenomenon, or something else?",Open; GR treats it as geometry; entropic gravity treats it as emergent thermodynamics; neither settled beyond GR's classical success.,A confirmed classification.,Verlinde's entropic gravity (contested); Jacobson's thermodynamic derivation,Contested and unconfirmed status.,"Galactic dynamics comparisons (ongoing, contested for entropic gravity)."
63,VII. Gravity,Why does gravitational interaction correspond to spacetime geometry in General Relativity?,Established as a postulate confirmed by 100+ years of observation; not derived from anything deeper in a confirmed way.,A derivation of the geometric correspondence from a pre-geometric substrate.,Jacobson's thermodynamic derivation (presupposes spacetime),Presupposes rather than derives the spacetime it explains.,"GR has passed every test to date, including gravitational wave observations."
64,VII. Gravity,Can the equivalence principle be derived?,"Open; it is a foundational postulate, tested to about 1 part in 10^15 by the MICROSCOPE satellite, with no violation found.","A derivation from deeper structure, or a proof it must be fundamental.","Entropic gravity (claims derivation, contested)",No confirmed derivation.,"MICROSCOPE and torsion-balance tests (ongoing, no violation found)."
65,VII. Gravity,Can gravitational dynamics emerge from the same structure responsible for quantum behavior?,Partially suggested within AdS/CFT (gravity as dual to an entangled quantum system); not demonstrated for realistic spacetime.,"A demonstration for realistic, non-idealized spacetime.","Semiclassical QFT in curved spacetime (Hawking, 1974 - established); Strominger-Vafa string microstate counting (1996, special cases); loop quantum gravity horizon microstate counting; island formula / replica wormholes (Penington, Almheiri, Engelhardt, Marolf, Maxfield, 2019-2020)",AdS/CFT restricted to anti-de Sitter settings.,None confirmed for our universe.
66,VII. Gravity,Can black-hole entropy be derived from the underlying degrees of freedom?,Achieved for special cases only. Strominger-Vafa (1996) derived it exactly for certain extremal string-theory black holes.,"A derivation for realistic, astrophysical black holes.",Strominger-Vafa string microstate counting; LQG horizon counting (requires fixing a free parameter),Not extended to realistic black holes; LQG's derivation requires an empirically fitted parameter.,None confirmed for real black holes.
67,VII. Gravity,Can black-hole thermodynamics be derived?,Established. Bekenstein-Hawking entropy and Hawking radiation are rigorously derived from semiclassical QFT in curved spacetime (1974).,Already achieved at the semiclassical level; full microscopic derivation for real black holes remains open.,Hawking/Bekenstein semiclassical derivation (confirmed theoretically),Semiclassical only; a full quantum-gravitational derivation is not yet achieved.,Indirect: Hawking radiation itself remains undetected from astrophysical black holes due to its faintness.
68,VII. Gravity,Can the Bekenstein-Hawking entropy formula be derived?,"Same status as Question 67, established semiclassically, microscopically confirmed only in special cases.",Same as Question 66.,"Semiclassical QFT in curved spacetime (Hawking, 1974 - established); Strominger-Vafa string microstate counting (1996, special cases); loop quantum gravity horizon microstate counting; island formula / replica wormholes (Penington, Almheiri, Engelhardt, Marolf, Maxfield, 2019-2020)",Same as Question 66.,N/A
69,VII. Gravity,Can Hawking radiation be recovered?,Established theoretically via semiclassical QFT in curved spacetime; never directly observed astrophysically.,Direct observational confirmation.,"Semiclassical QFT derivation (Hawking, 1974)",Never directly detected; theoretically robust but observationally unconfirmed.,Direct detection of Hawking radiation (not yet achieved; signal is far below current sensitivity).
70,VII. Gravity,Can the black-hole information problem be resolved without adding ad hoc assumptions?,"Formally unresolved as of 2026, though substantially more constructive than at any prior point. Island formula and replica wormhole calculations reproduce a unitary Page curve.","A resolution demonstrated for realistic, non-holographic, asymptotically flat black holes.","Semiclassical QFT in curved spacetime (Hawking, 1974 - established); Strominger-Vafa string microstate counting (1996, special cases); loop quantum gravity horizon microstate counting; island formula / replica wormholes (Penington, Almheiri, Engelhardt, Marolf, Maxfield, 2019-2020)",Current results rely on holographic/AdS or two-dimensional model settings; the mechanism for real black holes remains uncertain.,None confirmed observationally; purely theoretical progress to date.
71,VIII. Standard Model,Can the Standard Model gauge structure be derived?,"Not derived. SU(3)xSU(2)xU(1) is measured, inserted as an input.",A derivation of the exact gauge group from a deeper principle.,"Grand unified theories: SU(5), SO(10) (minimal SU(5) largely excluded by proton decay non-observation); string theory model-building; technicolor (largely disfavored); supersymmetry (simplest versions disfavored by LHC null results)",No confirmed derivation exists.,"GUT proton decay searches (Super-Kamiokande and successors, largely null so far)."
72,VIII. Standard Model,Why is the gauge group SU(3)xSU(2)xU(1) the structure realized by nature?,"Not derived. Measured, not explained.","Grand unified theories: SU(5), SO(10) (minimal SU(5) largely excluded by proton decay non-observation); string theory model-building; technicolor (largely disfavored); supersymmetry (simplest versions disfavored by LHC null results)","Grand unified theories: SU(5), SO(10) (minimal SU(5) largely excluded by proton decay non-observation); string theory model-building; technicolor (largely disfavored); supersymmetry (simplest versions disfavored by LHC null results)",Same as Question 71.,Same as Question 71.
73,VIII. Standard Model,Can gauge symmetries emerge from deeper principles?,Open; same as Question 26.,Same as Question 26.,Emergent gauge symmetry from entanglement (speculative),No confirmed derivation.,None confirmed.
74,VIII. Standard Model,Can the observed particle representations be derived?,Not derived. Representations (quark/lepton multiplets) are measured inputs to the Standard Model.,A derivation of the specific representation content.,"GUT embeddings (SU(5), SO(10)) organize but do not derive the representations from first principles.",Representation content remains an input even within GUTs.,N/A
75,VIII. Standard Model,Can the number of particle generations be derived?,Not derived. Measured to be exactly three via the LEP Z-boson width measurement in the 1990s.,A derivation of the number three from first principles.,Anomaly cancellation constraints (necessary but not sufficient to fix the number),No theory derives exactly three generations.,LEP Z-width measurement (already confirms exactly three light neutrino species).
76,VIII. Standard Model,Can fermionic statistics be derived?,"Established via the spin-statistics theorem, a rigorous result of relativistic quantum field theory.",Already achieved.,"Spin-statistics theorem (Fierz, Pauli - proven)",None significant; this is a settled result.,Extensively confirmed experimentally.
77,VIII. Standard Model,Can chirality be derived?,"Not derived. The chiral structure of the weak interaction is a measured feature, not a derived necessity.",A derivation of why weak interactions are chiral.,"Grand unified theories: SU(5), SO(10) (minimal SU(5) largely excluded by proton decay non-observation); string theory model-building; technicolor (largely disfavored); supersymmetry (simplest versions disfavored by LHC null results)",No confirmed derivation exists.,N/A
78,VIII. Standard Model,Can the Higgs mechanism be derived?,"The mechanism itself is established theory, and the Higgs boson was discovered at the LHC in 2012 with properties matching Standard Model predictions to good precision.",A derivation of why the Higgs potential takes its specific form (the hierarchy problem).,Supersymmetry (disfavored in simplest forms by LHC null results); compositeness models,"The hierarchy problem, why the Higgs mass is not driven to a much higher scale by quantum corrections, remains unresolved.","LHC Higgs self-coupling measurements (ongoing, not yet precise); supersymmetric particle searches (null so far)."
79,VIII. Standard Model,Can electroweak symmetry breaking be derived?,Mechanism established and confirmed by the 2012 Higgs discovery; the specific parameters of the Higgs potential remain unexplained inputs.,Same as Question 78.,Same as Question 78.,Same as Question 78.,Same as Question 78.
