Variable_ID,Symbol,Definition,Units,Status,Origins
VAR-0046,N_sub (spectral trace,,,SOURCE-REGISTERED,UCCP
VAR-0047,m_{aP} (Persistence,,,SOURCE-REGISTERED,UCCP
VAR-0048,m_p/m_e (mass,,,SOURCE-REGISTERED,UCCP
VAR-0049,A,,,EQUATION-REFERENCED,EQ:NCG.1; EQ:NCG.5; EQ:NCG.8; EQ:NCG.9; EQ:NCG.26; EQ:NCG.34; EQ:SP.2; EQ:GE.7; EQ:QM.10; EQ:MC.1; EQ:MC.2; EQ:MC.3
VAR-0050,H,,,EQUATION-REFERENCED,EQ:NCG.1; EQ:NCG.6; EQ:NCG.26; EQ:NCG.34; EQ:SP.20; EQ:SP.21; EQ:QM.6; EQ:LH.6; EQ:LH.8; EQ:MC.1; EQ:MC.2
VAR-0051,D,,,EQUATION-REFERENCED,EQ:NCG.1; EQ:NCG.2; EQ:NCG.3; EQ:NCG.4; EQ:NCG.7; EQ:NCG.8; EQ:NCG.9; EQ:NCG.13; EQ:NCG.17; EQ:NCG.18; EQ:NCG.20; EQ:NCG.22; EQ:NCG.25; EQ:NCG.31; EQ:NCG.32; EQ:NCG.33; EQ:NCG.34; EQ:NCG.35; EQ:NCG.36; EQ:SP.17; EQ:GE.8; EQ:PE.9; EQ:PE.10; EQ:PH.2; EQ:PH.3; EQ:PH.13; EQ:OD.4; EQ:OD.5; EQ:OD.15; EQ:MC.1; EQ:MC.2; EQ:MC.3; EQ:MC.12; EQ:MC.20
VAR-0052,S,,,EQUATION-REFERENCED,EQ:NCG.2; EQ:NCG.6; EQ:NCG.12; EQ:GE.4; EQ:PE.5; EQ:PE.6; EQ:QM.3; EQ:QM.5; EQ:QM.6; EQ:QM.9; EQ:LH.1; EQ:LH.2; EQ:MC.12; EQ:MC.13
VAR-0053,Tr,,,EQUATION-REFERENCED,EQ:NCG.2; EQ:NCG.10; EQ:NCG.13; EQ:NCG.17; EQ:NCG.18; EQ:NCG.36; EQ:SP.7; EQ:SP.12; EQ:SP.13; EQ:SP.23; EQ:GE.7; EQ:GE.8; EQ:QM.7; EQ:OD.12; EQ:MC.12; EQ:MC.17
VAR-0054,f,,,EQUATION-REFERENCED,EQ:NCG.2; EQ:NCG.10; EQ:NCG.13; EQ:NCG.14; EQ:NCG.31; EQ:SP.11; EQ:SP.12; EQ:PH.4; EQ:LH.7; EQ:MC.12
VAR-0055,nabla,,,EQUATION-REFERENCED,EQ:NCG.3; EQ:SP.24; EQ:PH.1; EQ:PH.2; EQ:PH.3; EQ:PH.4; EQ:PH.5; EQ:PH.6; EQ:PH.7; EQ:PH.8; EQ:PH.9; EQ:PH.10; EQ:PH.11; EQ:PH.12; EQ:PH.13; EQ:OD.14; EQ:OD.15
VAR-0056,Spec,,,EQUATION-REFERENCED,EQ:NCG.4; EQ:SP.4; EQ:SP.22; EQ:MC.2; EQ:MC.3; EQ:MC.4; EQ:MC.5; EQ:MC.7
VAR-0057,lambda_i,,,EQUATION-REFERENCED,EQ:NCG.4; EQ:SP.7; EQ:SP.8; EQ:SP.12; EQ:SP.14; EQ:MC.4
VAR-0058,C,,,EQUATION-REFERENCED,EQ:NCG.5; EQ:NCG.26; EQ:CV.10; EQ:OD.2; EQ:OD.4; EQ:OD.5; EQ:OD.15; EQ:RG.3; EQ:RG.5; EQ:MC.20
VAR-0059,inf,,,EQUATION-REFERENCED,EQ:NCG.5; EQ:NCG.14; EQ:NCG.26; EQ:OD.3
VAR-0060,M,,,EQUATION-REFERENCED,EQ:NCG.5; EQ:NCG.6; EQ:NCG.26; EQ:SP.19; EQ:SP.20
VAR-0061,x,,,EQUATION-REFERENCED,EQ:NCG.5; EQ:NCG.6; EQ:NCG.7; EQ:NCG.26; EQ:NCG.27; EQ:NCG.31; EQ:CV.11; EQ:PH.7; EQ:PH.8
VAR-0062,A_F,,,EQUATION-REFERENCED,EQ:NCG.5
VAR-0063,L,,,EQUATION-REFERENCED,EQ:NCG.6; EQ:SP.2; EQ:SP.3; EQ:SP.4; EQ:SP.6; EQ:SP.7; EQ:SP.8; EQ:SP.9; EQ:SP.10; EQ:SP.11; EQ:SP.12; EQ:SP.13; EQ:SP.14; EQ:SP.15; EQ:PE.6; EQ:QM.7; EQ:LH.2; EQ:LH.3; EQ:OD.12; EQ:MC.3; EQ:MC.4; EQ:MC.5; EQ:MC.7; EQ:MC.17
VAR-0064,H_F,,,EQUATION-REFERENCED,EQ:NCG.6
VAR-0065,D_M,,,EQUATION-REFERENCED,EQ:NCG.7
VAR-0066,gamma,,,EQUATION-REFERENCED,EQ:NCG.7; EQ:NCG.23; EQ:NCG.24; EQ:NCG.25; EQ:NCG.36
VAR-0067,D_F,,,EQUATION-REFERENCED,EQ:NCG.7
VAR-0068,D_A,,,EQUATION-REFERENCED,EQ:NCG.8; EQ:NCG.10; EQ:NCG.11
VAR-0069,J,,,EQUATION-REFERENCED,EQ:NCG.8; EQ:NCG.11; EQ:NCG.21; EQ:NCG.22; EQ:NCG.23; EQ:PH.8; EQ:OD.15
VAR-0070,sum_i,,,EQUATION-REFERENCED,EQ:NCG.9; EQ:SP.7; EQ:SP.12; EQ:LH.7
VAR-0071,a_i,,,EQUATION-REFERENCED,EQ:NCG.9
VAR-0072,b_i,,,EQUATION-REFERENCED,EQ:NCG.9
VAR-0073,S_B,,,EQUATION-REFERENCED,EQ:NCG.10; EQ:NCG.12
VAR-0074,S_F,,,EQUATION-REFERENCED,EQ:NCG.11; EQ:NCG.12
VAR-0075,sum_,,,EQUATION-REFERENCED,EQ:NCG.13
VAR-0076,n,,,EQUATION-REFERENCED,EQ:NCG.13; EQ:NCG.14; EQ:OD.1; EQ:OD.3; EQ:OD.13; EQ:MC.6; EQ:MC.19
VAR-0077,f_n,,,EQUATION-REFERENCED,EQ:NCG.13; EQ:NCG.14
VAR-0078,a_n,,,EQUATION-REFERENCED,EQ:NCG.13; EQ:MC.6
VAR-0079,INT_0,,,EQUATION-REFERENCED,EQ:NCG.14
VAR-0080,v,,,EQUATION-REFERENCED,EQ:NCG.14; EQ:PH.1
VAR-0081,dv,,,EQUATION-REFERENCED,EQ:NCG.14
VAR-0082,a_0,,,EQUATION-REFERENCED,EQ:NCG.15; EQ:NCG.16
VAR-0083,a_2,,,EQUATION-REFERENCED,EQ:NCG.15; EQ:NCG.16
VAR-0084,a_4,,,EQUATION-REFERENCED,EQ:NCG.15; EQ:NCG.16
VAR-0085,a_6,,,EQUATION-REFERENCED,EQ:NCG.15
VAR-0086,O,,,EQUATION-REFERENCED,EQ:NCG.16; EQ:RG.3; EQ:RG.5
VAR-0087,K,,,EQUATION-REFERENCED,EQ:NCG.17; EQ:GE.8; EQ:MC.6
VAR-0088,t,,,EQUATION-REFERENCED,EQ:NCG.17; EQ:NCG.36; EQ:SP.13; EQ:SP.14; EQ:SP.23; EQ:GE.8; EQ:GE.10; EQ:OD.4; EQ:MC.6
VAR-0089,exp,,,EQUATION-REFERENCED,EQ:NCG.17; EQ:NCG.36; EQ:SP.13; EQ:SP.14; EQ:SP.23; EQ:GE.8; EQ:QM.7; EQ:MC.5; EQ:MC.17
VAR-0090,zeta_D,,,EQUATION-REFERENCED,EQ:NCG.18; EQ:NCG.19
VAR-0091,s,,,EQUATION-REFERENCED,EQ:NCG.18
VAR-0092,S_zeta,,,EQUATION-REFERENCED,EQ:NCG.19
VAR-0093,Index,,,EQUATION-REFERENCED,EQ:NCG.20
VAR-0094,dim,,,EQUATION-REFERENCED,EQ:NCG.20
VAR-0095,ker,,,EQUATION-REFERENCED,EQ:NCG.20; EQ:SP.20
VAR-0096,dag,,,EQUATION-REFERENCED,EQ:NCG.20; EQ:SP.16
VAR-0097,M_3,,,EQUATION-REFERENCED,EQ:NCG.26
VAR-0098,SU,,,EQUATION-REFERENCED,EQ:NCG.27
VAR-0099,U,,,EQUATION-REFERENCED,EQ:NCG.27; EQ:SP.10; EQ:SP.11; EQ:QM.5
VAR-0100,g_1,,,EQUATION-REFERENCED,EQ:NCG.28
VAR-0101,g_2,,,EQUATION-REFERENCED,EQ:NCG.28
VAR-0102,g_3,,,EQUATION-REFERENCED,EQ:NCG.28
VAR-0103,m_H,,,EQUATION-REFERENCED,EQ:NCG.29
VAR-0104,GeV,,,EQUATION-REFERENCED,EQ:NCG.29
VAR-0105,m_nu,,,EQUATION-REFERENCED,EQ:NCG.30
VAR-0106,m_D,,,EQUATION-REFERENCED,EQ:NCG.30
VAR-0107,T,,,EQUATION-REFERENCED,EQ:NCG.30; EQ:SP.8; EQ:SP.9; EQ:SP.19; EQ:GE.13; EQ:PE.13; EQ:PH.10; EQ:QM.4; EQ:QM.5; EQ:QM.6; EQ:QM.8; EQ:LH.3; EQ:LH.6; EQ:OD.4; EQ:OD.5; EQ:MC.17; EQ:MC.20
VAR-0108,M_R,,,EQUATION-REFERENCED,EQ:NCG.30
VAR-0109,dist,,,EQUATION-REFERENCED,EQ:NCG.31
VAR-0110,y,,,EQUATION-REFERENCED,EQ:NCG.31; EQ:PE.1; EQ:PE.7; EQ:PE.8; EQ:PE.9; EQ:PE.10; EQ:MC.14; EQ:MC.15; EQ:MC.16
VAR-0111,sup,,,EQUATION-REFERENCED,EQ:NCG.31
VAR-0112,a,,,EQUATION-REFERENCED,EQ:NCG.32; EQ:NCG.33; EQ:GE.4; EQ:PE.11
VAR-0113,b,,,EQUATION-REFERENCED,EQ:NCG.33; EQ:GE.4
VAR-0114,subset,,,EQUATION-REFERENCED,EQ:NCG.34
VAR-0115,B,,,EQUATION-REFERENCED,EQ:NCG.34; EQ:SP.9; EQ:GE.7; EQ:PH.6; EQ:PH.8
VAR-0116,chi,,,EQUATION-REFERENCED,EQ:NCG.36
VAR-0117,V,,,EQUATION-REFERENCED,EQ:SP.1; EQ:GE.11; EQ:LH.3; EQ:LH.6
VAR-0118,E,,,EQUATION-REFERENCED,EQ:SP.1; EQ:PH.5; EQ:PH.7; EQ:QM.2
VAR-0119,D_deg,,,EQUATION-REFERENCED,EQ:SP.2; EQ:MC.3
VAR-0120,phi,,,EQUATION-REFERENCED,EQ:SP.3; EQ:GE.5; EQ:PH.2; EQ:PH.3; EQ:PH.12
VAR-0121,lambda,,,EQUATION-REFERENCED,EQ:SP.3
VAR-0122,lambda_1,,,EQUATION-REFERENCED,EQ:SP.4
VAR-0123,lambda_2,,,EQUATION-REFERENCED,EQ:SP.4
VAR-0124,lambda_n,,,EQUATION-REFERENCED,EQ:SP.4
VAR-0125,lambda_0,,,EQUATION-REFERENCED,EQ:SP.5
VAR-0126,phi_i,,,EQUATION-REFERENCED,EQ:SP.8; EQ:SP.14; EQ:MC.4
VAR-0127,phi_j,,,EQUATION-REFERENCED,EQ:SP.8
VAR-0128,delta_,,,EQUATION-REFERENCED,EQ:SP.8
VAR-0129,ij,,,EQUATION-REFERENCED,EQ:SP.8; EQ:SP.25
VAR-0130,det,,,EQUATION-REFERENCED,EQ:SP.15; EQ:CV.12
VAR-0131,eps,,,EQUATION-REFERENCED,EQ:SP.15; EQ:GE.9
VAR-0132,I,,,EQUATION-REFERENCED,EQ:SP.15; EQ:OD.15
VAR-0133,d,,,EQUATION-REFERENCED,EQ:SP.16; EQ:SP.17; EQ:SP.18; EQ:SP.20; EQ:SP.21; EQ:GE.1; EQ:GE.4; EQ:GE.10; EQ:PE.4; EQ:CV.11; EQ:PH.1; EQ:PH.2; EQ:PH.3; EQ:QM.1; EQ:OD.14; EQ:OD.15; EQ:MC.7; EQ:MC.8
VAR-0134,delta,,,EQUATION-REFERENCED,EQ:SP.17; EQ:SP.21; EQ:PE.3; EQ:PE.5; EQ:PE.12; EQ:QM.4; EQ:LH.1; EQ:MC.13; EQ:MC.15
VAR-0135,k,,,EQUATION-REFERENCED,EQ:SP.19; EQ:SP.20; EQ:SP.21
VAR-0136,im,,,EQUATION-REFERENCED,EQ:SP.20; EQ:SP.21
VAR-0137,mu_i,,,EQUATION-REFERENCED,EQ:SP.22
VAR-0138,Delta_g,,,EQUATION-REFERENCED,EQ:SP.25; EQ:GE.9
VAR-0139,sqrt,,,EQUATION-REFERENCED,EQ:SP.25; EQ:GE.1; EQ:CV.11; EQ:CV.12; EQ:MC.7
VAR-0140,g,,,EQUATION-REFERENCED,EQ:SP.25; EQ:GE.14; EQ:PE.7; EQ:PE.9; EQ:PE.13; EQ:CV.1; EQ:CV.4; EQ:CV.11; EQ:CV.12; EQ:LH.7; EQ:MC.15
VAR-0141,d_i,,,EQUATION-REFERENCED,EQ:SP.25
VAR-0142,d_j,,,EQUATION-REFERENCED,EQ:SP.25
VAR-0143,i,,,EQUATION-REFERENCED,EQ:GE.1; EQ:QM.1; EQ:MC.7; EQ:MC.8
VAR-0144,j,,,EQUATION-REFERENCED,EQ:GE.1; EQ:MC.7; EQ:MC.8
VAR-0145,sum_k,,,EQUATION-REFERENCED,EQ:GE.1; EQ:GE.2; EQ:MC.7; EQ:MC.8
VAR-0146,phi_k,,,EQUATION-REFERENCED,EQ:GE.1; EQ:GE.2; EQ:MC.7; EQ:MC.8
VAR-0147,lambda_k,,,EQUATION-REFERENCED,EQ:GE.1; EQ:GE.2; EQ:MC.7; EQ:MC.8
VAR-0148,g_,,,EQUATION-REFERENCED,EQ:GE.2; EQ:GE.3; EQ:GE.4; EQ:GE.12; EQ:PE.1; EQ:CV.1; EQ:CV.5; EQ:CV.6; EQ:CV.12; EQ:MC.8; EQ:MC.9; EQ:MC.11; EQ:MC.14
VAR-0149,ab,,,EQUATION-REFERENCED,EQ:GE.2; EQ:GE.4; EQ:PE.1; EQ:PE.7; EQ:PE.8; EQ:PE.9; EQ:CV.1; EQ:CV.3; EQ:CV.4; EQ:CV.5; EQ:CV.8; EQ:MC.8; EQ:MC.9; EQ:MC.10; EQ:MC.11; EQ:MC.14; EQ:MC.15; EQ:MC.16
VAR-0150,d_a,,,EQUATION-REFERENCED,EQ:GE.2; EQ:CV.1; EQ:MC.8
VAR-0151,d_b,,,EQUATION-REFERENCED,EQ:GE.2; EQ:CV.1; EQ:MC.8
VAR-0152,ds,,,EQUATION-REFERENCED,EQ:GE.3
VAR-0153,mu,,,EQUATION-REFERENCED,EQ:GE.3; EQ:GE.11; EQ:GE.13; EQ:GE.14; EQ:CV.6; EQ:CV.12; EQ:PH.4; EQ:PH.11; EQ:OD.13; EQ:MC.11
VAR-0154,nu,,,EQUATION-REFERENCED,EQ:GE.3; EQ:GE.11; EQ:GE.13; EQ:GE.14; EQ:CV.6; EQ:CV.12; EQ:MC.11
VAR-0155,dx,,,EQUATION-REFERENCED,EQ:GE.3; EQ:PE.2
VAR-0156,dy,,,EQUATION-REFERENCED,EQ:GE.4; EQ:PE.4; EQ:PE.11
VAR-0157,INT_M,,,EQUATION-REFERENCED,EQ:GE.5; EQ:CV.11
VAR-0158,d_mu,,,EQUATION-REFERENCED,EQ:GE.5; EQ:GE.11
VAR-0159,L_,,,EQUATION-REFERENCED,EQ:GE.9
VAR-0160,G_eps,,,EQUATION-REFERENCED,EQ:GE.9
VAR-0161,as,,,EQUATION-REFERENCED,EQ:GE.9
VAR-0162,D_s,,,EQUATION-REFERENCED,EQ:GE.10
VAR-0163,lim_,,,EQUATION-REFERENCED,EQ:GE.10; EQ:OD.3
VAR-0164,ln,,,EQUATION-REFERENCED,EQ:GE.10; EQ:PE.2; EQ:QM.3; EQ:QM.8; EQ:QM.10; EQ:MC.17
VAR-0165,P,,,EQUATION-REFERENCED,EQ:GE.10
VAR-0166,nabla_mu,,,EQUATION-REFERENCED,EQ:GE.11; EQ:GE.13; EQ:GE.14
VAR-0167,nu_,,,EQUATION-REFERENCED,EQ:GE.11
VAR-0168,lam,,,EQUATION-REFERENCED,EQ:GE.11
VAR-0169,nabla_a,,,EQUATION-REFERENCED,EQ:GE.12; EQ:PE.7; EQ:PE.10; EQ:PE.11; EQ:MC.15
VAR-0170,bc,,,EQUATION-REFERENCED,EQ:GE.12; EQ:CV.2
VAR-0171,Box,,,EQUATION-REFERENCED,EQ:GE.14
VAR-0172,nabla_nu,,,EQUATION-REFERENCED,EQ:GE.14
VAR-0173,C_Pi,,,EQUATION-REFERENCED,EQ:PE.1; EQ:PE.3; EQ:MC.14; EQ:MC.15
VAR-0174,INT,,,EQUATION-REFERENCED,EQ:PE.1; EQ:PE.2; EQ:PE.6; EQ:LH.2; EQ:OD.13; EQ:MC.14
VAR-0175,_a,,,EQUATION-REFERENCED,EQ:PE.1; EQ:PE.4; EQ:PE.7; EQ:PE.8; EQ:PE.9; EQ:PE.10; EQ:MC.14; EQ:MC.15; EQ:MC.16
VAR-0176,_b,,,EQUATION-REFERENCED,EQ:PE.1; EQ:PE.7; EQ:PE.8; EQ:MC.14; EQ:MC.15; EQ:MC.16
VAR-0177,I_F,,,EQUATION-REFERENCED,EQ:PE.1; EQ:PE.2; EQ:PE.7; EQ:PE.9; EQ:PE.11; EQ:MC.14; EQ:MC.15; EQ:MC.16
VAR-0178,dt,,,EQUATION-REFERENCED,EQ:PE.1; EQ:PE.4; EQ:PE.6; EQ:PE.9; EQ:PE.10; EQ:PH.1; EQ:PH.2; EQ:PH.3; EQ:PH.4; EQ:PH.7; EQ:PH.8; EQ:QM.1; EQ:LH.2; EQ:LH.8; EQ:OD.14; EQ:OD.15; EQ:MC.14
VAR-0179,grad_x,,,EQUATION-REFERENCED,EQ:PE.2
VAR-0180,rho,,,EQUATION-REFERENCED,EQ:PE.2; EQ:PH.1; EQ:PH.4; EQ:PH.5; EQ:OD.12
VAR-0181,dL,,,EQUATION-REFERENCED,EQ:PE.4
VAR-0182,dy_a,,,EQUATION-REFERENCED,EQ:PE.4
VAR-0183,_c,,,EQUATION-REFERENCED,EQ:PE.7; EQ:PE.8; EQ:MC.15; EQ:MC.16
VAR-0184,c_,,,EQUATION-REFERENCED,EQ:PE.7; EQ:PE.8; EQ:CV.1; EQ:CV.3; EQ:MC.9; EQ:MC.15; EQ:MC.16
VAR-0185,ca,,,EQUATION-REFERENCED,EQ:PE.7; EQ:MC.15
VAR-0186,nabla_b,,,EQUATION-REFERENCED,EQ:PE.9
VAR-0187,dI_F,,,EQUATION-REFERENCED,EQ:PE.11
VAR-0188,Sigma,,,EQUATION-REFERENCED,EQ:PE.13; EQ:OD.3; EQ:OD.6
VAR-0189,Phi,,,EQUATION-REFERENCED,EQ:PE.13
VAR-0190,cd,,,EQUATION-REFERENCED,EQ:CV.1
VAR-0191,bd,,,EQUATION-REFERENCED,EQ:CV.1; EQ:CV.2
VAR-0192,ad,,,EQUATION-REFERENCED,EQ:CV.1
VAR-0193,d_d,,,EQUATION-REFERENCED,EQ:CV.1; EQ:CV.2
VAR-0194,a_,,,EQUATION-REFERENCED,EQ:CV.2; EQ:MC.10
VAR-0195,bcd,,,EQUATION-REFERENCED,EQ:CV.2; EQ:MC.10
VAR-0196,d_c,,,EQUATION-REFERENCED,EQ:CV.2
VAR-0197,ce,,,EQUATION-REFERENCED,EQ:CV.2
VAR-0198,e_,,,EQUATION-REFERENCED,EQ:CV.2
VAR-0199,de,,,EQUATION-REFERENCED,EQ:CV.2
VAR-0200,R_,,,EQUATION-REFERENCED,EQ:CV.3; EQ:CV.4; EQ:CV.5; EQ:CV.7; EQ:CV.8; EQ:MC.10
VAR-0201,acb,,,EQUATION-REFERENCED,EQ:CV.3
VAR-0202,G_,,,EQUATION-REFERENCED,EQ:CV.5; EQ:CV.6; EQ:MC.10; EQ:MC.11
VAR-0203,pi,,,EQUATION-REFERENCED,EQ:CV.6; EQ:MC.11
VAR-0204,T_,,,EQUATION-REFERENCED,EQ:CV.6; EQ:MC.11
VAR-0205,abcd,,,EQUATION-REFERENCED,EQ:CV.7; EQ:CV.10
VAR-0206,C_,,,EQUATION-REFERENCED,EQ:CV.10
VAR-0207,du,,,EQUATION-REFERENCED,EQ:PH.4
VAR-0208,u,,,EQUATION-REFERENCED,EQ:PH.4
VAR-0209,p,,,EQUATION-REFERENCED,EQ:PH.4; EQ:PH.9; EQ:LH.6
VAR-0210,dB,,,EQUATION-REFERENCED,EQ:PH.7
VAR-0211,dE,,,EQUATION-REFERENCED,EQ:PH.8
VAR-0212,H_hat,,,EQUATION-REFERENCED,EQ:QM.1; EQ:QM.2
VAR-0213,W,,,EQUATION-REFERENCED,EQ:QM.3
VAR-0214,dS,,,EQUATION-REFERENCED,EQ:QM.4; EQ:OD.13
VAR-0215,Q,,,EQUATION-REFERENCED,EQ:QM.4
VAR-0216,F,,,EQUATION-REFERENCED,EQ:QM.5; EQ:QM.8; EQ:MC.17
VAR-0217,Z,,,EQUATION-REFERENCED,EQ:QM.7; EQ:QM.8; EQ:QM.10; EQ:MC.17
VAR-0218,beta,,,EQUATION-REFERENCED,EQ:QM.7; EQ:MC.17
VAR-0219,dF,,,EQUATION-REFERENCED,EQ:QM.9
VAR-0220,dT,,,EQUATION-REFERENCED,EQ:QM.9
VAR-0221,q_dot_i,,,EQUATION-REFERENCED,EQ:LH.4
VAR-0222,dH,,,EQUATION-REFERENCED,EQ:LH.4; EQ:LH.5; EQ:LH.8
VAR-0223,dp_i,,,EQUATION-REFERENCED,EQ:LH.4; EQ:LH.7
VAR-0224,p_dot_i,,,EQUATION-REFERENCED,EQ:LH.5
VAR-0225,dq_i,,,EQUATION-REFERENCED,EQ:LH.5; EQ:LH.7
VAR-0226,q,,,EQUATION-REFERENCED,EQ:LH.6
VAR-0227,df,,,EQUATION-REFERENCED,EQ:LH.7
VAR-0228,dg,,,EQUATION-REFERENCED,EQ:LH.7
VAR-0229,Sigma_,,,EQUATION-REFERENCED,EQ:OD.1
VAR-0230,Sigma_n,,,EQUATION-REFERENCED,EQ:OD.1
VAR-0231,P_,,,EQUATION-REFERENCED,EQ:OD.2
VAR-0232,T_alpha,,,EQUATION-REFERENCED,EQ:OD.2
VAR-0233,B_n,,,EQUATION-REFERENCED,EQ:OD.2
VAR-0234,Sigma_0,,,EQUATION-REFERENCED,EQ:OD.3; EQ:MC.19
VAR-0235,Psi_,,,EQUATION-REFERENCED,EQ:OD.4
VAR-0236,Psi_t,,,EQUATION-REFERENCED,EQ:OD.4
VAR-0237,o,,,EQUATION-REFERENCED,EQ:OD.5; EQ:RG.1; EQ:MC.20
VAR-0238,Phi_in,,,EQUATION-REFERENCED,EQ:OD.7; EQ:MC.18
VAR-0239,Phi_decay,,,EQUATION-REFERENCED,EQ:OD.7; EQ:MC.18
VAR-0240,alpha_minus,,,EQUATION-REFERENCED,EQ:OD.8; EQ:OD.9
VAR-0241,Sigma_chaos,,,EQUATION-REFERENCED,EQ:OD.8; EQ:MC.19
VAR-0242,alpha_plus,,,EQUATION-REFERENCED,EQ:OD.9; EQ:OD.10
VAR-0243,Sigma_persistent,,,EQUATION-REFERENCED,EQ:OD.9; EQ:MC.19
VAR-0244,Sigma_equilibrium,,,EQUATION-REFERENCED,EQ:OD.10; EQ:MC.19
VAR-0245,dI,,,EQUATION-REFERENCED,EQ:OD.11
VAR-0246,d_tau,,,EQUATION-REFERENCED,EQ:OD.11
VAR-0247,Phi_boundary,,,EQUATION-REFERENCED,EQ:OD.13
VAR-0248,J_mu,,,EQUATION-REFERENCED,EQ:OD.13
VAR-0249,J_Omega,,,EQUATION-REFERENCED,EQ:OD.14
VAR-0250,Sigma_Omega,,,EQUATION-REFERENCED,EQ:OD.14
VAR-0251,for,,,EQUATION-REFERENCED,EQ:RG.1; EQ:RG.3; EQ:RG.5
VAR-0252,all,,,EQUATION-REFERENCED,EQ:RG.1; EQ:RG.3; EQ:RG.5
VAR-0253,X,,,EQUATION-REFERENCED,EQ:RG.1
VAR-0254,Y,,,EQUATION-REFERENCED,EQ:RG.1
VAR-0255,in,,,EQUATION-REFERENCED,EQ:RG.1; EQ:RG.3; EQ:RG.5
VAR-0256,is,,,EQUATION-REFERENCED,EQ:RG.2; EQ:RG.6
VAR-0257,irreducible,,,EQUATION-REFERENCED,EQ:RG.2
VAR-0258,exists,,,EQUATION-REFERENCED,EQ:RG.3; EQ:RG.5
